time,sensor(1),sensor(2),sensor(3),sensor(4),time.1,act,time.2,volt,time.3,reward,theta_wrapped,phi_wrapped
0.0,-0.4944,3.779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485,-0.4944,-2.504
0.001187,-0.4944,3.779,-0.02267,-0.1033,0.005,1.0,0.001187,0.0,0.005,0.2177,-0.4946,-2.505
0.003561,-0.4945,3.778,-0.06784,-0.3098,0.01,1.0,0.003561,0.0,0.01,0.2468,-0.4933,-2.507
0.005,-0.4946,3.778,-0.09506,-0.4347,0.015,1.0,0.005,12.0,0.015,0.2457,-0.4881,-2.507
0.005004,-0.4946,3.778,-0.09512,-0.4351,0.02,0.9999,0.005004,12.0,0.02,0.2445,-0.4791,-2.506
0.005012,-0.4946,3.778,-0.09519,-0.4357,0.025,0.9998,0.005012,12.0,0.025,0.2432,-0.4663,-2.503
0.00502,-0.4946,3.778,-0.09519,-0.4363,0.03,0.9993,0.00502,12.0,0.03,0.2418,-0.4499,-2.499
0.00503,-0.4946,3.778,-0.0951,-0.4369,0.035,0.9979,0.00503,12.0,0.035,0.2403,-0.4303,-2.494
0.00505,-0.4946,3.778,-0.09461,-0.4379,0.04,0.9938,0.00505,12.0,0.04,0.2388,-0.4074,-2.488
0.005071,-0.4946,3.778,-0.09377,-0.4387,0.045,0.9815,0.005071,12.0,0.045,0.2377,-0.3811,-2.481
0.005091,-0.4946,3.778,-0.09261,-0.4391,0.05,0.9483,0.005091,12.0,0.05,0.2381,-0.3516,-2.472
0.005111,-0.4946,3.778,-0.0912,-0.4394,0.055,0.8654,0.005111,12.0,0.055,0.2426,-0.319,-2.462
0.005131,-0.4946,3.778,-0.08955,-0.4395,0.06,0.6973,0.005131,12.0,0.06,0.2558,-0.2833,-2.451
0.005156,-0.4946,3.778,-0.08725,-0.4393,0.065,0.4654,0.005156,12.0,0.065,0.2809,-0.245,-2.439
0.005181,-0.4946,3.778,-0.0847,-0.439,0.07,0.2528,0.005181,12.0,0.07,0.3091,-0.2046,-2.427
0.005206,-0.4946,3.778,-0.08193,-0.4384,0.075,0.1391,0.005206,12.0,0.075,0.33,-0.1629,-2.415
0.005237,-0.4946,3.778,-0.07834,-0.4376,0.08,0.05553,0.005237,12.0,0.08,0.3434,-0.1208,-2.403
0.005267,-0.4946,3.778,-0.07453,-0.4366,0.085,0.01428,0.005267,12.0,0.085,0.3538,-0.07904,-2.393
0.005298,-0.4946,3.778,-0.07055,-0.4354,0.09,-0.07805,0.005298,12.0,0.09,0.3626,-0.03796,-2.385
0.005337,-0.4946,3.778,-0.06529,-0.4338,0.095,-0.1736,0.005337,12.0,0.095,0.3691,0.002233,-2.379
0.005376,-0.4946,3.778,-0.05987,-0.4321,0.1,-0.2425,0.005376,12.0,0.1,0.3733,0.04132,-2.374
0.005423,-0.4947,3.778,-0.0531,-0.4298,0.105,-0.2473,0.005423,12.0,0.105,0.3762,0.07897,-2.372
0.00547,-0.4947,3.778,-0.04619,-0.4274,0.11,-0.2259,0.00547,12.0,0.11,0.3801,0.1149,-2.373
0.005528,-0.4947,3.778,-0.03761,-0.4243,0.115,-0.2378,0.005528,12.0,0.115,0.3826,0.149,-2.377
0.005586,-0.4947,3.778,-0.02893,-0.4212,0.12,-0.2708,0.005586,12.0,0.12,0.3808,0.1814,-2.383
0.005661,-0.4947,3.778,-0.01773,-0.4172,0.125,-0.304,0.005661,12.0,0.125,0.3755,0.212,-2.393
0.005735,-0.4947,3.778,-0.006484,-0.4131,0.13,-0.4585,0.005735,12.0,0.13,0.3677,0.2408,-2.405
0.005836,-0.4947,3.778,0.008834,-0.4075,0.135,-0.5844,0.005836,12.0,0.135,0.3469,0.2678,-2.42
0.005937,-0.4947,3.777,0.02418,-0.4018,0.14,-0.7036,0.005937,12.0,0.14,0.323,0.2924,-2.439
0.006086,-0.4947,3.777,0.04697,-0.3934,0.145,-0.7495,0.006086,12.0,0.145,0.2932,0.3142,-2.462
0.006271,-0.4946,3.777,0.07509,-0.3831,0.15,-0.8662,0.006271,12.0,0.15,0.2675,0.3326,-2.489
0.006533,-0.4946,3.777,0.115,-0.3685,0.155,-0.88,0.006533,12.0,0.155,0.2231,0.3471,-2.521
0.006908,-0.4946,3.777,0.1719,-0.3475,0.16,-0.8477,0.006908,12.0,0.16,0.1887,0.3574,-2.558
0.007558,-0.4944,3.777,0.2705,-0.3114,0.165,-0.8127,0.007558,12.0,0.165,0.154,0.3629,-2.601
0.008944,-0.4939,3.777,0.4803,-0.2346,0.17,-0.8264,0.008944,12.0,0.17,0.1119,0.3637,-2.65
0.01,-0.4933,3.776,0.6394,-0.1765,0.175,-0.8411,0.01,12.0,0.175,0.05407,0.3597,-2.704
0.01144,-0.4921,3.776,0.8553,-0.09797,0.18,-0.7563,0.01144,12.0,0.18,-0.01283,0.3507,-2.765
0.01432,-0.489,3.776,1.285,0.05801,0.185,-0.4843,0.01432,12.0,0.185,-0.07309,0.3367,-2.831
0.015,-0.4881,3.776,1.385,0.09427,0.19,-0.2547,0.015,12.0,0.19,-0.1198,0.3176,-2.903
0.01666,-0.4854,3.776,1.629,0.1825,0.195,-0.2175,0.01666,12.0,0.195,-0.174,0.2947,-2.979
0.02,-0.4791,3.777,2.118,0.3588,0.2,-0.2987,0.02,12.0,0.2,-0.232,0.2693,-3.059
0.02258,-0.4727,3.779,2.49,0.4927,0.205,-0.4005,0.02258,12.0,0.205,-0.2931,0.2428,-3.14
0.025,-0.4663,3.78,2.837,0.6175,0.21,-0.476,0.025,12.0,0.21,-0.2576,0.2155,3.062
0.02726,-0.4591,3.782,3.157,0.7328,0.215,-0.5315,0.02726,12.0,0.215,-0.2192,0.1873,2.98
0.03,-0.4499,3.784,3.543,0.8718,0.22,-0.5822,0.03,12.0,0.22,-0.1791,0.1583,2.897
0.03182,-0.443,3.786,3.796,0.9633,0.225,-0.6313,0.03182,12.0,0.225,-0.1378,0.1286,2.814
0.03402,-0.4343,3.788,4.1,1.074,0.23,-0.6542,0.03402,12.0,0.23,-0.09568,0.09845,2.732
0.035,-0.4303,3.789,4.235,1.122,0.235,-0.6649,0.035,11.99,0.235,-0.05016,0.06791,2.649
0.03552,-0.428,3.789,4.306,1.148,0.24,-0.662,0.03552,11.99,0.24,-0.002596,0.03716,2.568
0.03623,-0.4249,3.79,4.403,1.184,0.245,-0.6475,0.03623,11.99,0.245,0.04689,0.006358,2.488
0.03695,-0.4217,3.791,4.501,1.219,0.25,-0.5993,0.03695,11.99,0.25,0.09759,-0.02435,2.409
0.03838,-0.4151,3.793,4.696,1.29,0.255,-0.559,0.03838,11.99,0.255,0.1516,-0.05485,2.333
0.04,-0.4074,3.795,4.913,1.37,0.26,-0.5274,0.04,11.97,0.26,0.2039,-0.08501,2.258
0.04025,-0.4061,3.795,4.946,1.382,0.265,-0.4768,0.04025,11.97,0.265,0.2536,-0.1147,2.185
0.04059,-0.4044,3.796,4.992,1.399,0.27,-0.4143,0.04059,11.97,0.27,0.303,-0.1439,2.114
0.04093,-0.4027,3.796,5.038,1.416,0.275,-0.3538,0.04093,11.97,0.275,0.351,-0.1725,2.046
0.04161,-0.3993,3.797,5.128,1.449,0.28,-0.2829,0.04161,11.97,0.28,0.3963,-0.2006,1.981
0.04228,-0.3958,3.798,5.217,1.482,0.285,-0.2102,0.04228,11.97,0.285,0.4394,-0.2281,1.919
0.04405,-0.3864,3.801,5.451,1.568,0.29,-0.1435,0.04405,11.97,0.29,0.4794,-0.2548,1.859
0.045,-0.3811,3.803,5.576,1.614,0.295,-0.09592,0.045,11.93,0.295,0.5162,-0.2809,1.802
0.04512,-0.3805,3.803,5.591,1.62,0.3,-0.04573,0.04512,11.93,0.3,0.5495,-0.3061,1.748
0.04536,-0.3791,3.803,5.623,1.632,0.305,0.09492,0.04536,11.93,0.305,0.58,-0.3306,1.697
0.04553,-0.3781,3.803,5.645,1.64,0.31,0.1752,0.04553,11.93,0.31,0.6063,-0.3543,1.649
0.04591,-0.376,3.804,5.695,1.658,0.315,0.2991,0.04591,11.93,0.315,0.6303,-0.377,1.604
0.04629,-0.3738,3.805,5.744,1.677,0.32,0.4175,0.04629,11.93,0.32,0.6478,-0.3985,1.563
