CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,DActionEnergy,DTorqueCommandEnergy,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,post_stage_full,0.03,601,1.66358968219798,3.14159265358979,59.8197165276289,0.0919488674592029,0.281940016145619,0.0318502165619075,NaN,NaN,3.06485312461328,1.06194480060058,0.9873494655119,-1.06194480060058,3.14159265358979,0.03,0.0038063025,0.00344786855090602,0.362694916597609,10.7611995118721,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:05
2,-0.785398163397448,-3.14159265358979,-5,0,post_stage_full,0.03,601,1.589474498269,3.14159265358979,46.7997524372329,0.0895279255662476,0.268037117233351,0.0315722457924761,NaN,NaN,2.9840643392053,1.05263286552472,-1.80272087696679,-1.05263286552472,3.14159265358979,0.03,0.0038063025,0.00355474351456846,0.373937516325413,10.7578095045739,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:10
3,-0.785398163397448,-3.14159265358979,-5,10,post_stage_full,0.035,701,1.63206338465769,3.14159265358979,41.2665361696464,0.0971619068911887,0.272630682503214,0.0384443257203733,NaN,NaN,2.77589607773453,1.09856668356847,-2.77589607773453,-1.09856668356847,3.14159265358979,0.035,0.0045668025,0.00441964871214202,0.464920311599424,12.8084989244313,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:14
4,-0.785398163397448,-3.14159265358979,0,-10,post_stage_full,0.035,701,1.80099321252407,3.14159265358979,56.6085973295728,0.10568472272697,0.319678742987171,0.0379585411848,NaN,NaN,3.01938768125788,1.08482741709552,0.419878304493916,-1.08482741709552,3.14159265358979,0.035,0.0045668025,0.004134408015438,0.434914715627929,12.8601957536309,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:19
5,-0.785398163397448,-3.14159265358979,0,0,post_stage_full,0.035,701,1.65440556715169,3.14159265358979,42.6435071776174,0.102013825190191,0.299243125866403,0.0370945822464853,NaN,NaN,2.91446764614189,1.06007353323107,-2.91446764614189,-1.06007353323107,3.14159265358979,0.035,0.0045668025,0.00434253826056405,0.456808758507724,12.8261221208944,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:24
6,-0.785398163397448,-3.14159265358979,0,10,post_stage_full,0.04,801,1.62305552186918,3.14159265358979,41.0611446083177,0.107725071688142,0.294995375511326,0.043268299913663,NaN,NaN,2.69297225677832,1.08186045582508,-2.69297225677832,-1.08186045582508,3.14159265358979,0.04,0.0053273025,0.00517976087733713,0.544879513723827,14.4911930663568,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:29
7,-0.785398163397448,-3.14159265358979,5,-10,post_stage_full,0.035,701,1.63281764710898,3.14159265358979,52.1770089211444,0.1056528187045,0.319495356999229,0.0349655010232283,NaN,NaN,3.018476602271,0.999314020499028,0.403523451818123,-0.999314020499028,3.14159265358979,0.035,0.0045668025,0.00422330693253497,0.444266343987899,12.541021646627,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:34
8,-0.785398163397448,-3.14159265358979,5,0,post_stage_full,0.04,801,1.67283021425165,3.14159265358979,42.9040231870763,0.113540008166587,0.325855986376714,0.0419992918357808,NaN,NaN,2.83828382654985,1.05020593121653,-2.83828382654985,-1.05020593121653,3.14159265358979,0.04,0.0053273025,0.00516987745985061,0.5438398379856,14.8059368743851,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:38
9,-0.785398163397448,-3.14159265358979,5,10,post_stage_full,0.045,901,1.57996113908131,3.14159265358979,40.3902759167833,0.117324049085136,0.313452624394469,0.0471165320548047,NaN,NaN,2.60705384890526,1.04718459572401,-2.60705384890526,-1.04718459572401,3.14159265358979,0.045,0.00608780250000001,0.00593911159523988,0.624758616198804,16.0463657730328,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:43
10,-0.785398163397448,-2.35619449019234,-5,-10,post_stage_full,0.04,801,1.7138982875705,2.48183485173516,42.5602259399998,0.0964727531261258,0.232863075799202,0.0439717025168484,NaN,NaN,2.41165973918177,1.09948027286199,-2.41165973918177,-1.09948027286199,2.48183485173516,0.04,0.0053273025,0.0051470931875845,0.541443070357343,14.6786536582676,0,7.60500000000002e-06,1,1,1000,TD3,1,near_upright_stabilization,NaN,11-Jun-2026 17:33:47
