CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,DActionEnergy,DTorqueCommandEnergy,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,100001,0.898151094426683,3.14159265358979,24.8571545741849,3.37390673881258,5.97602318931856,1.55063205278364,NaN,NaN,1.36700071002265,0.346732679762751,0.07850148630854,-0.21783007848238,3.14124440726799,0.0303203642810532,0.00495229464247044,0.00474728726004513,0.499385905067206,10.8962411056157,0.017604764233092,3.36129437927484e-05,0,0,50.5716009459591,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,5,100001,0.891495056395452,3.14159265358979,18.1299564752071,4.4009137781349,8.27611050715243,1.22325846615575,3.9719,NaN,0.00721472682373576,0.125727688301653,-0.00697830295672183,0.125727688301653,0.0154045341772799,0.0310719432365756,0.00499545937929434,0.00483460899845897,0.508571623769516,11.2598294891091,0.0131956472936374,2.54589019296248e-05,0,0,9.63657702233799,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,5,100001,0.83175764401024,3.14159265358979,18.1503341195153,5.22199402266863,10.9641202225528,1.40065615095388,NaN,NaN,0.0344466993362224,0.383463570361887,-0.0344466993362224,0.383463570361887,0.111098347424415,0.0233321821221718,0.00372247716265098,0.00361860403253422,0.380655256545349,8.5824783172356,0.00857922738203819,1.66831538300578e-05,0,0,12.3899616278022,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:07
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,100001,0.893829550885188,3.14159265358979,20.8054851424763,2.92927985356526,4.96330869039871,1.4500067314054,NaN,NaN,0.361067009408671,0.691153237013654,-0.361067009408671,0.691153237013654,1.73062561059714,0.0241814186686916,0.00388178053180499,0.0037276109176948,0.392122121519505,8.76111966807583,0.0133365335571913,2.50095671470447e-05,0,0,22.4597377284398,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:07
5,-0.785398163397448,-3.14159265358979,0,0,full_final,5,100001,0.894491868084702,3.14159265358979,18.1120277540736,5.92534825015562,12.0795859690037,1.40717490825343,NaN,NaN,0.889553573629629,0.134243222153465,-0.680490305735326,0.011139944710344,3.14150707153708,0.0280949573268518,0.00434998291495325,0.00424524940981965,0.446574559875834,10.0727395310917,0.00989997922876974,1.6592670604321e-05,0,0,46.0543053075798,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
6,-0.785398163397448,-3.14159265358979,0,10,full_final,5,100001,0.893100041596842,3.14159265358979,18.1522655521004,5.19695266114347,10.0705045046862,1.4966427375246,4.883,NaN,0.0848498772162094,0.125514696608588,-0.0848498772162094,-0.125514696608588,0.315782200883576,0.0281446877612917,0.00435831700225415,0.0042440601569561,0.446449457667965,9.88841722042271,0.0111944049727942,1.85770343170579e-05,0,0,14.4196790863043,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,5,100001,0.891301619532521,3.14159265358979,18.1558634985031,4.34813120045972,7.93722796524601,1.28256909575137,4.61835,4.90335,0.0104346197875297,0.0892693548018453,-0.0104346197875297,-0.0892693548018453,0.028531002114812,0.0257979164877002,0.00398572737949632,0.00390758423323908,0.411054225718773,9.21908551874363,0.00724231286960775,1.22531470860501e-05,0,0,9.69000934483007,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
8,-0.785398163397448,-3.14159265358979,5,0,full_final,5,100001,0.898328514900089,3.14159265358979,18.0807793906825,6.69684478834424,14.6674530879615,1.46621526298707,4.69465,4.978,0.0165369923167517,0.102900639859224,-0.0165369923167517,-0.102900639859224,0.0731552893918024,0.025331307180375,0.00386931193484346,0.00378727617941842,0.398398546158414,9.00358083888549,0.0082769854516609,1.29172474026762e-05,0,0,14.8245199276392,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,100001,0.898858203537765,3.14159265358979,18.207259952076,4.34965316116869,8.1715603778481,1.52064956850679,NaN,NaN,1.4207046259277,0.446249900824853,0.0765786414937074,0.446249900824853,3.14124648479004,0.0232785058389754,0.0035334134945409,0.00345791248803708,0.363751478031515,7.99401994410171,0.00786470575430364,1.19663073177939e-05,0,0,53.5810883109193,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:02
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,100001,0.892814069471849,3.14157420384564,19.631073414381,2.8545816033162,5.06489521343815,1.29471378445949,4.4897,4.78455,0.00533711221590859,0.0615813793311249,-0.00533711221590859,-0.0606266606295068,0.0163318430261228,0.0230836215003359,0.00377892817007869,0.0036460276043183,0.383540050421385,8.37995306009752,0.0110376313303705,2.21465339439374e-05,0,0,6.54638992420441,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:48:08
