Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-2.09381738541826,15,-2.09381738541826,15,-0.0609982684254646
2,-4.44356073522901,11,-3.26868906032364,26,-0.0280472971498966
3,-0.61257184102146,12,-2.38331665388958,38,-0.0406726822257042
4,-10.237912355284,17,-4.34696557923818,55,-0.0830112546682358
5,-3.61627736116887,22,-4.20082793562432,77,-0.0447328090667725
6,-6.08624123523724,17,-4.51506348555981,94,-0.0830767974257469
7,-10.2904547296482,22,-5.34011937757243,116,-0.0749472752213478
8,-4.41765941200047,13,-5.22481188187594,129,-0.0756118446588516
9,4.23810089187539,26,-4.1733771292369,155,-0.0830588713288307
10,-11.4049658998587,20,-4.89653600629908,175,-0.0822266712784767
11,2.12555336945215,18,-4.47459893081204,193,-0.0774604231119156
12,4.43933003497692,32,-3.58630985379145,225,-0.0225281156599522
13,-0.32913171564789,20,-3.55796584125409,245,-0.0779890939593315
14,4.10560396298639,16,-2.12361420942705,261,-0.0729456692934036
15,-10.1106675654696,20,-2.77305322985712,281,-0.067913331091404
16,0.130636398414254,20,-2.15136546649197,301,-0.0854974016547203
17,-11.0147982146681,19,-2.22379981499397,320,-0.0903924256563187
18,-6.18686610169182,12,-2.4007204839631,332,-0.0860980302095413
19,-27.5939526410016,16,-5.5839258372508,348,-0.0714449360966682
20,-21.5301747398631,14,-6.59644672125124,362,-0.0843126699328423
21,-11.1145150227295,17,-7.9204535604694,379,-0.0894175544381142
22,-26.0588805554712,15,-10.9702746195142,394,-0.0272771157324314
23,-6.98777881448577,9,-11.636139329398,403,-0.0291317347437143
24,0.498674260526625,26,-11.996832299644,429,-0.0270186271518469
25,-6.8607237891596,11,-11.671837922013,440,-0.0513374730944633
26,-4.5126626905054,14,-12.1361678309049,454,-0.0736182779073715
27,-7.29714592701687,20,-11.7644026021398,474,-0.0451398827135563
28,-7.3062953403115,18,-11.8763455260018,492,-0.0766375735402107
29,22.7289515853528,57,-6.84405510336636,549,-0.0212777107954025
30,-3.33539656852643,14,-5.02457728623268,563,-0.080690510571003
31,-2.31606018680683,23,-4.14473180264042,586,-0.0789425894618034
32,-7.67803527010932,21,-2.30664727410423,607,-0.0870152488350868
33,-21.4289640398272,20,-3.75076579663837,627,-0.0192014798521996
34,-0.756036044639476,15,-3.87623682715498,642,-0.0257426761090755
35,-2.61312853065705,13,-3.45147730130473,655,-0.00059228390455246
36,-16.2571390988739,13,-4.62592494214158,668,-0.0743229538202286
37,-4.9025009647854,15,-4.38646044591843,683,-0.0740564838051796
38,-8.82486963186279,12,-4.53831787507356,695,-0.0435843989253044
39,-5.24545735170834,22,-7.33575876877967,717,-0.04774060100317
40,-24.8124407020406,15,-9.48346318213109,732,-0.0763315856456757
41,-13.2348893169021,17,-10.5753460951406,749,-0.086315430700779
42,-7.89301122270012,20,-10.5968436903997,769,-0.0549987182021141
43,-9.32616468298255,18,-9.38656375471523,787,-0.0890816003084183
44,-22.5467546395608,18,-11.5656356142074,805,-0.0742206424474716
45,-15.7296180149268,14,-12.8772845626343,819,-0.0767437592148781
46,-2.46910253783623,12,-11.4984809065306,831,-0.0869379490613937
47,-19.5341435439633,15,-12.9616451644484,846,-0.070240281522274
48,-8.79750733000694,20,-12.9589089342628,866,-0.0909995511174202
49,1.22633838185147,21,-12.3117293609068,887,-0.092584066092968
50,3.16104596881489,16,-9.51438069382124,903,-0.0246256943792105
51,-13.408883812303,23,-9.53178014336133,926,-0.010348541662097
52,-16.3225180616996,20,-10.3747308272613,946,-0.0316498689353466
53,-10.0879797641624,23,-10.4509123353793,969,-0.00610209349542856
54,-3.90256283742635,13,-8.58649315516582,982,-0.0790866240859032
55,0.508763584569681,14,-6.96265499521617,996,-0.0437176749110222
56,-1.63782863445782,12,-6.87952760487834,1008,-0.07377590239048
57,-7.05450511555179,13,-5.63156376203719,1021,-0.0718809440732002
58,-15.4580896698123,19,-6.29762199601772,1040,-0.0281786732375622
59,-4.61396125562426,11,-6.8816519597653,1051,-0.0722257122397423
60,-9.52231228983768,10,-8.14998778563055,1061,-0.0360841900110245
61,-10.303126008991,8,-7.83941200529935,1069,-0.14264889061451
62,6.20400695257497,18,-5.58675950387189,1087,-0.179868951439857
63,-4.97223708917581,19,-5.07518523637324,1106,-0.215697735548019
64,0.46437933755331,16,-4.63849101887527,1122,-0.203010633587837
65,4.80267364253246,16,-4.20910001307899,1138,-0.212916910648346
66,-7.4018011623431,14,-4.78549726586752,1152,-0.207805767655373
67,1.05703796138505,16,-3.97434295817384,1168,-0.159555584192276
