CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,100001,41.8192803931803,3.14159265358979,24.3654299673067,2.17785814328214,4.49177884615655,1.26639578187792,2.2006,NaN,0.00627614267739284,0.249740416098822,0.000912520396681335,-0.249740416098822,0.0112986225320528,0.00685482858642714,0.00685395247261217,0.0211667421995276,6.5,0.0849576347149434,0.0132916833837797,0.0124864113740736,1.31349495059289,36.8592927365969,6.23054341727469,1.24610868345494,0.086273463957321,0.000138614641279084,0.131357119302549,0.00739579945548402,0.00739293304890121,0.0256720343604684,6.5,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:37
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,5,100001,18.3532865406362,3.14159265358979,24.3207798284491,2.17714968577471,4.49498434418299,1.26343991955973,2.18275,NaN,0.00611174081390079,0.251059485654277,-0.000280842956234194,-0.251059485654277,0.0110660647532657,0.00675433085265053,0.00675396662732537,0.020552084751241,7,0.0842484968317357,0.0131837783034693,0.0123599646716396,1.30019352232895,32.4893170405211,6.10627647043603,1.22125529408721,0.0852236195980258,0.000137017898989432,0.130555443852814,0.00726553996440122,0.00726549649699303,0.0231240587309003,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:37
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,5,100001,4.15903919506782,3.14159265358979,24.2951496341418,2.17317837226972,4.49754200353044,1.25757071836404,2.18105,NaN,0.0059240134876695,0.250608868058893,-0.000115830482696519,-0.250608868058893,0.0101341956171199,0.00657738332742214,0.00657715649478379,0.019549321545707,7,0.0830306848891343,0.0129985382281678,0.0121489105114355,1.2779919012687,28.3086155194698,5.854157811308,1.1708315622616,0.083490922531266,0.00013438246874401,0.129221455286083,0.00705632176429506,0.00705626542009666,0.0214697876945138,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:37
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,100001,23.9117188186355,3.14159265358979,24.3771307533127,2.17941570810936,4.49224062963611,1.26845991974699,2.20365,NaN,0.00605029105728572,0.24985915673549,0.000503038916584862,-0.24985915673549,0.0101977869077816,0.0066751709336955,0.00667432408293297,0.0194496396711532,7,0.0850876479412338,0.0133113938136039,0.0125080043433086,1.31576640034805,29.7743151827914,6.04301542083429,1.20860308416686,0.0864610656557132,0.000138900056385524,0.131499859814156,0.00717493481578966,0.00717456403575165,0.0218527736142278,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:37
5,-0.785398163397448,-3.14159265358979,0,0,full_final,5,100001,0.796907276599061,3.14159265358979,24.3338045556047,2.17802856211658,4.4943557934423,1.26557036036717,2.19745,NaN,0.00608701973304132,0.250819934878867,-9.94567185382703e-05,-0.250819934878867,0.0107252151855788,0.00674714849807768,0.00674697459276304,0.0202237164588617,7,0.0844271738729918,0.0132109621952274,0.0123898656804429,1.30333892759426,28.1805212149665,5.96962503090237,1.19392500618047,0.0854868985601678,0.000137418347430382,0.130756949000937,0.00727254959356535,0.00727250342243494,0.0238200249150395,7,0,0,5.17399645142952,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:13
6,-0.785398163397448,-3.14159265358979,0,10,full_final,5,100001,22.4323107813536,3.14159265358979,24.3085184765266,2.17422717857977,4.49789759845401,1.25865900602793,2.1796,NaN,0.00589570061487531,0.250828891506522,-0.000271497219102497,-0.250828891506522,0.00998324448037937,0.00657309229454758,0.00657291465318653,0.0191638411290267,7,0.0834508619840404,0.0130624531199114,0.0122125361656435,1.28468493524192,29.4674425488075,5.8885835196409,1.17771670392818,0.0840239735226184,0.00013519323888116,0.129633308622914,0.00705053717566254,0.00705050243880635,0.0216590967029333,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:38
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,5,100001,5.41836771492341,3.14159265358979,24.3898456913884,2.17832699405756,4.49377541870613,1.26601981411238,2.20435,NaN,0.00578134157830923,0.249658593570328,0.00051839081364343,-0.249658593570328,0.0104892325650197,0.00648950781385941,0.00648913765373424,0.0201145377174807,7,0.0850587614269829,0.0133070062828841,0.0125004983546381,1.31497681574102,30.0942442605848,6.0837338358423,1.21674676716846,0.0863616209650077,0.000138748801028611,0.131424214637188,0.00691734085785192,0.00691725288519949,0.0214816331863403,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:13
8,-0.785398163397448,-3.14159265358979,5,0,full_final,5,100001,16.8809020382857,3.14159265358979,24.3476524965198,2.17798463952875,4.49453421355505,1.26538079994477,2.19535,NaN,0.00595492277361964,0.251196051023293,-0.000404628643545511,-0.251196051023293,0.0101944928663509,0.00667773559274959,0.00667768587348104,0.0197754427302552,7,0.0846302949369119,0.0132418649296767,0.0124138811179823,1.30586520636237,29.9185084994476,6.01362612695139,1.20272522539028,0.0857132489099448,0.000137762624763942,0.130929942266805,0.00716832787734477,0.00716827019360287,0.0231221923604608,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:37
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,100001,39.1676006635876,3.14159265358979,24.3226209150849,2.17700349162954,4.49665397596049,1.26305862214172,2.18865,NaN,0.00606335857738995,0.25087147229766,-0.000211289630712515,-0.25087147229766,0.0112487946341722,0.00675306844134884,0.00675219279474518,0.0203791176342545,7,0.0841335083771289,0.013166279070924,0.0123225032049013,1.29625280261946,31.7305829623583,5.99310692695135,1.19862138539027,0.0850366940224971,0.000136733586960538,0.130412188097967,0.00725951901718064,0.00725904854731605,0.0224640546366572,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:13
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,100001,43.2573221355482,3.14157754733507,24.3035263583527,2.5196830584435,5.50704611216536,1.34140551156591,1.57375,NaN,0.0059643940828526,0.250913542880222,-0.000293483910022032,-0.250913542880222,0.0101861924141693,0.00664879505419506,0.00664791491937,0.019147533511406,7,0.134854149477009,0.0206385281949522,0.0193656624919535,2.03715055799642,46.8832833897357,9.3533641497983,1.87067282995966,0.143711047179283,0.000221130468136606,0.169535274901292,0.0070943060636058,0.00709379430731283,0.0218100175261497,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:34:37
11,-0.785398163397448,-2.35619449019234,-5,0,full_final,5,100001,32.069326657465,3.14152098696874,24.1563484778493,2.52027818948385,5.50984464555226,1.344675749575,1.57465,NaN,0.00599573443734672,0.25138728725116,-0.000600959186581769,-0.25138728725116,0.0100772421252595,0.00670260392632664,0.00670198197744651,0.0190177517324024,7,0.134358660804417,0.0205632237648562,0.019223508436302,2.02219681118232,44.6052388427883,9.2348576573342,1.84697153146684,0.143006481763262,0.00022005883744462,0.169119177956411,0.00715301854289819,0.00715262363166549,0.0214531030505896,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:14
12,-0.785398163397448,-2.35619449019234,-5,10,full_final,5,100001,10.9540573026841,3.14145095342775,24.2946726963606,2.52062904769322,5.51129030354519,1.3439354516347,1.5736,NaN,0.00599997538410386,0.251229891404948,-0.000480017958516911,-0.251229891404948,0.0103185475245307,0.00668097824503031,0.00668014766013655,0.0193419992474269,7,0.135337583247466,0.0207121055099858,0.0194484045091378,2.04585451772653,43.8235769310472,9.30808182980105,1.86161636596021,0.144430267100536,0.00022222441748721,0.169958975697393,0.00712492610257289,0.00712435467998227,0.021730650216341,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:13
13,-0.785398163397448,-2.35619449019234,0,-10,full_final,5,100001,18.3091473284462,3.14139686408377,24.2936097203928,2.52000524391116,5.50710883495011,1.3405290067079,1.57395,NaN,0.00597131720189588,0.251254425425499,-0.000485173783692207,-0.251254425425499,0.0101286027285517,0.00668478103016667,0.00668397437329474,0.0192333638215878,7,0.135204949181005,0.020691924286871,0.0194176020278355,2.04261428300702,44.1394740517404,9.31409100760024,1.86281820152005,0.144129956502563,0.000221767644274395,0.169782187818725,0.00713860878856455,0.007137874626386,0.0218339078128338,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:12
14,-0.785398163397448,-2.35619449019234,0,0,full_final,5,100001,0.884501264397671,3.14154521276966,24.148041955826,2.52054988991691,5.50879632594159,1.34173692527201,1.5738,NaN,0.00618940962572352,0.251545797940003,-0.000719546310919715,-0.251545797940003,0.0113590567027073,0.00685442373128728,0.00685400115494763,0.0210570484226533,7,0.134753641240798,0.0206233214085705,0.019297162708937,2.02994479515446,43.1869300646131,9.25668247466096,1.85133649493219,0.143519139276326,0.000220838579896339,0.169422040641899,0.00732149593382578,0.00732112605178129,0.0237178392708302,7,0,0,5.90883334869635,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:13
15,-0.785398163397448,-2.35619449019234,0,10,full_final,5,100001,15.3581712636971,3.14146828033415,24.2896977930788,2.52110661978463,5.51215972656878,1.34338204900955,1.5714,NaN,0.00606378508886661,0.250864914455488,-0.000116211009758842,-0.250864914455488,0.0115072904902223,0.00675818451823183,0.00675663660347582,0.0207652876936759,7,0.135512240922538,0.0207385883415867,0.0194806729968336,2.04924896745127,44.9011585950968,9.35916304183144,1.87183260836629,0.144616109743119,0.000222507086615106,0.170068286134199,0.00723194677436386,0.0072315288231978,0.0230571953579783,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:13
16,-0.785398163397448,-2.35619449019234,5,-10,full_final,5,100001,8.37671503144676,3.14148222102832,24.2863531102402,2.52010535900151,5.50659177120146,1.33904807569811,1.5723,NaN,0.0058598125809116,0.251499080708572,-0.000645383386027007,-0.251499080708572,0.0103811897052124,0.00662799646692586,0.00662755223625922,0.0196442720856727,7,0.135345425329208,0.0207133071387428,0.0194387029684006,2.04483397432222,44.2549637308801,9.32970045970971,1.86594009194194,0.144361830738451,0.000222120325853678,0.169918704525694,0.00712114647052774,0.00712112842329021,0.0223751356825233,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:14
17,-0.785398163397448,-2.35619449019234,5,0,full_final,5,100001,23.7889120764977,3.14154874817805,24.1718314922908,2.5203288427961,5.51042886425189,1.3445376382762,1.5743,NaN,0.00601048843055108,0.25086451981642,-3.09906876711868e-05,-0.25086451981642,0.0102791968550451,0.00666076557181666,0.00666072954142975,0.0200797307786775,7,0.134330318956468,0.0205587662081857,0.0192303365604332,2.02291508853999,45.4831409901553,9.27721901565535,1.85544380313107,0.143107227635033,0.000220212060213101,0.169178738401155,0.00718800776917814,0.00718800507195541,0.0223835809156299,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:14
18,-0.785398163397448,-2.35619449019234,5,10,full_final,5,100001,40.954286390837,3.14146003011133,24.2998836635328,2.52095811565149,5.51239460577079,1.34463925911612,1.58045,NaN,0.00569851372243475,0.25191627247303,-0.000864593909241553,-0.25191627247303,0.0104584367775938,0.00661559562797223,0.00661544534420963,0.0208427840887193,7,0.135387756094157,0.0207197556905708,0.0194732869290151,2.04847199779252,49.7523719536603,9.48196506178316,1.89639301235663,0.144434555342333,0.000222230935725554,0.169961498782714,0.00711597745231982,0.00711597732288448,0.0238971775397658,7,0,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 14:35:12
