Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-12.4878564814397,25,-12.4878564814397,25,-0.0760433301329613
2,-9.66827633388098,18,-11.0780664076603,43,-0.0876922532916069
3,10.7691854813381,28,-3.79564911132752,71,-0.168448746204376
4,-33.6664422797433,15,-11.2633474034315,86,-0.121956959366798
5,-11.619833974386,17,-11.3346447176224,103,-0.0947770178318024
6,1.70211882326102,26,-9.16185079414181,129,-0.0387402027845383
7,1.17350459224694,14,-7.68537145322914,143,-0.0584983713924885
8,1.31571771978509,28,-6.56023530660236,171,-0.0873279348015785
9,-8.2894134447806,12,-6.75236621084438,183,-0.0776659846305847
10,2.52276046651076,14,-5.82485354310887,197,0.0064343623816967
11,-3.6398669882636,10,-4.94005459379126,207,-0.0440325774252415
12,-8.16680222771975,20,-4.78990718317514,227,-0.114424869418144
13,3.15977630598262,23,-5.55084810071069,250,-0.0678954273462296
14,-4.12260889572631,20,-2.59646476230899,270,-0.0733776465058327
15,7.2764705059243,17,-0.706834314277953,287,-0.0487746447324753
16,-3.58100021050564,18,-1.23514621765462,305,-0.160580217838287
17,5.5762628437814,28,-0.794870392501173,333,-0.0761545822024345
18,-22.2004323751046,22,-3.14648540199014,355,-0.136236444115639
19,-2.24333882066025,14,-2.5418779395781,369,-0.0637032985687256
20,-12.4704508032396,24,-4.04119906655314,393,-0.103614076972008
21,-14.194206354447,21,-5.09663300317148,414,-0.0341997072100639
22,-10.2079933308939,24,-5.3007521134889,438,-0.0949809178709984
23,-8.73821858013913,18,-6.49055160210108,456,-0.0754211321473122
24,-4.98227370848645,33,-6.57651808337709,489,-0.116635337471962
25,-3.33618226627245,22,-7.63778336059677,511,0.0474124439060688
26,2.50168293706767,15,-7.02951504583943,526,-0.0996711924672127
27,10.0320046902887,24,-6.58394086118871,550,0.0382626987993717
28,-38.0443101363597,13,-8.16832863731421,563,-0.0562908351421356
29,-17.2854749628245,15,-9.67254225153064,578,-0.0138283297419548
30,-9.57934894811292,24,-9.38343206601797,602,-0.0738620907068253
31,-15.712894030316,22,-9.53530083360486,624,-0.0662975981831551
32,-2.98920632153631,15,-8.8134221326691,639,-0.0506519787013531
33,-2.80860385354102,26,-8.22046066000929,665,-0.115264549851418
34,-9.55783942103794,17,-8.67801723126444,682,-0.0856853127479553
35,-25.2031634435884,19,-10.864715348996,701,-0.074605256319046
36,-7.31936919453683,22,-11.8468205621565,723,-0.0621587373316288
37,-13.1941539118305,23,-14.1694364223684,746,-0.0226110760122538
38,3.86566630497547,15,-9.97843877823489,761,0.019430834800005
39,-9.64338686496475,19,-9.21422996844892,780,-0.135513037443161
40,-3.82127893083333,25,-8.63842296672096,805,-0.0513525642454624
41,-1.31985430298601,26,-7.19911899398797,831,-0.0485249571502209
42,-20.71812584486,20,-8.97201094632034,851,-0.0670770406723022
43,-13.7367232632123,22,-10.0648228872875,873,-0.0813423022627831
44,-9.73149547053942,10,-10.0821884922376,883,0.0488739721477032
45,4.46662889037486,26,-7.11520925884129,909,-0.0809461027383804
46,-20.0932778170045,19,-8.39260012108805,928,-0.0934985801577568
47,-17.1407186495216,39,-8.78725659485716,967,-0.013440515846014
48,2.0940806401196,22,-8.96441516134274,989,-0.143557474017143
49,-11.5942594436667,26,-9.15950241921294,1015,-0.0561814047396183
50,-38.4458428489426,14,-12.6219588110239,1029,-0.086488738656044
51,-35.2450459730475,14,-16.01447797803,1043,-0.0871565118432045
52,6.17091100416339,21,-13.3255742931277,1064,-0.0574853271245956
53,7.88328438184415,27,-11.163573528622,1091,0.0118879564106464
54,-7.21883739023112,19,-10.9123077205912,1110,0.0174036007374525
55,12.9401565025543,30,-10.0649549593732,1140,-0.069213978946209
56,-7.0945853139075,21,-8.76508570906355,1161,-0.0597713813185692
57,-15.6231186821291,15,-8.61332571232431,1176,-0.214860528707504
58,6.00519466192919,19,-8.22221431014335,1195,-0.158381760120392
59,-3.35697327242936,20,-7.39848569301962,1215,-0.262331575155258
60,-31.8985065219263,19,-6.74375206031799,1234,-0.329460829496384
61,1.05059211083095,17,-3.11418825193015,1251,-0.290458738803864
62,-8.03756447201304,20,-4.53503579954779,1271,-0.148948714137077
63,-7.1145640965267,16,-6.03482064738488,1287,-0.0968628823757172
64,5.34666519669611,22,-4.77827038869215,1309,-0.121454000473022
65,5.11101667204863,21,-5.56118437174272,1330,-0.301935166120529
66,-22.4695787541967,41,-7.09868371577164,1371,-0.176914528012276
67,-22.6101347969926,17,-7.79738532725799,1388,-0.0676930248737335
68,-32.716529843537,19,-11.6695577778046,1407,-0.135289460420609
69,-9.00670396058897,20,-12.2345308466206,1427,-0.0162464529275894
70,-12.2664568402241,20,-10.2713258784503,1447,-0.105310499668121
71,-15.9566020744796,10,-11.9720452969814,1457,-0.426997542381287
72,2.33481710682509,21,-10.9348071390976,1478,-0.362440258264542
73,-3.12081490717678,12,-10.5354322201626,1490,-0.431251555681229
74,3.45991109722373,16,-10.7241076301098,1506,-0.622560739517212
75,5.83434359172642,35,-10.6517749381421,1541,-0.38676330447197
76,-12.016411646666,38,-9.60645822738898,1579,-0.111417353153229
77,-6.7276800180805,19,-8.01821274949777,1598,-0.0531615912914276
78,-3.96372763917499,20,-5.14293252906157,1618,-0.262726694345474
79,-4.91754369892586,14,-4.73401650289525,1632,-0.045403279364109
80,2.98813191269882,16,-3.20855762760297,1648,-0.139829859137535
81,-5.27302306181141,13,-2.14019972633615,1661,-0.355246990919113
82,6.39187885091184,16,-1.73449355192747,1677,-0.340833365917206
83,5.89542904163782,18,-0.83286915704601,1695,-0.0817721262574196
84,-2.33733164878359,12,-1.41259343164674,1707,-0.104812413454056
85,-6.88426528457087,10,-2.68445431927647,1717,-0.109040603041649
86,-1.5764258769664,16,-1.64045574230651,1733,-0.114546984434128
87,7.45846012263449,23,-0.221841728235013,1756,-0.23761859536171
88,-19.8307865854056,12,-1.80854762285808,1768,-0.0466046929359436
89,-14.9970055446994,15,-2.81649380743543,1783,-0.101850152015686
90,-10.158277980577,17,-4.13113479676302,1800,-0.168485090136528
91,-4.73637358151207,24,-4.07746984873308,1824,-0.256991893053055
92,1.91335772285317,23,-4.52532196153895,1847,-0.525763332843781
93,13.199166314346,32,-3.79494823426813,1879,-0.0487119294703007
94,-12.9194630686291,22,-4.85316137625268,1901,-0.186851099133492
95,8.72944726286646,32,-3.29179012150895,1933,-0.110237076878548
96,9.1243899703327,21,-2.22170853677904,1954,0.099151037633419
97,-14.390596982428,22,-4.40661424728529,1976,0.0415136963129044
98,-0.514799754113272,19,-2.47501556415606,1995,0.0554590821266174
99,-26.2160566833029,12,-3.59692067801641,2007,-0.17737041413784
100,-19.5190965314775,15,-4.53300253310646,2022,0.157252535223961
101,-3.26842302947513,23,-4.38620747790276,2045,-0.0183578878641129
102,-10.2486582804738,16,-5.60240907823546,2061,-0.0936165004968643
103,-17.8402817127153,11,-8.70635388094159,2072,-0.0701496750116348
104,-5.89260432088576,17,-8.00366800616726,2089,0.00291220843791962
105,-32.0774639263293,19,-12.0843591250868,2108,0.074138805270195
106,-38.0220671547552,13,-16.7990048375956,2121,0.0966368615627289
107,-5.50014892724683,35,-15.9099600320775,2156,0.0821172371506691
108,-35.1112908771798,17,-19.3696091443842,2173,0.0253232270479202
109,7.33985467707192,22,-16.0140180083467,2195,-0.0997648388147354
110,-19.0631786941187,19,-15.9684262246108,2214,0.0989265590906143
111,4.13892879989871,19,-15.2276910416734,2233,0.0766026973724365
112,-17.04288595767,11,-15.907113809393,2244,0.0101375132799149
113,-26.020025713345,22,-16.725088209456,2266,0.169926375150681
114,-8.61192996248169,12,-16.9970207736156,2278,-0.154205977916718
115,-25.0633198443302,16,-16.2956063654157,2294,-0.0978274792432785
116,-11.3637047503464,25,-13.6297701249748,2319,0.0840137004852295
117,-30.5129865915739,15,-16.1310538914075,2334,0.143001347780228
118,3.61053311198882,36,-12.2588714924906,2370,0.017636202275753
119,-8.77259187663699,18,-13.8701161478615,2388,0.0556440614163876
120,-3.53567858179809,15,-12.3173661366295,2403,0.175826251506805
121,-1.06625495628006,15,-12.8378845122473,2418,-0.0847884714603424
122,-0.838127387046837,12,-11.217408655185,2430,0.0161590278148651
123,4.28535306184475,15,-8.18687077766606,2445,-0.0833044052124023
124,-0.0107985786027625,19,-7.32675763927817,2464,0.062979981303215
125,-1.25238650620445,15,-4.9456643054656,2479,-0.0297199040651321
126,-6.81394496483528,22,-4.49068832691449,2501,-0.0292481631040573
127,2.48056369636457,17,-1.19133329812063,2518,-0.0687381327152252
128,-7.66161356518215,21,-2.31854796583773,2539,0.0982780009508133
129,-16.3471550404116,13,-3.07600428221519,2552,0.111033499240875
130,-11.5211485355869,19,-3.87455127759408,2571,0.0143539384007454
131,-25.6610537125535,14,-6.33403115322142,2585,-0.15941347181797
132,-8.67348572901196,19,-7.11756698741793,2604,0.0797013491392136
133,-5.19129610036864,23,-8.06523190363927,2627,0.0388187691569328
134,-14.9639381086019,24,-9.56054585663918,2651,0.495835781097412
135,-33.2791753629445,17,-12.7632247423132,2668,0.562867283821106
136,-5.81046020195329,15,-12.662876266025,2683,0.506210029125214
137,16.7807845702454,71,-11.2328541786369,2754,0.415025651454926
138,0.993962104762201,30,-10.3672966116425,2784,0.357101857662201
139,-35.7287885644886,12,-12.3054599640502,2796,0.495557010173798
140,-7.40954997126514,24,-11.894300107618,2820,0.526545643806458
141,5.39822787992744,25,-8.7883719483699,2845,0.340256214141846
142,-8.93619521661017,18,-8.81464289712972,2863,0.455137819051743
143,-8.44598758739801,23,-9.14011204583266,2886,0.486674636602402
144,-5.15231756501641,29,-8.15894999147411,2915,0.464306056499481
145,-26.7361765273057,19,-7.50465010791023,2934,0.57360851764679
146,-7.98983600230971,76,-7.72258768794587,3010,0.519569575786591
147,8.49036099622609,28,-8.55163004534781,3038,0.302349895238876
148,14.7863713380577,36,-7.17238912201825,3074,0.572019338607788
149,-2.08402037300756,37,-3.80791230287015,3111,0.496639132499695
150,6.9531068144583,22,-2.3716466242978,3133,0.427098870277405
151,-14.4002092665343,44,-4.35149033894397,3177,0.464887320995331
152,-0.303716613115541,13,-3.48824247859451,3190,0.339382737874985
153,-5.76204432645705,16,-3.21984815250042,3206,0.435806810855865
154,-23.2165706133379,16,-5.02627345733257,3222,0.497896462678909
155,1.41195059680243,18,-2.21146074492175,3240,0.40274640917778
156,-5.69175588472415,16,-1.98165273316319,3256,0.396063446998596
157,-24.2350694824569,20,-5.25419578103149,3276,0.41229784488678
158,-3.31951265903324,36,-7.06478418074059,3312,0.447444081306458
159,-11.2474331479439,24,-7.98112545823423,3336,0.606456875801086
160,12.0749840016944,28,-7.46893773951061,3364,0.299177974462509
161,-17.1011302544478,16,-7.73902983830197,3380,0.550967514514923
162,-9.41500411347667,19,-8.65015858833808,3399,0.477995157241821
163,2.65986728513116,35,-7.80796742717926,3434,0.478905200958252
164,-9.07243093817881,10,-6.39355345966335,3444,0.521354734897614
165,3.83423805703029,31,-6.15132471364056,3475,0.473525643348694
166,-28.4269784291469,14,-8.42484696808284,3489,0.443738371133804
167,-32.6983056093809,19,-9.27117058077523,3508,0.560829818248749
168,-4.33193339070722,16,-9.37241265394263,3524,0.277328491210938
169,-0.373203395480719,14,-8.28498967869631,3538,0.626777350902557
170,8.2960665054682,24,-8.66288142831893,3562,0.422205775976181
171,-11.0799048419109,16,-8.06075888706524,3578,0.558952212333679
172,-22.6068511414677,16,-9.37994358986434,3594,0.500299155712128
173,-5.0715990233459,19,-10.153090220712,3613,0.626935422420502
174,-3.32352478508198,17,-9.57819960540237,3630,0.648051500320435
175,-0.846177963426749,15,-10.0462412074481,3645,0.811361074447632
176,-5.72648142079981,17,-7.77619150661336,3662,0.819387257099152
177,-9.0862199054626,24,-5.41498293622153,3686,0.811020016670227
178,8.38248497344466,36,-4.14354109980635,3722,0.661539912223816
179,-0.542494675020102,32,-4.16047022776028,3754,0.846508324146271
180,-13.0098435034767,13,-6.29106122865478,3767,0.753690719604492
181,-4.16851054783305,13,-5.59992179924699,3780,0.868965804576874
182,18.0441055765331,107,-1.53482612744692,3887,0.706040263175964
183,9.15468265849586,32,-0.112197959262742,3919,0.77477240562439
184,18.355681185401,124,2.05572263778555,4043,0.750060141086578
185,1.23407010442458,18,2.26374744457069,4061,0.780598163604736
186,-27.0794165564063,16,0.128453931010033,4077,0.752833724021912
187,-30.4221261416821,21,-2.00513669261192,4098,0.660668849945068
188,-14.3828188801255,21,-4.28166707796894,4119,0.912417054176331
189,-8.94006939324836,18,-5.12142454979176,4137,0.89915806055069
190,0.410945371058985,17,-3.77934566233819,4154,0.854155123233795
191,0.489302009854749,12,-3.31356440656941,4166,0.862152218818665
192,-24.6035193886755,12,-7.57832690309027,4178,0.754140555858612
193,-10.1717165671235,18,-9.51096682565221,4196,0.831877768039703
194,7.68129694847676,103,-10.5784052493446,4299,0.761790752410889
195,26.0175021779437,102,-8.10006204199272,4401,0.676336228847504
196,-22.9831310495401,16,-7.69043349130609,4417,0.819627344608307
197,22.5879509896493,118,-2.38942577817294,4535,0.845977783203125
198,33.197154113328,122,2.36857152117241,4657,0.754839420318604
199,-19.6388257403065,11,1.2986958864666,4668,0.823348820209503
200,-2.77223110546929,25,0.980378238813767,4693,0.532965183258057
201,37.0540449673394,117,4.63685253456224,4810,0.849019885063171
202,4.20993679861087,21,7.51819815329087,4831,0.835751295089722
203,1.4288001581812,19,8.67824982582134,4850,0.605123400688171
204,-5.65341765377101,15,7.34477836559657,4865,0.814329147338867
205,-19.2832577125238,13,2.81470237654982,4878,0.84393835067749
206,19.8961503156412,102,7.10263051306794,4980,0.796905159950256
207,-3.60573623121877,17,4.48326179098113,4997,0.743360340595245
208,-7.3857525629939,27,0.424971123348945,5024,0.88194727897644
209,-11.0500689354376,18,1.28384680383584,5042,0.744845032691956
210,-2.39665981157981,15,1.32140393322479,5057,0.6086146235466
211,-4.0262796947375,22,-2.78662853298291,5079,0.683184206485748
212,-25.1933446878551,16,-5.7269566816295,5095,0.887043178081512
213,15.8768916150722,71,-4.2821475359404,5166,0.85846072435379
214,5.1996381917739,115,-3.19684195138591,5281,0.887213587760925
215,-23.6879981441161,14,-3.63731599454515,5295,0.88972395658493
