CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,DActionEnergy,DTorqueCommandEnergy,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,100001,0.953955057652717,3.14159265358979,31.4507791724865,0.440318092099646,0.63005403036151,3.57261315710064,1.5915,NaN,3.76777704767663e-08,0.802312667867341,-2.39274486746586e-08,-0.802312667867341,1.00106976685263e-07,0.0205372346868324,13.2251331719239,0.00578087191670902,0.60811275915413,13.2251331719239,0.0236748860139372,0.164281063286465,0,0,2.66988959263297,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:20
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,5,100001,1.164533069783,3.14159265358979,25.3510712733515,1.29049384910958,2.50623930355356,3.58343090763458,1.7481,NaN,6.51109322453226e-08,0.802312756953834,-6.51107572072119e-08,-0.802312756953834,1.80907489433224e-07,0.0317613231419283,18.2945221317236,0.00786312018537157,0.827152682221852,18.2945221317236,0.0324066882361589,0.18666252427973,0,0,4.3767323396347,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:02
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,0.09,1801,1.57468390987614,3.14159265358979,19.6477312238598,0.227514766357714,0.585846146226841,0.10896686754545,NaN,NaN,2.52796010652275,1.2107259255667,-2.52796010652275,-1.2107259255667,3.14159265358979,0.0026033256005111,1.90786019741911,0.000707464272429806,0.074420962254286,1.90786019741911,0.0026944572698287,0.0236233425861047,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:12
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,100001,1.16061584297049,3.14159265358979,28.7287118130932,1.0853702760708,1.87405763188296,3.81055860915309,1.2974,NaN,4.03671459242951e-08,0.802312711028484,-2.536852162519e-08,-0.802312711028484,1.24279150970352e-07,0.0265493896433364,16.4721541552939,0.00715352791387691,0.752507867337468,16.4721541552939,0.02663135910136,0.176990742838481,0,0,4.07939977415834,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:20
5,-0.785398163397448,-3.14159265358979,0,0,full_final,0.24,4801,1.57786585699837,3.14159265358979,16.3681748427215,0.522961050967274,1.2069835473698,0.172039880963478,NaN,NaN,2.17903895260821,0.716929650339464,2.04685779950986,0.44587837806906,3.14159265358979,0.0104303876866305,6.14432314299132,0.00252481321250456,0.26559507823848,6.14432314299132,0.0114538418072289,0.0738433087777512,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:13
6,-0.785398163397448,-3.14159265358979,0,10,full_final,0.135,2701,1.57244639353875,3.14159265358979,23.3766674297762,0.291162277236999,0.663490026658515,0.165823353661598,NaN,NaN,2.15680300428899,1.22830284913381,-2.15680300428899,-1.22830284913381,3.14159265358979,0.00435734272405951,3.25936692274972,0.00131979532478195,0.138834485184163,3.25936692274972,0.00437259757972653,0.040239380740091,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:12
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,5,100001,1.05377650818662,3.14159265358979,26.1205262056858,1.17729070325614,2.24178789573506,3.69609325540955,1.3562,NaN,1.97617721382573e-08,0.802312506896116,9.62129402446036e-09,-0.802312506896116,5.08493487316741e-08,0.0232268506214833,13.7947366687904,0.00590993408443793,0.62168931854706,13.7947366687904,0.0218325565786146,0.134076940109181,0,0,4.20540293276555,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:02
8,-0.785398163397448,-3.14159265358979,5,0,full_final,0.21,4201,1.61208050519226,3.14159265358979,26.678143926692,0.489546166327808,1.1839335096147,0.156978175145595,NaN,NaN,2.33119662494969,0.747622528504212,2.14724715110523,0.529887137058307,3.14159265358979,0.0275543880004236,16.9060146358941,0.00723604673012651,0.761188347679319,16.9060146358941,0.0403622951106748,0.253170028800441,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:13
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,100001,1.31882766756194,3.14159265358979,32.2106484668342,1.01689371374394,1.62285314968149,3.85475292479528,1.8845,NaN,1.20078547851169e-07,0.802312664981584,-1.20078547851169e-07,-0.802312664981584,2.91122032902033e-07,0.0157699731603621,10.026816347665,0.00426169058855127,0.448304072431433,10.026816347665,0.00892815662965223,0.0702924183327296,0,0,3.96248673178847,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:02
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,100001,1.47844174047057,3.14121234190923,22.9367455374246,0.540106786144348,0.995704531091943,4.45909494636492,0.8622,NaN,2.45490072402593e-08,0.802312601865122,2.75170999585422e-09,-0.802312601865122,8.59876842833476e-08,0.0155099993445107,9.16779349760046,0.00391879203086734,0.412233218237209,9.16779349760046,0.0154807569433942,0.093849837497217,0,0,3.31170192128715,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:20
11,-0.785398163397448,-2.35619449019234,-5,0,full_final,0.06,1201,1.57260442004855,2.35744668557923,18.2551700110311,0.134377472297816,0.301521231424453,0.0685179218361893,NaN,NaN,2.23959861583377,1.14199620151166,-2.23959861583377,-1.14199620151166,2.35744668557923,0.00683495437859617,4.61948627913593,0.00188092551907615,0.197861987542527,4.61948627913593,0.00409483371418293,0.0371398342709507,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:53
12,-0.785398163397448,-2.35619449019234,-5,10,full_final,0.1,2001,1.57786243927683,2.35619449019234,13.3626486196177,0.184927610969044,0.349128302837769,0.119010103715082,NaN,NaN,1.8493052065334,1.19009680389954,-1.8493052065334,-1.19009680389954,2.35619449019234,0.00768534507472778,5.44637304667099,0.00230688295059422,0.242670132869872,5.44637304667099,0.00738894206259338,0.0629639266688075,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:53
13,-0.785398163397448,-2.35619449019234,0,-10,full_final,5,100001,1.14933581553101,3.14153411091847,28.1930994993113,1.27564455057681,2.37573426359901,3.88314868833616,1.3447,NaN,4.96169367710585e-08,0.80231273912897,-3.66733612859833e-08,-0.80231273912897,1.08459730974175e-07,0.017103700555191,9.85792096902416,0.00422550324394089,0.44449738266309,9.85792096902416,0.0151661768431534,0.0874809676012575,0,0,4.4948041479678,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:01
14,-0.785398163397448,-2.35619449019234,0,0,full_final,0.075,1501,1.59017038112922,2.35751592085467,17.6285764935934,0.164341332991796,0.36155850295712,0.0839776290898115,NaN,NaN,2.19118936749304,1.11974707932611,-2.19118936749304,-1.11974707932611,2.35751592085467,0.0106846018940864,6.46270873369368,0.00271946733258479,0.286071514275849,6.46270873369368,0.00686448347671092,0.0474110867441479,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:52
15,-0.785398163397448,-2.35619449019234,0,10,full_final,0.135,2701,1.58093741306684,2.35619449019234,14.4424186103354,0.224961823274232,0.390886888792946,0.160294476263414,NaN,NaN,1.66642761043739,1.18736493634081,-1.66642761043739,-1.18736493634081,2.35619449019234,0.0107147366740083,7.47457027651803,0.00326681096393373,0.343648753602496,7.47457027651803,0.00857042363540338,0.0756402962361272,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:53
16,-0.785398163397448,-2.35619449019234,5,-10,full_final,5,100001,1.10813185305092,3.14150822969341,27.0201784887108,1.35615402044693,2.67136827571477,3.80098874217765,1.37665,NaN,1.8029726319552e-08,0.802312542436867,5.33110681354068e-09,-0.802312542436867,5.17994647175612e-08,0.0187944376296354,10.9126315434192,0.00468039379175047,0.492349116817936,10.9126315434192,0.0165172171111482,0.0968798799352149,0,0,4.61492279266482,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:00
17,-0.785398163397448,-2.35619449019234,5,0,full_final,0.095,1901,1.60717743687855,2.35694027759784,17.0254071550811,0.199423747006492,0.42248206339533,0.104458966802368,NaN,NaN,2.09917549798759,1.09961894994608,-2.09917549798759,-1.09961894994608,2.35694027759784,0.0132672378944645,8.03146530009655,0.00347184074055291,0.365216645949024,8.03146530009655,0.00732746222917669,0.0501724775320905,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:28:52
