Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-11.1665954899826,49,-11.1665954899826,49,-0.0733776465058327
2,-12.4559977378398,51,-11.8112966139112,100,-0.114424869418144
3,6.91602116180964,53,-5.56885735533762,153,-0.0678954273462296
4,33.68264933164,77,4.24401931640678,230,-0.168448746204376
5,-1.2886683821286,33,3.1374817766997,263,-0.0637032985687256
6,-23.9238171507281,42,-1.37273471120493,305,-0.0876922532916069
7,-25.1540103450123,56,-4.77005980174884,361,-0.103614076972008
8,-78.0080579022797,45,-13.9248095643152,406,-0.136236444115639
9,-4.16805354930617,47,-12.8407255626475,453,-0.160580217838287
10,7.39086867041816,36,-10.817566139341,489,-0.0487746447324753
11,-4.3156078893529,33,-10.132467379278,522,-0.0584983713924885
12,-8.99575406263789,27,-9.78644301175779,549,-0.0776659846305847
13,-8.26628680835916,65,-11.3046738087747,614,-0.0949809178709984
14,-4.30570894266706,57,-15.1035096362054,671,-0.0387402027845383
15,-30.1232942752724,49,-17.9869722255198,720,-0.0341997072100639
16,-21.53331845731,42,-17.7479223561779,762,-0.0947770178318024
17,-7.16032052548938,22,-15.9485533742257,784,-0.0440325774252415
18,23.7454965931508,56,-5.7731979246826,840,-0.0873279348015785
19,-24.5671430327793,58,-7.81310687302992,898,-0.0760433301329613
20,6.57630473681306,65,-7.89456326639043,963,-0.0761545822024345
21,-77.1030638716568,35,-15.1733088646208,998,-0.121956959366798
22,8.36548844899735,35,-13.4371846134573,1033,0.0064343623816967
23,3.05418505818465,48,-12.3051374268029,1081,-0.0799663737416267
24,-56.4478730647502,43,-17.5193538390112,1124,-0.358605176210403
25,-16.7503722914902,40,-16.182061640633,1164,-0.337940484285355
26,6.38014699185568,29,-13.3907150957164,1193,-0.387079536914825
27,-32.4960999119673,26,-15.9242930343642,1219,-0.260090827941895
28,-77.7246672116747,50,-26.0713094148468,1269,-0.0786378160119057
29,-30.3933233682915,53,-26.653927448398,1322,-0.0728654488921165
30,-15.8057470742692,54,-28.8921326295062,1376,-0.067743219435215
31,-14.5241380213076,43,-22.6342400444713,1419,-0.293046951293945
32,-39.5096194037858,24,-27.4217508297496,1443,-0.463736325502396
33,-42.2684978636491,40,-31.954019121933,1483,-0.398383140563965
34,15.103115433392,47,-24.7989202721188,1530,-0.073641262948513
35,-26.3258011891578,22,-25.7564631618855,1552,-0.325902432203293
36,12.3394168241183,34,-25.1605361786593,1586,-0.0370026975870132
37,-92.6423903642664,39,-31.1751652238892,1625,-0.395682811737061
38,-33.2301984589415,35,-26.7257183486158,1660,-0.279004812240601
39,-8.0954878043213,61,-24.4959347922188,1721,-0.362990856170654
40,5.42137531599789,36,-22.3732225531921,1757,-0.293163269758224
41,-21.4528238282265,29,-23.066091133884,1786,-0.387911826372147
42,4.85115115906542,41,-18.6300140775989,1827,-0.347757816314697
43,26.2880020399492,47,-11.7743640872391,1874,0.01774394325912
44,-43.7914215993059,44,-17.6638177905089,1918,-0.127316415309906
45,5.4919420362362,56,-14.4820434679695,1974,-0.356338232755661
46,-36.5226917146931,42,-19.3682543218506,2016,-0.278833091259003
47,26.5635785714381,57,-7.44765742828015,2073,-0.289019912481308
48,-57.9400615374503,41,-9.91864373613103,2114,-0.121918529272079
49,-23.3459560045688,29,-11.4436905561558,2143,-0.321739375591278
50,-32.322859391633,24,-15.2181140269189,2167,-0.102201908826828
51,-17.674509209018,53,-14.840282564998,2220,-0.0719933211803436
52,-56.6840495723235,37,-20.9938026381369,2257,-0.217155858874321
53,-9.07923538735675,50,-24.5305263808675,2307,-0.185554847121239
54,28.201209343901,70,-17.3312632865468,2377,-0.187400937080383
55,2.49541425112255,43,-17.6309160650582,2420,-0.178954422473907
56,-23.2505140191818,38,-16.3036982955071,2458,-0.296512305736542
57,-22.0795964868174,57,-21.1680158013326,2515,-0.2433992177248
58,-7.21053324190453,28,-16.095062971778,2543,0.280541777610779
59,28.6409351298307,132,-10.8963738583381,2675,0.429264485836029
60,-0.198828019514966,40,-7.68397072112627,2715,0.348400115966797
61,-41.5476369277458,36,-10.0712834929991,2751,0.228991910815239
62,4.90046922134234,31,-3.91283161363247,2782,0.382125377655029
63,-19.5861956918997,64,-4.96352764408677,2846,0.274620175361633
64,-79.7026432565801,32,-15.7539129041349,2878,0.371807038784027
65,-37.9522835283302,37,-19.7986826820802,2915,0.245353907346725
66,-6.67251013889379,28,-18.1408822940514,2943,0.404161810874939
67,-56.7636817186972,42,-21.6092908172393,2985,0.361207008361816
68,27.8115668468387,69,-18.107080808365,3054,0.16539303958416
69,3.60088396609896,39,-20.6110859247382,3093,0.220728307962418
70,-16.0704456813774,43,-22.1982476909244,3136,0.318262934684753
71,-48.3776359964801,40,-22.8812475977978,3176,0.332581043243408
72,-82.8195121872168,32,-31.6532457386538,3208,0.297055751085281
73,-12.3561518393187,58,-30.9302413533957,3266,0.130015268921852
74,22.7778579995457,75,-20.6821912277831,3341,0.346708118915558
75,-47.8980689014582,36,-21.6767697650959,3377,0.385090172290802
76,24.0168852758453,52,-18.607830223622,3429,0.233578115701675
77,-2.19417112674265,52,-13.1508791644265,3481,0.215642154216766
78,-69.7588952726843,30,-22.9079253763788,3511,0.178304702043533
79,24.1671871683236,66,-20.8512950561564,3577,0.292853385210037
80,19.3224340435494,55,-17.3120070836637,3632,0.464620411396027
81,-22.5251915793813,40,-14.7267626419538,3672,0.436249315738678
82,-22.0877727955627,48,-8.65358870278838,3720,0.345471948385239
83,-58.549632746327,34,-13.2729367934892,3754,0.328861385583878
84,-21.6037818060724,26,-17.711100774051,3780,0.31818675994873
85,-34.6513800075079,32,-16.386431884656,3812,0.216515809297562
