CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,Status,Message,ElapsedWallSeconds,FinishedAt
13,-0.785398163397448,-2.35619449019234,0,-10,completed,,134.2014533,19-Jun-2026 11:55:28
15,-0.785398163397448,-2.35619449019234,0,10,completed,,12.4009201,19-Jun-2026 11:55:41
95,-0.785398163397448,3.14159265358979,0,0,completed,,3.5889084,19-Jun-2026 11:55:45
96,-0.785398163397448,3.14159265358979,0,10,completed,,8.57413,19-Jun-2026 11:55:54
97,-0.785398163397448,3.14159265358979,5,-10,completed,,8.8029471,19-Jun-2026 11:56:03
98,-0.785398163397448,3.14159265358979,5,0,completed,,8.1474292,19-Jun-2026 11:56:12
99,-0.785398163397448,3.14159265358979,5,10,completed,,8.0736251,19-Jun-2026 11:56:20
100,0,-3.14159265358979,-5,-10,completed,,9.519454,19-Jun-2026 11:56:30
107,0,-3.14159265358979,5,0,completed,,8.0645656,19-Jun-2026 11:56:38
108,0,-3.14159265358979,5,10,completed,,8.1631888,19-Jun-2026 11:56:47
109,0,-2.35619449019234,-5,-10,completed,,9.2622342,19-Jun-2026 11:56:56
110,0,-2.35619449019234,-5,0,completed,,8.2926826,19-Jun-2026 11:57:05
111,0,-2.35619449019234,-5,10,completed,,8.53457,19-Jun-2026 11:57:14
