CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,100001,0.817616840573548,3.14159265358979,26.7302922665972,0.397242800104541,0.670805169502851,1.02385538005422,1.00245,NaN,0.00531553203142115,0.137415155571276,-3.55739011906509e-05,-0.137415155571276,0.00805417414114704,0.00578066126003374,0.0057805507911929,0.0157631331746018,9.5,0.0215789359456477,0.00365077332344213,0.00339341973964362,0.356967230994728,7.69460764918347,1.63958442674223,0.327916885348445,0.0233251748235178,4.28490593761579e-05,0.0683010612267743,0.0128358166335915,0.0128339325087373,0.0442977789789438,9.5,0,0,1.45566666102667,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:11
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,0.28,5601,1.57758425304243,3.14159265358979,18.1267717360412,0.541080690643869,1.13433315638416,0.190400951940622,NaN,NaN,1.93251055883588,0.680092935193833,1.9313887617805,0.406087781397236,3.14159265358979,2.01285373764525,0.56684885112385,6.28318530322785,3.57142857142857,0.0286449786144134,0.00470314977369376,0.00437318838015004,0.460032965696256,10.0674463316774,2.11809859701073,7.56463784646689,0.0316726261661613,5.52227106498176e-05,0.336327997677869,0.329679047902297,0.327523189778216,1.64302092790604,30.3571428571429,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:01
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,0.225,4501,1.6145348937453,3.14159265358979,11.306977414486,0.55546353430756,1.40728007272267,0.230841685535033,NaN,NaN,2.46873989426011,1.0260017056719,-2.46873989426011,-1.0260017056719,3.14159265358979,2.50093815406286,0.400018730731348,1.22802948004669,2.22222222222222,0.0749637025183135,0.0115282115413546,0.0106832498682976,1.12381326688206,23.8556297472556,5.13567571584768,22.8252254037674,0.095636581642953,0.000147785649755332,0.651959718056783,0.577850965883518,0.57581566930879,1.7016190290451,40,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:01
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,100001,1.1490367500282,3.14159265358979,23.4697511442186,1.27913030310276,2.28085389470676,1.21036867012276,1.65215,NaN,0.00523866726264009,0.137219871452524,0.000110454643895675,-0.137219871452524,0.00805313121443518,0.00572550502520644,0.00572353464836318,0.0157924474334612,10,0.0259439691939703,0.00422339992549853,0.00398941595125668,0.419662427482623,9.27771935817151,1.94222189572689,0.388444379145377,0.0217773377025779,3.86714913118548e-05,0.0659959660927514,0.0128165585407298,0.0128141101812216,0.0445325952023268,10,0,0,3.31106061795726,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
5,-0.785398163397448,-3.14159265358979,0,0,full_final,0.265,5301,1.59707819341333,3.14159265358979,21.0828609257241,0.600785672636443,1.42486291066629,0.174332360131218,NaN,NaN,2.26714568627312,0.657958581551172,2.14743210090713,0.353067124957206,3.14159265358979,2.31884316261116,0.874967990718591,6.28318523571673,3.77358490566038,0.077774188504579,0.0121188967978288,0.0112248671272852,1.18078812647313,25.3396659376173,5.40864832660427,20.4099936852991,0.0962061337584132,0.000152280969029693,0.602529679088667,0.543475620940522,0.540019080354547,1.92107832431793,33.9622641509434,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:01
6,-0.785398163397448,-3.14159265358979,0,10,full_final,0.205,4101,1.61218227329728,3.14159265358979,13.8495646225547,0.447859404056766,1.03122807323242,0.217334735164678,NaN,NaN,2.1847188656799,1.06020324152936,-2.1847188656799,-1.06020324152936,3.14159265358979,2.24291085180264,0.507594884801241,1.59521127128897,2.4390243902439,0.03468722339525,0.00527704774383077,0.00486929760661727,0.512220655528444,11.0548170035475,2.35264829056477,11.4763331247062,0.047625461838401,7.3083760753047e-05,0.481995151470407,0.409757652187828,0.40364724574745,1.29972070455551,39.0243902439024,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:11
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,0.345,6901,1.5720352226316,3.14159265358979,16.6547977760483,0.627624086592903,1.230639008652,0.268999754573313,NaN,NaN,1.81932017947717,0.779767252305358,1.81840970486375,0.584427037746567,3.14159265358979,1.88881003313171,0.51087130132385,6.28268531574822,4.34782608695652,0.0057553562452328,0.00087153885003179,0.000831057897154149,0.0874222640004364,2.27635924000343,0.4297281206508,1.24558875550956,0.00402232477933741,6.55994662689205e-06,0.107976443745275,0.130468552175616,0.126050172789468,0.543463572859764,23.1884057971014,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:01
8,-0.785398163397448,-3.14159265358979,5,0,full_final,0.525,10501,1.5841789387096,3.14159265358979,19.5890775293685,1.35745531389203,3.6601539862751,0.249733820005062,NaN,NaN,2.56009106653707,0.466273985359216,-0.0653785486120979,-0.31132432053402,3.14151281830389,2.64039743869918,2.64034522215936,6.28317309416757,1.9047619047619,0.166962309587896,0.0255750174485826,0.02331897981928,2.45301562858961,51.7905025798575,11.1622759690079,21.2614780362055,0.253620639904243,0.000390262039092806,0.695044554795546,0.563920121855666,0.563697527648415,1.8767865896225,38.0952380952381,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:01
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,100001,1.42536015720678,3.14159265358979,24.8266551185684,1.90614987669648,3.52087638603584,1.76320154965839,2.37425,NaN,0.00522486943593885,0.137725135467337,-0.000138563504997988,-0.137725135467337,0.00805397746858993,0.00573098674389507,0.00572960657312936,0.0158222769976759,10,0.0505328778667983,0.00786907216363403,0.00742586219412395,0.781155786364125,16.8313317659971,3.57033743839103,0.714067487678206,0.0464611921193109,7.43301299077798e-05,0.0963962573125232,0.0128689224415198,0.0128673024301487,0.0446544568985701,10,0,0,4.84405650971523,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:11
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,100001,0.867941115650057,3.14108461913529,25.7636360850207,0.526736018025151,1.00679000028448,0.937728870413621,0.8961,NaN,0.00517446301850048,0.137120305434016,0.000182381540138261,-0.137120305434016,0.00805852931627602,0.00572996321341564,0.00572819618616322,0.0157532548026786,10,0.0105239315952933,0.00162076247113381,0.00151987667448383,0.159881832950304,3.5282813447642,0.740844500022297,0.148168900004459,0.0106510331977442,1.66030653129908e-05,0.046154161670957,0.0127613712881759,0.0127600161484105,0.0442040618509054,9.5,0,0,1.66733546919573,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
11,-0.785398163397448,-2.35619449019234,-5,0,full_final,5,100001,1.17512343207177,3.14158174242777,25.2613415696331,2.31316746176637,4.49895953047537,1.49007232999106,2.14715,NaN,0.00520212467813933,0.137514440774707,-0.000146805598094679,-0.137514440774707,0.00805828030275688,0.00576189686832615,0.00576105578989695,0.0157511817823135,9.5,0.0457021107029033,0.00695722945903617,0.00656586552707412,0.690689338811216,15.0068801529658,3.1716633771545,0.634332675430899,0.0450120940490053,6.85888383531017e-05,0.0948810771956192,0.0128842371547275,0.012884230135542,0.0445408169180155,9.5,0,0,5.52086277956244,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
12,-0.785398163397448,-2.35619449019234,-5,10,full_final,0.13,2601,1.58763220245332,2.35619449019234,10,0.245765573180226,0.470813132349616,0.149049392703656,NaN,NaN,1.89054351273872,1.1465491615748,-1.89054351273872,-1.1465491615748,2.35619449019234,1.90310901687807,0.218332674064548,0.727962922607818,3.84615384615385,0.0212050161274534,0.00306152090189179,0.00283569252947101,0.298297701982487,6.49639835685218,1.37758990751517,10.5968454424244,0.0252803732126824,3.84446445742541e-05,0.440981189313474,0.399677248365039,0.397686502492885,1.27290850877762,38.4615384615385,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:11
13,-0.785398163397448,-2.35619449019234,0,-10,full_final,5,100001,0.873021758591057,3.14140101610114,24.0939622939654,1.26880485886404,2.33265917347828,1.34320384343905,1.97145,NaN,0.00524879415330269,0.137540194130743,-0.000111737848870914,-0.137540194130743,0.00805436471584464,0.00573932282718918,0.00573792661830506,0.0157692875325259,10,0.0279535237426731,0.00430170088259981,0.00407775724187683,0.428955396910119,9.49264120423084,1.97770066074333,0.395540132148666,0.0237741553375707,3.71664762784938e-05,0.0689552831008193,0.0129187381031376,0.0129179824998011,0.0439400523900986,10,0,0,3.35724453735083,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
14,-0.785398163397448,-2.35619449019234,0,0,full_final,5,100001,1.46824609381228,3.1415765268953,25.348181378196,2.43316361756673,4.74969024196294,1.4631919687127,2.2381,NaN,0.00523742226933618,0.137177515904499,0.000106949565046046,-0.137177515904499,0.00805401745915166,0.00572153768497993,0.00571982404605362,0.0157534518240876,10,0.0588251175632132,0.00924805899859803,0.00875382006165414,0.920848921673017,19.8683702000021,4.21903587881899,0.843807175763799,0.0519796907573946,8.50779982151071e-05,0.101960473476141,0.0128065800797469,0.0128042064934493,0.0443962868303061,10,0,0,5.74901510325419,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
15,-0.785398163397448,-2.35619449019234,0,10,full_final,0.155,3101,1.5749756942831,2.35619449019234,12.4619335943939,0.268776472104082,0.478365857445337,0.174659245274701,NaN,NaN,1.73409514244987,1.12685104560556,-1.73409514244987,-1.12685104560556,2.35619449019234,1.75683436210398,0.28174636253386,0.916856212950735,3.2258064516129,0.0162628966620851,0.00261323431462688,0.00243058960224333,0.255683324364847,5.47635023686808,1.16951347811113,7.54524824587824,0.016093151944421,3.08008966980276e-05,0.322221642256072,0.342146371509963,0.341353497705948,1.31693208217621,35.4838709677419,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:11
16,-0.785398163397448,-2.35619449019234,5,-10,full_final,5,100001,1.15841327585096,3.14137332072542,25.2172172553546,2.18731803284846,4.17378160255066,1.51876248632127,2.1579,NaN,0.00529936236615791,0.137385822585849,-5.30030669180125e-05,-0.137385822585849,0.00805838766459364,0.00578666562069426,0.00578665798135874,0.0157507650892139,9.5,0.0421436185997172,0.00649100948699253,0.00613614198317815,0.64548502124162,13.9741226084743,2.96433060840101,0.592866121680202,0.0398999489874107,6.2306452272915e-05,0.089330788631256,0.0128451681769501,0.0128438378215701,0.0440352857112885,9.5,0,0,5.28490010360074,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
17,-0.785398163397448,-2.35619449019234,5,0,full_final,0.14,2801,1.58880543095708,2.35716264807771,10.0950155249976,0.299324623407224,0.641802537819766,0.157624049891298,NaN,NaN,2.13805383128233,1.12590792560626,-2.13805383128233,-1.12590792560626,2.35716264807771,2.14112084398579,0.114561263476635,0.337760164692875,3.57142857142857,0.0529105123690677,0.00824392397645608,0.00774359772391822,0.814579642226769,17.1461940177681,3.70740418811049,26.4814584865035,0.0520779603997678,8.65932830514587e-05,0.609906084103867,0.619895814914605,0.615590335210268,1.85616368055344,32.1428571428571,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:11
18,-0.785398163397448,-2.35619449019234,5,10,full_final,5,100001,1.36957639372539,3.14154823845103,24.9953059933224,5.40301705274605,10.1854792429765,2.52407710512898,NaN,NaN,1.04783383627992,0.427158694630159,0.0119190528799172,-0.18625606985987,3.14120793283642,1.42238720732867,1.42237888338195,6.2823775641297,2,0.106719765337318,0.0165957493460845,0.0162821253363203,1.71278110046761,37.5496017507838,7.87414562350382,1.57482912470076,0.0265913830851752,4.7820083939668e-05,0.072926515185048,0.137423253340359,0.137349111831288,0.556206196546555,8,0,0,48.7350763986792,TD3,NaN,mathworks_style_single_run,NaN,26-Jun-2026 16:59:22
