CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,100001,0.94289787036189,3.14159265358979,28.096217929727,5.62976766796102,10.5090895625176,1.78862870566888,NaN,NaN,1.18323941422941,0.334073536035949,-0.111384174741252,0.291936679889597,3.14155167635584,1.51541235369262,1.51344486926807,6.28306009626036,1.5,0.279927092819892,0.0427185302657469,0.0387675883126701,4.07811579883447,86.6345312943528,18.5913567283524,3.71827134567048,0.184073631510565,0.000707099836619842,0.191871640171529,0.277885621467288,0.277885241420513,1.96329307556152,26,0,0,51.5486804771063,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:57
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,5,100001,0.979103132244198,3.14159265358979,25.5500390002849,6.27204030730451,12.5148126609452,1.89563727797204,NaN,NaN,0.981322398539126,0.238602142224671,0.237710522823589,0.173811875882398,3.14140677652772,1.15239748621811,1.15029303610865,6.28223486486798,1.5,0.344337660828637,0.0524837494434233,0.0472185318143178,4.96710393838978,105.71936312155,22.6681734902555,4.53363469805109,0.247062346267673,0.000944954531768633,0.222289156851014,0.178845065141504,0.178535336762801,1.82134640216827,37.5,0,0,48.8548091948243,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:57
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,0.19,3801,1.59624425338466,3.14159265358979,14.9658812537013,0.465304736569502,1.16637002869675,0.212530767151524,NaN,NaN,2.44899626564929,1.11860199006548,-2.44899626564929,-1.11860199006548,3.14159265358979,2.47769393041339,0.376011307866079,1.20303662132445,2.63157894736842,0.0463102438708255,0.00711430975334714,0.00632210797186549,0.665047518407941,14.2098016457934,3.04002817549695,16.0001482920892,0.0362224882251829,0.000141298387968706,0.436628760927843,0.493606385107371,0.492106502636604,1.7907018661499,42.1052631578947,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:41
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,100001,0.785406348687533,3.14159265358979,26.5526694320517,1.96004569157746,3.85976919640942,0.683305621458103,2.14555,2.14555,1.8722254267304e-08,0.0266275042177195,-8.87247436356491e-09,-0.0266275042177195,4.08601736660988e-08,3.78586687189525e-08,3.29820485614476e-08,1.8271836843553e-07,8.5,0.0977156451044618,0.014929665964371,0.0134015148241997,1.40975829840365,30.203892685057,6.44705265226561,1.28941053045312,0.0713179307990257,0.000274542249062423,0.119430256467133,1.51634524703149e-07,1.51631052702114e-07,9.23871994018555e-07,73,0,0,4.27021671719225,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:57
5,-0.785398163397448,-3.14159265358979,0,0,full_final,5,100001,1.26459204436698,3.14159265358979,26.1637356897014,7.98306353478157,18.6100097305068,2.39485917540037,NaN,NaN,1.03490394067258,0.463208783667918,-0.315430648126112,0.463208783667918,3.1413422889577,1.49466680473682,1.4825461229161,6.28289548022249,1.5,0.635540171452916,0.0966418474233545,0.0860352595779816,9.05038891024134,191.989611520876,41.296433419952,8.2592866839904,0.492004459974789,0.00187171415572403,0.313689164611973,0.263013700257312,0.262869102292328,1.90685081481934,19,0,0,53.6261508874588,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:57
6,-0.785398163397448,-3.14159265358979,0,10,full_final,5,100001,1.42512021143646,3.14159265358979,26.5874116768128,2.78991213411625,5.62765332389364,1.65812849098222,2.8948,2.8948,1.34697862453387e-07,0.0266270276412661,-1.34110623628691e-07,-0.0266270276412661,4.76480444188562e-07,2.46816743388446e-06,2.00085984027901e-06,8.3268074231313e-06,0.5,0.106987489348945,0.0162736680992011,0.0146332628476888,1.53933074005931,32.9377369268544,7.04004986525467,1.40800997305094,0.0769757354702834,0.000292743782587086,0.124077182004012,2.75092496476985e-07,2.53978853738132e-07,1.2516975402832e-06,53,0,0,6.41805448991487,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:57
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,5,100001,1.04358399546058,3.14159265358979,24.2858077147544,5.96953873440174,11.6409178028714,2.07729628565501,NaN,NaN,0.909984934045567,0.584776791834737,-0.473339763933421,0.584776791834737,3.14128717674866,1.44845463192205,1.42675457897323,6.28243942401948,1.5,0.213263452180859,0.0324473159907819,0.029320347330931,3.08432319063049,66.1652710234386,14.1142308436368,2.82284616872735,0.14583509278537,0.000558662677117781,0.170783542992508,0.177375449449562,0.176651247949315,1.86360532045364,17,0,0,46.9013757202973,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
8,-0.785398163397448,-3.14159265358979,5,0,full_final,0.196,3921,1.59727336624883,3.14159265358979,13.1550344061376,0.50875034714971,1.33973794617703,0.217206806209363,NaN,NaN,2.59567765486411,1.10821919407092,-2.59567765486411,-1.10821919407092,3.14159265358979,2.61447924050112,0.312984362309779,0.992901851200904,2.55102040816327,0.07702403385292,0.0118132747701315,0.0104360264895237,1.09780686280329,23.3833542446746,5.01803401526581,25.6022143636011,0.0635094546759387,0.00024640249898857,0.569234424450313,0.626316470286689,0.62380814248032,1.79182642698288,48.469387755102,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:41
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,100001,1.05326703737902,3.14159265358979,27.3841091229981,5.76978380085781,10.8557678176525,2.05640322391506,NaN,NaN,1.06973856195465,0.385855589122559,-0.252869617606084,0.381851447867295,3.14150676631437,1.49740293806446,1.48796090727722,6.28300798380221,2,0.196713676309209,0.0300039118677583,0.0273551909350513,2.8776006243315,61.3832716438629,13.1363047244311,2.62726094488622,0.124149061725783,0.000476365188638268,0.157574783341615,0.27704377102004,0.276934212607381,1.95290088653564,22,0,0,49.685224709604,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,100001,0.951526181338885,3.14158164336341,25.6558401457801,5.42979419220605,10.0661195248174,1.96171886230818,NaN,NaN,0.696011982271542,0.326899650791292,-0.0787284236658688,0.263726858179397,2.18445467476145,1.18773987789335,1.17126138909681,6.28223357023672,1.5,0.258924265279842,0.0394759756023404,0.035662121353069,3.75143945857398,79.9111929075552,17.1179062699559,3.42358125399119,0.178819172500284,0.000684931846741854,0.189113284832285,0.185693493640698,0.184987570653769,1.81277048587799,29,0,0,36.7044089641896,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
11,-0.785398163397448,-2.35619449019234,-5,0,full_final,5,100001,1.26484842165555,3.14158962427873,22.5930644563917,3.09019546608982,6.30423735282903,1.30887325228619,2.6734,2.6734,2.74174369822916e-08,0.0266274834342494,9.10162450907254e-09,-0.0266274834342494,5.69220541812854e-08,1.84388858201501e-07,1.49911149983988e-07,6.80395833896341e-07,0.5,0.127777270363513,0.0194417036042231,0.0174365539590621,1.83422000884285,39.2881450063383,8.37944691545977,1.67588938309195,0.0946746125127568,0.000360339253176444,0.137604224145014,1.89672502028885e-07,1.89476278489039e-07,1.37090682983398e-06,68.5,0,0,6.84603950792893,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
12,-0.785398163397448,-2.35619449019234,-5,10,full_final,5,100001,1.35674770103918,3.14154625153173,24.2163277186076,2.58441419254813,5.11405404081253,1.3142797282677,2.58475,2.58475,2.49215314909712e-08,0.0266273600837281,-2.45857947071308e-08,-0.0266273600837281,4.80933139750253e-08,4.85113447865648e-07,3.98238047237875e-07,1.69316610154624e-06,0.5,0.0793366256813797,0.0120696782112206,0.010892220856289,1.14579575082593,24.6010802208105,5.24146269923688,1.04829253984738,0.0559287369728784,0.000212797894593508,0.105762693775148,2.1250370096418e-07,2.11251446376771e-07,1.55717134475708e-06,69,0,0,5.83265108391022,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
13,-0.785398163397448,-2.35619449019234,0,-10,full_final,5,100001,0.802078565787162,3.14147725393958,21.3106416696687,2.10188707402585,4.14246295420558,0.95329880181377,2.44455,2.44455,1.41593969181224e-08,0.0266274043470881,-1.11733776481077e-08,-0.0266274043470881,4.48016661318409e-08,1.9691429819639e-07,1.6368680026725e-07,6.86510359670933e-07,0.5,0.0635125982288708,0.00966136338016357,0.00871039714180288,0.91628109315482,19.7297860452875,4.1973684114964,0.839473682299279,0.0449451626818351,0.000170958840575318,0.0948105085756163,2.06482180733177e-07,2.06272879199276e-07,1.23679637908936e-06,67.5,0,0,4.68578961213722,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:09
14,-0.785398163397448,-2.35619449019234,0,0,full_final,5,100001,1.43495466183977,3.14151742661462,26.5284767228371,2.47713519144935,5.19067007133771,0.932418097730298,1.85935,2.0146,2.07060665176601e-08,0.026627495528207,-4.2656538050111e-09,-0.026627495528207,4.12076455409557e-08,2.7869231282802e-08,2.3685116453398e-08,1.41985381674203e-07,9.5,0.106925707183928,0.0163640450301924,0.014774392278636,1.55417670255211,33.2793781827061,7.11160941598192,1.42232188319638,0.0734281789346331,0.000284242898774834,0.121184305035457,1.73325492875711e-07,1.73324083555032e-07,1.11013650894165e-06,69.5,0,0,5.42930030904473,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
15,-0.785398163397448,-2.35619449019234,0,10,full_final,5,100001,1.17246913904341,3.14150491783294,26.5151997588167,5.77295192953653,10.8638181276472,2.10623204464957,NaN,NaN,1.23243391302417,0.313916344520418,-0.0246622829120069,0.249145822824233,3.14118490819676,1.5106179161107,1.51052135377225,6.28254246552286,1.5,0.242234930904246,0.0369500402532514,0.0335047925213829,3.5245015144124,75.0294013808502,16.0691711197198,3.21383422394395,0.161320818409018,0.000618743583339595,0.179622280582904,0.214556784967307,0.214556752607321,1.91659790277481,32,0,0,52.9731052439581,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
16,-0.785398163397448,-2.35619449019234,5,-10,full_final,5,100001,0.785398163397448,3.14142898668944,20.0260875689981,2.18585426513664,4.56432081187755,0.662405394342266,1.94985,1.94985,1.03526651637606e-08,0.0266274971548324,3.53231394019126e-09,-0.0266274971548324,3.78942923935507e-08,1.77588820447485e-08,1.69380249999174e-08,8.51213961539088e-08,6.5,0.0935034729598984,0.0143359041836409,0.0128378570023239,1.35046490491245,28.9053052517884,6.16784993848294,1.23356998769659,0.0690303687421544,0.000268189274464064,0.117499249990929,1.70769407434677e-07,1.70769173673592e-07,1.14738941192627e-06,67,0,0,4.71109844654363,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:09
17,-0.785398163397448,-2.35619449019234,5,0,full_final,0.17,3401,1.57352969144961,2.35636278215764,8.81912905529509,0.365598282160104,0.787742131710001,0.204895298284663,NaN,NaN,2.15062465336828,1.2052588737491,-2.15062465336828,-1.2052588737491,2.35636278215764,2.15266875872066,0.0937890457170912,0.307595163939906,5.88235294117647,0.0154490819139825,0.00247635202782569,0.00233328618301237,0.245447593216291,5.17422978290594,1.11506663665403,6.55921550972958,0.00483438963216127,2.4972839065888e-05,0.168634474742079,0.30810035793212,0.30420363821803,1.63556408882141,20.5882352941176,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:37:52
18,-0.785398163397448,-2.35619449019234,5,10,full_final,5,100001,0.968172627559028,3.14147211241935,27.422875586441,5.68846483922271,10.4702747763709,1.87810339620197,NaN,NaN,1.24384854942566,0.348627374126504,-0.0460307343454926,0.290476401218962,3.14147211241935,1.51346556281924,1.5134650905273,6.28276274038372,1.5,0.190384395773463,0.0290986308749596,0.0266011338957967,2.79827838483068,59.5606070454379,12.758137131653,2.5516274263306,0.11623859418579,0.000449052507840696,0.152472026408643,0.166623830900701,0.166619053960984,1.14367562532425,31,0,0,52.9145968999646,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:09
19,-0.785398163397448,-1.5707963267949,-5,-10,full_final,5,100001,1.48648270176589,3.14140216922767,22.4724816015981,2.14398026882971,3.92904288700885,2.20168356897739,3.27855,3.27855,1.50646237941249e-06,0.0266243029610185,-1.50646237941249e-06,-0.0266243029610185,4.59208432499401e-06,2.77372287755097e-05,2.29863712786269e-05,0.000103955465759142,0.5,0.062504844409136,0.00960279840272456,0.00876679866272594,0.92221419200273,19.615134494627,4.20390376465705,0.84078075293141,0.0385220911362134,0.00015127082995021,0.0877748154497786,1.75600011965058e-06,1.43210226180992e-06,6.5341591835022e-06,6.5,0,0,5.39358430079723,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
20,-0.785398163397448,-1.5707963267949,-5,0,full_final,5,100001,1.08012506862732,3.14147371379067,24.8370936824118,5.23034960288383,9.73590169444057,2.29665899854844,NaN,NaN,0.643473832606168,0.423056581245395,-0.40092995692062,0.399228659943285,2.64721504565322,1.25952604563897,1.22459496093413,6.2822650597918,1.5,0.185749230610671,0.0282823448106345,0.0256885375968748,2.70227877416172,57.7625454341871,12.339901421565,2.467980284313,0.122339495584356,0.000466914401142121,0.156422182304401,0.191463112391302,0.190707180767707,1.89555251598358,15.5,0,0,37.7293833887495,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
21,-0.785398163397448,-1.5707963267949,-5,10,full_final,5,100001,0.887421400885609,3.14157832577157,25.5048917681935,1.62790016710294,2.7981215277973,0.713376723573718,1.8283,1.8283,1.65644335454131e-08,0.0266275060094983,-2.40568043100592e-09,-0.0266275060094983,4.68956886656713e-08,1.90731900080251e-08,1.86895573704734e-08,8.36849123331262e-08,4,0.0492545166800126,0.00754962387463191,0.00693171682602764,0.729174682553841,15.4886063416452,3.3234366915444,0.664687338308879,0.0281216953248209,0.000109833340852721,0.0749955936369874,1.18367944353567e-07,1.18347479829163e-07,9.01520252227783e-07,63.5,0,0,3.61599460297493,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
22,-0.785398163397448,-1.5707963267949,0,-10,full_final,5,100001,1.11220526367849,3.14154030381921,24.6835738977461,4.80341672634242,8.77528833715298,2.52451927703262,NaN,NaN,1.00530733928265,0.257479989334487,0.244987256826231,0.231300610800742,3.14131600099798,1.10438367624811,1.10438316278456,6.28231103403753,1.5,0.114901492629908,0.0174871032940593,0.0160329560353576,1.68656999714478,36.0928242596891,7.70059243493315,1.54011848698663,0.0692103137282324,0.000263702575815897,0.117652295964195,0.180804262896241,0.180786251600758,1.873579621315,35,0,0,46.6903442088204,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:38:08
23,-0.785398163397448,-1.5707963267949,0,0,full_final,5,100001,0.98416274731645,3.14154349140235,27.3113086482961,5.65220853492103,10.5976884740205,1.88229928869858,NaN,NaN,0.858015454354235,0.273362611854758,0.184495874623116,0.177810104500255,2.8814705229142,1.18584457091908,1.18048993844092,6.28234854285059,1.5,0.273428119688552,0.0415734506673756,0.0377354200667467,3.96953794259005,84.4562142306353,18.1128834473255,3.6225766894651,0.180197393203307,0.000685319336675662,0.189840666456535,0.206203841808218,0.20603147443608,1.93107134103775,19.5,0,0,43.835021697174,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:39:44
24,-0.785398163397448,-1.5707963267949,0,10,full_final,5,100001,0.792243249364493,3.14131142888634,23.9159843592031,1.6322184159653,2.84938290997874,0.590926832871141,1.7614,1.7614,1.61109838192014e-08,0.0266274986729885,-2.56499173687907e-11,-0.0266274986729885,4.33380358266788e-08,1.83861494154447e-08,1.72684824556293e-08,8.44288221557576e-08,4.5,0.0455972727823266,0.00693883112413425,0.00635835446223068,0.668860429951932,14.2623437041584,3.05582168802684,0.611164337605368,0.0271091703679368,0.000103256917021191,0.0736331044679452,1.54554456224356e-07,1.54553629135343e-07,8.12113285064697e-07,68,0,0,3.56324753975904,TD3,NaN,mathworks_style_single_run,NaN,29-Jun-2026 16:39:27
