Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,7.14640994938084,35,7.14640994938084,35,-0.115847796201706
2,5.21201114929579,47,6.17921054933831,82,-0.105100519955158
3,7.6710375951855,33,6.67648623128738,115,-0.126721769571304
4,5.74496635237363,39,6.44360626155894,154,-0.206217929720879
5,-24.2413597711625,47,0.306613055014652,201,-0.0856830924749374
6,-9.45019814979944,50,-1.3195221457877,251,-0.0943277403712273
7,-22.343490098933,24,-4.32294613909417,275,-0.231946349143982
8,4.93115947493056,44,-3.16618293734108,319,-0.207011118531227
9,-7.89170057153479,22,-3.69124045225149,341,-0.201395288109779
10,-4.52142087611707,44,-3.77425849463805,385,-0.16309879720211
11,5.74105537035754,53,-3.91479395254038,438,0.0938119441270828
12,4.33778550115176,28,-4.00221651735478,466,-0.183170258998871
13,-22.0717056788742,25,-6.97649084476075,491,0.0224462933838367
14,-27.3628709360713,52,-10.2872745736052,543,-0.0392186269164085
15,17.6690373272458,44,-6.09623486376442,587,-0.310712277889252
16,4.70655557957626,41,-4.68055949082685,628,-0.161955907940865
17,1.90993088647948,27,-2.2552173922856,655,-0.194823950529099
18,-17.762040392998,47,-4.52453737907846,702,0.0524968579411507
19,-8.75811683481996,39,-4.61117900540697,741,-0.130191892385483
20,2.38940570374695,33,-3.92009634742057,774,-0.177942350506783
21,-18.2584813552676,39,-6.32005001998308,813,-0.081488311290741
22,-19.810280994185,22,-8.73485666951676,835,-0.145904779434204
23,-14.8716265566052,36,-8.01484875728985,871,-0.0441233552992344
24,-33.6796609448185,25,-8.64652775816457,896,0.0267637297511101
25,-14.460120194191,27,-11.8594435103082,923,-0.0753395333886147
26,-19.1592421537781,32,-14.2460232836437,955,-0.0327247381210327
27,3.30692207878556,29,-14.1063241644131,984,-0.0606544129550457
28,4.52226363631475,34,-11.8778937614818,1018,-0.202572092413902
29,-15.0002056788057,26,-12.5021026458804,1044,-0.250093519687653
30,-17.0997904711207,52,-14.4510222633671,1096,0.0147021524608135
31,-23.8349609322125,47,-15.0086702210616,1143,0.0398077555000782
32,-5.36972193094119,56,-13.5646143147373,1199,-0.081082671880722
33,-18.3905222437993,32,-13.9165038834567,1231,-0.166162416338921
34,-38.0200092144431,27,-14.3505387104191,1258,-0.195541769266129
35,-24.6870830681499,59,-15.373234997815,1317,0.0545425787568092
36,-20.6555476501242,36,-15.5228655474496,1353,-0.0358989425003529
