Episode,MaxEpisodes,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,5000,-5633.9,129,-5633.9,129,-0.07
2,5000,-11927.5,160,-8780.7,289,-0.09
3,5000,-306.64,42,-5956.01,331,-0.03
4,5000,-11463.89,195,-7332.98,526,-0.08
5,5000,-3454.1,96,-6557.2,622,-0.07
6,5000,-3553.45,117,-6056.58,739,-0.09
7,5000,-3970.86,69,-5758.62,808,-0.12
8,5000,-13439.72,322,-6718.76,1130,-0.11
9,5000,-7802.85,188,-6839.21,1318,-0.08
10,5000,-8787.57,126,-7034.05,1444,-0.11
11,5000,-5994.02,180,-7070.06,1624,-0.03
12,5000,-17807.83,472,-7658.09,2096,-0.03
13,5000,-11866.75,154,-8814.11,2250,-0.1
14,5000,-5970.26,110,-8264.74,2360,-0.11
15,5000,-7331.82,194,-8652.51,2554,-0.06
16,5000,-3896.27,112,-8686.8,2666,-0.09
17,5000,-7626.27,117,-9052.34,2783,-0.12
18,5000,-2840.6,66,-7992.42,2849,-0.11
19,5000,-1339.47,66,-7346.09,2915,-0.09
20,5000,-12981.51,197,-7765.48,3112,-0.1
21,5000,-860.5,94,-7252.13,3206,-0.04
22,5000,-5365.8,112,-6007.92,3318,-0.09
23,5000,-1670.51,145,-4988.3,3463,-0.02
24,5000,-5682.58,168,-4959.53,3631,-0.05
25,5000,-9407.16,224,-5167.07,3855,-0.05
26,5000,-70.87,72,-4784.53,3927,-0.02
27,5000,-7150.63,227,-4736.96,4154,-0.05
28,5000,-3638.92,118,-4816.8,4272,-0.07
29,5000,-6046.12,92,-5287.46,4364,-0.13
30,5000,-3891.78,89,-4378.49,4453,-0.11
31,5000,-7041.02,190,-4996.54,4643,-0.07
32,5000,-15593.15,196,-6019.27,4839,-0.1
33,5000,-4198.88,99,-6272.11,4938,-0.05
34,5000,-9690.27,240,-6672.88,5178,-0.05
35,5000,-4542.75,167,-6186.44,5345,-0.06
36,5000,-14202.3,164,-7599.58,5509,-0.13
37,5000,-1594.61,68,-7043.98,5577,-0.09
38,5000,-10971.54,193,-7777.24,5770,-0.09
39,5000,-1025.55,73,-7275.18,5843,-0.05
40,5000,-59.21,39,-6891.93,5882,-0.04
41,5000,-5742.43,131,-6762.07,6013,-0.08
42,5000,-4300.5,84,-5632.8,6097,-0.12
