Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-57.7617705240924,44,-57.7617705240924,44,-0.1489038169384
2,-60.0100775706838,58,-58.8859240473881,102,-0.1489038169384
3,31.9292307091395,65,-28.6142057952122,167,-0.1489038169384
4,6.40286134277141,38,-19.8599390107163,205,-0.1489038169384
5,4.01314269482221,35,-15.0853226696086,240,-0.1489038169384
6,-10.4647896810104,47,-14.3152338381756,287,-0.1489038169384
7,-3.88651103313849,56,-12.8254162945988,343,-0.1489038169384
8,5.01624908076005,62,-10.595208122679,405,-0.1489038169384
9,-17.9181554353103,47,-11.4088689351936,452,-0.1489038169384
10,35.3327589400315,85,-6.73470614767106,537,-0.1489038169384
11,-58.7747520790518,56,-6.83600430316701,593,-0.1489038169384
12,-17.0305524457533,65,-2.53805179067396,658,-0.1489038169384
13,2.33908321930088,27,-5.49706653965782,685,-0.1489038169384
14,14.6549561499921,40,-4.67185705893575,725,-0.1489038169384
15,3.94344010620391,89,-4.67882731779758,814,-0.1489038169384
16,-22.5148584092856,54,-5.8838341906251,868,-0.1489038169384
17,15.5960286489979,42,-3.93558022241146,910,-0.1489038169384
18,-5.43906176610458,57,-4.98111130709793,967,-0.1489038169384
19,44.2257247822149,91,1.23327671465459,1058,-0.1489038169384
20,16.04762869102,72,-0.695236310246558,1130,-0.1489038169384
21,-16.806172998633,63,3.50162159779532,1193,-0.1489038169384
22,0.613848640709192,53,5.26606170644157,1246,-0.1489038169384
23,15.5420670897395,46,6.58636009348543,1292,-0.1489038169384
24,29.456472337909,92,8.06651171227712,1384,-0.1489038169384
25,-19.0036821877261,62,5.77179948288412,1446,-0.1489038169384
26,24.9691738215973,51,10.5202027059724,1497,-0.1489038169384
27,10.667687717645,57,10.0273686128371,1554,-0.1489038169384
28,16.7047484087707,46,12.2417496303246,1600,-0.1489038169384
29,10.3562691151033,45,8.85480406361349,1645,-0.1489038169384
30,-18.9517175974179,58,5.3548694347697,1703,-0.1489038169384
31,-13.5207349034878,94,5.68341324428422,1797,-0.1489038169384
32,-44.44410543611,35,1.1776178366023,1832,-0.1489038169384
33,22.1016062338585,54,1.8335717510142,1886,-0.1489038169384
34,-69.8468195387582,49,-8.09675743665252,1935,-0.1489038169384
35,-4.22439479278489,59,-6.6188286971584,1994,-0.1489038169384
36,11.3307934331664,68,-7.98266673600149,2062,-0.1489038169384
37,-26.4131250274147,48,-11.6907480105075,2110,-0.1489038169384
38,19.7258924463396,64,-11.3886336067506,2174,-0.1489038169384
39,22.5260968690388,51,-10.171650831357,2225,-0.1489038169384
40,-53.7410791146111,35,-13.6505869830763,2260,-0.1489038169384
41,-2.54142453574602,80,-12.5526559463022,2340,-0.1489038169384
42,14.6389598896938,45,-6.64434941372179,2385,-0.1489038169384
43,17.0647548222114,44,-7.1480345548865,2429,-0.1489038169384
44,-5.93335299175432,61,-0.756687900186106,2490,-0.1489038169384
45,-3.49052928794556,44,-0.683301349702173,2534,-0.1489038169384
