CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,MaxAbsOmega1Error,MaxAbsOmega2Error,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,2501,0.829059091978658,3.14159265358979,30.5196500181219,19.6835385249541,30.5196500181219,6.99615587495248,13.1166628807832,1.23525281640976,NaN,NaN,NaN,1.35209832789186,0.148822370110278,0.890713899061637,0.0993871274967752,3.13935646216338,1.56969737697378,1.55051245929702,6.27727395692934,1,1.44432595325306,23.1092152520489,0.214385952847288,22.5521054934688,465.933329051359,102.310518851431,20.4621037702863,0.230586292793905,3.68938068470248,0.214749292335925,0.598203645223189,0.598078161758179,1.99977052211761,20,0,0,57.3931842513281,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,5,2501,0.829152897033136,3.14159265358979,30.9438298878363,20.2034611964806,30.9438298878363,7.42307056923123,14.48493144568,1.04633196527744,NaN,NaN,NaN,1.41609250048894,0.175819840588314,-0.0233785312377391,-0.0283707469994892,3.13919481436675,1.64053437176814,1.6342834542555,6.27666646638979,1,1.35978368630806,21.756538980929,0.201467483760346,21.193160684849,438.22173391757,96.1886003938933,19.2377200787787,0.215003621377106,3.4400579420337,0.207366159909039,0.512242285350443,0.512060266924575,1.99968934059143,19.5,0,0,59.4287783132275,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,5,2501,0.827870435769138,3.14159265358979,30.6358669310544,22.4309683372319,30.6358669310544,7.53187294846079,14.9533887705447,1.16191016806604,NaN,NaN,NaN,1.41289015382836,0.260062188214337,-0.00674946390956999,-0.242634378963584,3.13945481776401,1.64417772197127,1.64417730126694,6.27610999742617,1,1.43807534103046,23.0092054564873,0.213882969794926,22.4991947187299,464.877901612707,102.080003975532,20.4160007951064,0.227862169550284,3.64579471280454,0.213477010261192,0.516370812943597,0.516370781037036,1.99975031614304,17.5,0,0,59.6439526602764,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:54:01
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,2501,0.787007981742615,3.14159265358979,30.7394323177741,19.8704635767417,30.7394323177741,7.14361734037565,13.6021173843029,1.10984913599514,NaN,NaN,NaN,1.43692786705695,0.15949676610855,0.450596104731741,0.144667030636553,3.13910720347568,1.63922045417426,1.63164390356911,6.27713853517641,1,1.45902426812914,23.3443882900663,0.216983996103438,22.8254039293557,471.635253220744,103.557894035575,20.711578807115,0.232739048341659,3.72382477346654,0.215749414062546,0.598516736781787,0.598516017225118,1.99974632263184,17,0,0,59.3212249117108,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
5,-0.785398163397448,-3.14159265358979,0,0,full_final,5,2501,0.787177106774781,3.14159265358979,30.4338292967691,21.4041510619955,30.4338292967691,7.85949932988774,16.2352587625776,1.14110528481957,NaN,NaN,NaN,1.22492601497994,0.302481383674748,-0.505837489855899,-0.191938571516421,3.13950094382232,1.51422583819467,1.48413962740193,6.27710277238955,1,1.53376019916409,24.5401631866254,0.227351414180191,23.9159936021241,494.360441115048,108.534187736782,21.7068375473565,0.241230017462272,3.85968027939635,0.219649729097157,0.594816093604734,0.594538008219309,1.99977117776871,19,0,0,56.5324344640598,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:54:01
6,-0.785398163397448,-3.14159265358979,0,10,full_final,5,2501,0.786689950658261,3.14159265358979,30.4350971363156,20.0798455517184,30.4350971363156,7.36325173111441,14.2940787323167,1.16254805504705,NaN,NaN,NaN,1.41904493001767,0.25538631553476,-0.00991401954664303,-0.232903533121682,3.1248982826895,1.6447008606843,1.64469210631475,6.27473479906191,1,1.42117350254027,22.7387760406443,0.211291981420158,22.2266384136919,459.21158382024,100.840224489161,20.1680448978322,0.224895823802551,3.59833318084082,0.212082919539764,0.510805855368176,0.510749612444285,1.99971759319305,18.5,0,0,59.3567862840754,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,5,2501,0.785398163397448,3.14159265358979,30.9383319961094,20.2271582288066,30.9383319961094,7.40047520090941,14.394999968916,1.03153208312357,NaN,NaN,NaN,1.42677805379244,0.169956248937234,0.0155844917920856,-0.00215573232357513,3.14102790354892,1.64459758566151,1.63765896379971,6.27760011354555,1,1.31924412781789,21.1079060450863,0.195992563051401,20.6172321421592,426.427088951445,93.5875058452725,18.7175011690545,0.207726417071794,3.3236226731487,0.203826601341333,0.500781998553398,0.500170406456876,1.99918401241302,20,0,0,59.5977889349864,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
8,-0.785398163397448,-3.14159265358979,5,0,full_final,5,2501,0.785398163397448,3.14159265358979,30.459813076136,22.2015515326239,30.459813076136,7.71538827251305,15.6117843776292,1.15319554132895,NaN,NaN,NaN,1.41483281589401,0.262254483803951,-0.0207978166006516,-0.246844230485946,3.13183686732456,1.64588799778408,1.6458875369712,6.27604180971255,1,1.46443874785497,23.4310199656795,0.217895091937297,22.9212457001759,473.577467146141,103.998430327163,20.7996860654327,0.228530691919545,3.65649107071271,0.213789939856647,0.518436500296149,0.518428286059695,1.99971503019333,16,0,0,60.0078575485792,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,2501,0.785398163397448,3.14159265358979,30.4074142319928,20.116016024154,30.4074142319928,7.30779017843067,14.0423566515215,1.15422476250108,NaN,NaN,NaN,1.41821404266269,0.263404922631284,0.000463531655024804,-0.244867692978875,3.13815829753085,1.64525471612277,1.64524535214811,6.27765018144716,1,1.35983480297211,21.7573568475537,0.202269498420045,21.2775277759416,439.506689336514,96.5212289621531,19.3042457924306,0.214966799221247,3.43946878753995,0.207348402077877,0.513164297214514,0.513155643426357,1.9997678399086,17.5,0,0,59.289488708784,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:54:01
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,2501,0.83488843850193,3.14159265358979,30.9165262625229,21.5247569758882,30.9165262625229,7.05712187563705,13.3734535040778,1.16982233718876,NaN,NaN,NaN,1.32686028736243,0.15021896281788,1.11114964683871,0.0851061404033367,3.14063689707919,1.52964749102574,1.4990106015361,6.27437812486757,1,1.48291876454519,23.7267002327231,0.219994513390516,23.1420921383844,478.188801013546,104.998796445367,20.9997592890733,0.235672975993784,3.77076761590055,0.217105032642628,0.588544966466774,0.588414124177222,1.99977254867554,20,0,0,56.9851119014516,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:59
