Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260704_015559_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode:   1/5000 | Episode reward:  1113.94 | Episode steps: 1973 | Average reward:  1113.94 | Step Count: 1973 | Episode Q0:    28.33
Episode:   2/5000 | Episode reward:  1714.26 | Episode steps: 2500 | Average reward:  1414.10 | Step Count: 4473 | Episode Q0:    28.33
Episode:   3/5000 | Episode reward:  1720.98 | Episode steps: 2500 | Average reward:  1516.40 | Step Count: 6973 | Episode Q0:    28.33
Episode:   4/5000 | Episode reward:  1575.93 | Episode steps: 2500 | Average reward:  1531.28 | Step Count: 9473 | Episode Q0:    28.33
Episode:   5/5000 | Episode reward:  1578.21 | Episode steps: 2500 | Average reward:  1540.66 | Step Count: 11973 | Episode Q0:    33.72
Episode:   6/5000 | Episode reward:  1716.17 | Episode steps: 2500 | Average reward:  1569.92 | Step Count: 14473 | Episode Q0:    33.72
Episode:   7/5000 | Episode reward:  1734.28 | Episode steps: 2500 | Average reward:  1593.40 | Step Count: 16973 | Episode Q0:    33.72
Episode:   8/5000 | Episode reward:  1522.57 | Episode steps: 2500 | Average reward:  1584.54 | Step Count: 19473 | Episode Q0:    33.72
Episode:   9/5000 | Episode reward:  1492.26 | Episode steps: 2500 | Average reward:  1574.29 | Step Count: 21973 | Episode Q0:    33.72
Episode:  10/5000 | Episode reward:  1638.24 | Episode steps: 2500 | Average reward:  1580.69 | Step Count: 24473 | Episode Q0:    33.72
Episode:  11/5000 | Episode reward:  1430.25 | Episode steps: 2500 | Average reward:  1612.32 | Step Count: 26973 | Episode Q0:    33.72
Episode:  12/5000 | Episode reward:  1646.18 | Episode steps: 2500 | Average reward:  1605.51 | Step Count: 29473 | Episode Q0:    33.72
Episode:  13/5000 | Episode reward:  1573.83 | Episode steps: 2500 | Average reward:  1590.79 | Step Count: 31973 | Episode Q0:    33.72
Episode:  14/5000 | Episode reward:  1773.03 | Episode steps: 2500 | Average reward:  1610.50 | Step Count: 34473 | Episode Q0:    33.72
Episode:  15/5000 | Episode reward:  1506.46 | Episode steps: 2500 | Average reward:  1603.33 | Step Count: 36973 | Episode Q0:    33.72
Episode:  16/5000 | Episode reward:  1589.22 | Episode steps: 2500 | Average reward:  1590.63 | Step Count: 39473 | Episode Q0:    33.72
Episode:  17/5000 | Episode reward:  1717.95 | Episode steps: 2500 | Average reward:  1589.00 | Step Count: 41973 | Episode Q0:    33.72
Episode:  18/5000 | Episode reward:  1352.54 | Episode steps: 2500 | Average reward:  1572.00 | Step Count: 44473 | Episode Q0:    33.72
Episode:  19/5000 | Episode reward:  1538.34 | Episode steps: 2500 | Average reward:  1576.60 | Step Count: 46973 | Episode Q0:    33.72
Episode:  20/5000 | Episode reward:  1590.92 | Episode steps: 2500 | Average reward:  1571.87 | Step Count: 49473 | Episode Q0:    33.72
Episode:  21/5000 | Episode reward:  1544.89 | Episode steps: 2500 | Average reward:  1583.34 | Step Count: 51973 | Episode Q0:    33.72
Episode:  22/5000 | Episode reward:  1574.66 | Episode steps: 2500 | Average reward:  1576.18 | Step Count: 54473 | Episode Q0:    33.72
Episode:  23/5000 | Episode reward:  1394.27 | Episode steps: 2500 | Average reward:  1558.23 | Step Count: 56973 | Episode Q0:    33.72
Episode:  24/5000 | Episode reward:  1777.89 | Episode steps: 2500 | Average reward:  1558.72 | Step Count: 59473 | Episode Q0:    33.72
Episode:  25/5000 | Episode reward:  1629.58 | Episode steps: 2500 | Average reward:  1571.03 | Step Count: 61973 | Episode Q0:    33.72
Episode:  26/5000 | Episode reward:  1441.54 | Episode steps: 2500 | Average reward:  1556.26 | Step Count: 64473 | Episode Q0:    33.72
Episode:  27/5000 | Episode reward:  1454.83 | Episode steps: 2500 | Average reward:  1529.95 | Step Count: 66973 | Episode Q0:    33.72
Episode:  28/5000 | Episode reward:  1615.18 | Episode steps: 2500 | Average reward:  1556.21 | Step Count: 69473 | Episode Q0:    33.72
Episode:  29/5000 | Episode reward:  1635.48 | Episode steps: 2500 | Average reward:  1565.93 | Step Count: 71973 | Episode Q0:    42.86
Episode:  30/5000 | Episode reward:  1431.71 | Episode steps: 2500 | Average reward:  1550.00 | Step Count: 74473 | Episode Q0:    42.86
Episode:  31/5000 | Episode reward:  1348.14 | Episode steps: 2500 | Average reward:  1530.33 | Step Count: 76973 | Episode Q0:    42.86
Episode:  32/5000 | Episode reward:  1638.85 | Episode steps: 2500 | Average reward:  1536.75 | Step Count: 79473 | Episode Q0:    42.86
Episode:  33/5000 | Episode reward:  1620.13 | Episode steps: 2500 | Average reward:  1559.33 | Step Count: 81973 | Episode Q0:    42.86
Episode:  34/5000 | Episode reward:  1783.06 | Episode steps: 2500 | Average reward:  1559.85 | Step Count: 84473 | Episode Q0:    42.86
Episode:  35/5000 | Episode reward:  1670.05 | Episode steps: 2500 | Average reward:  1563.90 | Step Count: 86973 | Episode Q0:    42.86
Episode:  36/5000 | Episode reward:  1586.10 | Episode steps: 2500 | Average reward:  1578.35 | Step Count: 89473 | Episode Q0:    42.86
Episode:  37/5000 | Episode reward:  1491.38 | Episode steps: 2500 | Average reward:  1582.01 | Step Count: 91973 | Episode Q0:    42.86
Episode:  38/5000 | Episode reward:  1214.28 | Episode steps: 2500 | Average reward:  1541.92 | Step Count: 94473 | Episode Q0:    42.86
Episode:  39/5000 | Episode reward:  1335.34 | Episode steps: 2500 | Average reward:  1511.91 | Step Count: 96973 | Episode Q0:    42.86
Episode:  40/5000 | Episode reward:  1764.45 | Episode steps: 2500 | Average reward:  1545.18 | Step Count: 99473 | Episode Q0:    42.86
Episode:  41/5000 | Episode reward:  1737.64 | Episode steps: 2500 | Average reward:  1584.13 | Step Count: 101973 | Episode Q0:    42.86
Episode:  42/5000 | Episode reward:  1591.79 | Episode steps: 2500 | Average reward:  1579.42 | Step Count: 104473 | Episode Q0:    42.86
Episode:  43/5000 | Episode reward:  1064.62 | Episode steps: 1778 | Average reward:  1523.87 | Step Count: 106251 | Episode Q0:    42.86
Episode:  44/5000 | Episode reward:  1502.44 | Episode steps: 2500 | Average reward:  1495.81 | Step Count: 108751 | Episode Q0:    42.86
Episode:  45/5000 | Episode reward:  1664.96 | Episode steps: 2500 | Average reward:  1495.30 | Step Count: 111251 | Episode Q0:    42.86
Episode:  46/5000 | Episode reward:   126.19 | Episode steps:  370 | Average reward:  1349.31 | Step Count: 111621 | Episode Q0:    42.86
Episode:  47/5000 | Episode reward:    30.99 | Episode steps:  163 | Average reward:  1203.27 | Step Count: 111784 | Episode Q0:    42.86
Episode:  48/5000 | Episode reward:   127.09 | Episode steps:  369 | Average reward:  1094.55 | Step Count: 112153 | Episode Q0:    42.86
Episode:  49/5000 | Episode reward:   300.19 | Episode steps:  693 | Average reward:   991.03 | Step Count: 112846 | Episode Q0:    42.86
Episode:  50/5000 | Episode reward:   354.92 | Episode steps:  749 | Average reward:   850.08 | Step Count: 113595 | Episode Q0:    42.86
Episode:  51/5000 | Episode reward:    33.56 | Episode steps:  111 | Average reward:   679.67 | Step Count: 113706 | Episode Q0:    42.86
Episode:  52/5000 | Episode reward:   177.40 | Episode steps:  455 | Average reward:   538.24 | Step Count: 114161 | Episode Q0:    42.86
Episode:  53/5000 | Episode reward:   214.11 | Episode steps:  559 | Average reward:   453.18 | Step Count: 114720 | Episode Q0:    42.86
Episode:  54/5000 | Episode reward:   191.96 | Episode steps:  601 | Average reward:   322.14 | Step Count: 115321 | Episode Q0:    42.86
Episode:  55/5000 | Episode reward:   141.31 | Episode steps:  413 | Average reward:   169.77 | Step Count: 115734 | Episode Q0:    42.86
Episode:  56/5000 | Episode reward:   253.48 | Episode steps:  585 | Average reward:   182.50 | Step Count: 116319 | Episode Q0:    49.12
Episode:  57/5000 | Episode reward:   207.85 | Episode steps:  507 | Average reward:   200.19 | Step Count: 116826 | Episode Q0:    49.12
Episode:  58/5000 | Episode reward:    54.72 | Episode steps:  176 | Average reward:   192.95 | Step Count: 117002 | Episode Q0:    49.12
Episode:  59/5000 | Episode reward:    46.20 | Episode steps:  182 | Average reward:   167.55 | Step Count: 117184 | Episode Q0:    49.12
Episode:  60/5000 | Episode reward:   246.64 | Episode steps:  551 | Average reward:   156.72 | Step Count: 117735 | Episode Q0:    49.12
Episode:  61/5000 | Episode reward:   104.73 | Episode steps:  349 | Average reward:   163.84 | Step Count: 118084 | Episode Q0:    49.12
Episode:  62/5000 | Episode reward:    32.46 | Episode steps:  152 | Average reward:   149.35 | Step Count: 118236 | Episode Q0:    49.12
Episode:  63/5000 | Episode reward:    30.49 | Episode steps:  127 | Average reward:   130.98 | Step Count: 118363 | Episode Q0:    49.12
Episode:  64/5000 | Episode reward:    66.90 | Episode steps:  218 | Average reward:   118.48 | Step Count: 118581 | Episode Q0:    49.12
Episode:  65/5000 | Episode reward:    51.96 | Episode steps:  195 | Average reward:   109.54 | Step Count: 118776 | Episode Q0:    49.12
Episode:  66/5000 | Episode reward:    54.00 | Episode steps:  197 | Average reward:    89.59 | Step Count: 118973 | Episode Q0:    49.12
Episode:  67/5000 | Episode reward:    23.67 | Episode steps:  142 | Average reward:    71.18 | Step Count: 119115 | Episode Q0:    49.12
Episode:  68/5000 | Episode reward:    26.27 | Episode steps:  154 | Average reward:    68.33 | Step Count: 119269 | Episode Q0:    49.12
Episode:  69/5000 | Episode reward:   229.99 | Episode steps:  565 | Average reward:    86.71 | Step Count: 119834 | Episode Q0:    49.12
Episode:  70/5000 | Episode reward:   189.63 | Episode steps:  598 | Average reward:    81.01 | Step Count: 120432 | Episode Q0:    49.12
Episode:  71/5000 | Episode reward:   158.65 | Episode steps:  434 | Average reward:    86.40 | Step Count: 120866 | Episode Q0:    49.12
Episode:  72/5000 | Episode reward:   131.43 | Episode steps:  380 | Average reward:    96.30 | Step Count: 121246 | Episode Q0:    49.12
Episode:  73/5000 | Episode reward:  1122.50 | Episode steps: 2500 | Average reward:   205.50 | Step Count: 123746 | Episode Q0:    51.79
