Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,299.82,500,299.82,500,28.33
2,454.37,609,377.09,1109,28.33
3,714.04,1007,489.41,2116,28.33
4,763.58,1041,557.95,3157,28.33
5,300.75,500,506.51,3657,28.33
6,530.23,709,510.46,4366,28.33
7,597.06,825,522.83,5191,28.33
8,859.48,1196,564.91,6387,28.33
9,446.51,613,551.76,7000,28.33
10,971.51,1349,593.73,8349,28.33
11,524.82,715,616.23,9064,28.33
12,1391.05,1928,709.9,10992,58.38
13,1741.74,2392,812.67,13384,58.38
14,1348.12,1817,871.13,15201,58.38
15,1762.28,2428,1017.28,17629,58.38
16,1827.29,2500,1146.99,20129,58.38
17,730.39,995,1160.32,21124,58.38
18,1795.04,2500,1253.87,23624,58.38
19,658.14,899,1275.04,24523,58.38
20,298.16,500,1207.7,25023,58.38
21,1366.21,1840,1291.84,26863,58.38
22,592.11,819,1211.95,27682,58.38
23,903.29,1240,1128.1,28922,58.38
24,402.2,542,1033.51,29464,58.38
25,551.76,754,912.46,30218,58.38
26,870.22,1189,816.75,31407,58.38
27,839.56,1129,827.67,32536,58.38
28,297.87,500,677.95,33036,58.38
29,353.99,500,647.54,33536,58.38
30,1129.79,1547,730.7,35083,58.38
31,422.12,568,636.29,35651,58.38
32,563.44,838,633.42,36489,58.38
33,1038.8,1418,646.98,37907,58.38
34,598.61,821,666.62,38728,58.38
35,779.09,1097,689.35,39825,58.38
36,814.38,1102,683.77,40927,58.38
37,283,500,628.11,41427,58.38
38,373.32,523,635.65,41950,58.38
39,974.25,1352,697.68,43302,58.38
40,1238.29,1680,708.53,44982,58.38
41,1730.12,2391,839.33,47373,58.38
42,766.89,1041,859.68,48414,58.38
43,1843.07,2500,940.1,50914,58.38
44,600.47,811,940.29,51725,58.38
45,1529.67,2075,1015.35,53800,82.32
46,297.91,500,963.7,54300,82.32
47,300.45,500,965.44,54800,82.32
48,250.85,484,953.2,55284,82.32
49,289.86,500,884.76,55784,82.32
50,297.44,500,790.67,56284,82.32
51,254.21,443,643.08,56727,82.32
52,306.22,500,597.02,57227,82.32
53,281.93,500,440.9,57727,82.32
54,285.44,500,409.4,58227,82.32
55,298.95,500,286.33,58727,82.32
56,101.41,199,266.68,58926,82.32
57,78.34,204,244.47,59130,82.32
58,172.14,294,236.59,59424,82.32
59,135.4,279,221.15,59703,82.32
60,136.79,294,205.08,59997,82.32
61,140.49,242,193.71,60239,82.32
62,69.42,185,170.03,60424,82.32
63,68.43,132,148.68,60556,82.32
64,97.19,224,129.85,60780,82.32
65,88.45,173,108.8,60953,82.32
66,110.96,215,109.76,61168,82.32
67,80.57,170,109.98,61338,82.32
68,178.97,360,110.67,61698,82.32
69,65.27,143,103.65,61841,82.32
70,71.19,164,97.09,62005,82.32
71,127.97,288,95.84,62293,85.76
72,77.8,160,96.68,62453,85.76
73,85.33,189,98.37,62642,85.76
74,100.37,199,98.69,62841,85.76
75,81.15,163,97.96,63004,85.76
76,70.44,188,93.91,63192,85.76
77,106.94,252,96.54,63444,85.76
78,74.46,202,86.09,63646,85.76
79,82.59,167,87.82,63813,85.76
80,98.65,252,90.57,64065,85.76
81,146.13,286,92.39,64351,85.76
82,83.38,157,92.95,64508,85.76
83,107.29,238,95.14,64746,85.76
84,91.23,217,94.23,64963,85.76
85,86.7,183,94.78,65146,85.76
86,102.91,229,98.03,65375,85.76
87,127.16,244,100.05,65619,85.76
88,106.64,230,103.27,65849,85.76
89,118.94,288,106.9,66137,85.76
90,80.31,236,105.07,66373,85.76
91,117.2,286,102.18,66659,85.76
92,97.27,264,103.57,66923,85.76
93,186.66,500,111.5,67423,85.76
94,81.09,233,110.49,67656,85.76
95,104.03,393,112.22,68049,85.76
96,97.42,251,111.67,68300,85.76
97,170.11,471,115.97,68771,85.76
98,90.32,252,114.34,69023,85.76
99,79.45,244,110.39,69267,85.76
100,108.61,279,113.22,69546,85.76
101,140.6,431,115.56,69977,85.76
102,73.75,225,113.21,70202,85.76
103,62.06,215,100.75,70417,85.69
104,96.92,256,102.33,70673,85.69
105,128.01,434,104.73,71107,85.69
106,92.62,165,104.25,71272,85.69
107,125.8,304,99.82,71576,85.69
108,82.53,247,99.04,71823,85.69
109,100.52,254,101.14,72077,85.69
110,69.25,215,97.21,72292,85.69
111,123.36,305,95.48,72597,85.69
112,84.84,248,96.59,72845,85.69
113,101.19,257,100.5,73102,85.69
114,99.36,255,100.75,73357,85.69
115,48.85,166,92.83,73523,85.69
116,79.28,226,91.5,73749,85.69
117,47.46,181,83.66,73930,85.69
118,88.3,225,84.24,74155,85.69
119,147.55,309,88.94,74464,85.69
120,53.4,189,87.36,74653,85.69
121,104.99,231,85.52,74884,85.69
122,52.35,192,82.27,75076,85.69
123,55.55,190,77.71,75266,85.69
124,76.36,218,75.41,75484,85.69
125,159.71,316,86.5,75800,85.69
126,36.78,175,82.25,75975,85.69
127,77.56,220,85.26,76195,85.69
128,77.78,231,84.2,76426,85.69
129,121.71,242,81.62,76668,85.69
130,55.89,195,81.87,76863,85.69
131,41.53,172,75.52,77035,85.69
132,44.61,175,74.75,77210,85.69
133,74.3,217,76.62,77427,85.69
134,53.56,197,74.34,77624,85.69
135,63.33,225,64.7,77849,85.69
