Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_135144_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_noexplore_smoke\training_console.log
Episode:   1/100 | Episode reward:  2075.28 | Episode steps: 2500 | Average reward:  2075.28 | Step Count: 2500 | Episode Q0:    28.33
Episode:   2/100 | Episode reward:  2068.76 | Episode steps: 2500 | Average reward:  2072.02 | Step Count: 5000 | Episode Q0:    32.29
Episode:   3/100 | Episode reward:  2084.63 | Episode steps: 2500 | Average reward:  2076.23 | Step Count: 7500 | Episode Q0:    32.29
Episode:   4/100 | Episode reward:  2082.93 | Episode steps: 2500 | Average reward:  2077.90 | Step Count: 10000 | Episode Q0:    32.29
Episode:   5/100 | Episode reward:  2079.68 | Episode steps: 2500 | Average reward:  2078.26 | Step Count: 12500 | Episode Q0:    32.29
Episode:   6/100 | Episode reward:  2102.19 | Episode steps: 2500 | Average reward:  2082.25 | Step Count: 15000 | Episode Q0:    32.29
Episode:   7/100 | Episode reward:  2083.47 | Episode steps: 2500 | Average reward:  2082.42 | Step Count: 17500 | Episode Q0:    32.29
Episode:   8/100 | Episode reward:  2058.43 | Episode steps: 2500 | Average reward:  2079.42 | Step Count: 20000 | Episode Q0:    32.29
Episode:   9/100 | Episode reward:  2074.47 | Episode steps: 2500 | Average reward:  2078.87 | Step Count: 22500 | Episode Q0:    32.29
Episode:  10/100 | Episode reward:  2084.00 | Episode steps: 2500 | Average reward:  2079.38 | Step Count: 25000 | Episode Q0:    32.29
Episode:  11/100 | Episode reward:  2055.92 | Episode steps: 2500 | Average reward:  2077.45 | Step Count: 27500 | Episode Q0:    32.29
Episode:  12/100 | Episode reward:  2070.20 | Episode steps: 2500 | Average reward:  2077.59 | Step Count: 30000 | Episode Q0:    32.29
Episode:  13/100 | Episode reward:  2095.69 | Episode steps: 2500 | Average reward:  2078.70 | Step Count: 32500 | Episode Q0:    32.29
Episode:  14/100 | Episode reward:  2101.12 | Episode steps: 2500 | Average reward:  2080.52 | Step Count: 35000 | Episode Q0:    32.29
Episode:  15/100 | Episode reward:  2082.51 | Episode steps: 2500 | Average reward:  2080.80 | Step Count: 37500 | Episode Q0:    32.29
Episode:  16/100 | Episode reward:  2063.22 | Episode steps: 2500 | Average reward:  2076.90 | Step Count: 40000 | Episode Q0:    32.29
Episode:  17/100 | Episode reward:  2094.40 | Episode steps: 2500 | Average reward:  2078.00 | Step Count: 42500 | Episode Q0:    32.29
Episode:  18/100 | Episode reward:  2083.78 | Episode steps: 2500 | Average reward:  2080.53 | Step Count: 45000 | Episode Q0:    32.29
Episode:  19/100 | Episode reward:  2095.53 | Episode steps: 2500 | Average reward:  2082.64 | Step Count: 47500 | Episode Q0:    32.29
Episode:  20/100 | Episode reward:  2089.80 | Episode steps: 2500 | Average reward:  2083.22 | Step Count: 50000 | Episode Q0:    32.29
Episode:  21/100 | Episode reward:  2097.40 | Episode steps: 2500 | Average reward:  2087.37 | Step Count: 52500 | Episode Q0:    32.29
Episode:  22/100 | Episode reward:  2077.41 | Episode steps: 2500 | Average reward:  2088.09 | Step Count: 55000 | Episode Q0:    32.29
Episode:  23/100 | Episode reward:  2076.26 | Episode steps: 2500 | Average reward:  2086.14 | Step Count: 57500 | Episode Q0:    91.00
Episode:  24/100 | Episode reward:  2089.34 | Episode steps: 2500 | Average reward:  2084.97 | Step Count: 60000 | Episode Q0:    91.00
Episode:  25/100 | Episode reward:  2083.95 | Episode steps: 2500 | Average reward:  2085.11 | Step Count: 62500 | Episode Q0:    91.00
Episode:  26/100 | Episode reward:  2071.17 | Episode steps: 2500 | Average reward:  2085.90 | Step Count: 65000 | Episode Q0:    91.00
Episode:  27/100 | Episode reward:  2099.14 | Episode steps: 2500 | Average reward:  2086.38 | Step Count: 67500 | Episode Q0:    91.00
Episode:  28/100 | Episode reward:  2070.83 | Episode steps: 2500 | Average reward:  2085.08 | Step Count: 70000 | Episode Q0:    91.00
Episode:  29/100 | Episode reward:  2075.81 | Episode steps: 2500 | Average reward:  2083.11 | Step Count: 72500 | Episode Q0:    91.00
Episode:  30/100 | Episode reward:  2079.10 | Episode steps: 2500 | Average reward:  2082.04 | Step Count: 75000 | Episode Q0:    91.00
Episode:  31/100 | Episode reward:  2066.01 | Episode steps: 2500 | Average reward:  2078.90 | Step Count: 77500 | Episode Q0:    91.00
Episode:  32/100 | Episode reward:  2075.06 | Episode steps: 2500 | Average reward:  2078.67 | Step Count: 80000 | Episode Q0:    91.00
Episode:  33/100 | Episode reward:  2098.55 | Episode steps: 2500 | Average reward:  2080.90 | Step Count: 82500 | Episode Q0:    91.00
Episode:  34/100 | Episode reward:  2029.45 | Episode steps: 2500 | Average reward:  2074.91 | Step Count: 85000 | Episode Q0:    91.00
Episode:  35/100 | Episode reward:  2074.23 | Episode steps: 2500 | Average reward:  2073.93 | Step Count: 87500 | Episode Q0:    91.00
Episode:  36/100 | Episode reward:  2093.32 | Episode steps: 2500 | Average reward:  2076.15 | Step Count: 90000 | Episode Q0:    91.00
Episode:  37/100 | Episode reward:  2100.55 | Episode steps: 2500 | Average reward:  2076.29 | Step Count: 92500 | Episode Q0:    91.00
Episode:  38/100 | Episode reward:  2073.56 | Episode steps: 2500 | Average reward:  2076.56 | Step Count: 95000 | Episode Q0:    91.00
Episode:  39/100 | Episode reward:  2100.17 | Episode steps: 2500 | Average reward:  2079.00 | Step Count: 97500 | Episode Q0:    91.00
Episode:  40/100 | Episode reward:  2068.58 | Episode steps: 2500 | Average reward:  2077.95 | Step Count: 100000 | Episode Q0:    91.00
Episode:  41/100 | Episode reward:  2081.03 | Episode steps: 2500 | Average reward:  2079.45 | Step Count: 102500 | Episode Q0:    91.00
Episode:  42/100 | Episode reward:  2054.96 | Episode steps: 2500 | Average reward:  2077.44 | Step Count: 105000 | Episode Q0:    91.00
Episode:  43/100 | Episode reward:  2065.65 | Episode steps: 2500 | Average reward:  2074.15 | Step Count: 107500 | Episode Q0:    91.00
Episode:  44/100 | Episode reward:  2069.63 | Episode steps: 2500 | Average reward:  2078.17 | Step Count: 110000 | Episode Q0:    91.00
Episode:  45/100 | Episode reward:  2095.08 | Episode steps: 2500 | Average reward:  2080.25 | Step Count: 112500 | Episode Q0:    91.00
Episode:  46/100 | Episode reward:   263.04 | Episode steps:  491 | Average reward:  1897.22 | Step Count: 112991 | Episode Q0:    91.00
Episode:  47/100 | Episode reward:   299.63 | Episode steps:  500 | Average reward:  1717.13 | Step Count: 113491 | Episode Q0:    91.00
