Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,2068.76449693904,2500,2068.76449693904,2500,28.3275909423828
2,2075.28214746574,2500,2072.02332220239,5000,31.9990692138672
3,2084.63163999744,2500,2076.22609480074,7500,31.9990692138672
4,2082.92567642254,2500,2077.90099020619,10000,31.9990692138672
5,2079.67775403374,2500,2078.2563429717,12500,31.9990692138672
6,2102.18850892531,2500,2082.2450372973,15000,31.9990692138672
7,2083.46673867146,2500,2082.41956606504,17500,31.9990692138672
8,2058.4348170681,2500,2079.42147244042,20000,31.9990692138672
9,2074.4702774378,2500,2078.87133966235,22500,31.9990692138672
10,2084.00429506006,2500,2079.38463520212,25000,31.9990692138672
11,2055.92463741229,2500,2078.10064924945,27500,31.9990692138672
12,2070.20358916838,2500,2077.59279341971,30000,31.9990692138672
13,2095.69110812629,2500,2078.6987402326,32500,31.9990692138672
14,2101.11809645474,2500,2080.51798223582,35000,31.9990692138672
15,2082.50815297568,2500,2080.80102213001,37500,31.9990692138672
16,2063.22406877097,2500,2076.90457811458,40000,31.9990692138672
17,2094.39917412805,2500,2077.99782166024,42500,31.9990692138672
18,2083.78251322625,2500,2080.53259127605,45000,31.9990692138672
19,2095.53236765625,2500,2082.6388002979,47500,31.9990692138672
20,2089.7988856004,2500,2083.21825935193,50000,31.9990692138672
21,2097.3964983074,2500,2087.36544544144,52500,31.9990692138672
22,2077.40592994356,2500,2088.08567951896,55000,31.9990692138672
23,2099.13674239041,2500,2088.43024294537,57500,90.352424621582
24,2076.25932336729,2500,2085.94436563663,60000,90.352424621582
25,2083.95024878982,2500,2086.08857521804,62500,90.352424621582
26,2071.17263498208,2500,2086.88343183915,65000,90.352424621582
27,2070.83036972181,2500,2084.52655139853,67500,90.352424621582
28,2089.34413328941,2500,2085.08271340484,70000,90.352424621582
29,2075.80777822219,2500,2083.11025446144,72500,90.352424621582
30,2075.05609658838,2500,2081.63597556024,75000,90.352424621582
31,2066.00858610607,2500,2078.4971843401,77500,90.352424621582
32,2079.10199710075,2500,2078.66679105582,80000,90.352424621582
33,2098.55184178037,2500,2078.60830099482,82500,90.352424621582
34,2029.44614218459,2500,2073.92698287655,85000,90.352424621582
35,2093.32439055036,2500,2074.8643970526,87500,90.352424621582
36,2074.22877500641,2500,2075.17001105503,90000,90.352424621582
37,2100.55427388466,2500,2078.14240147132,92500,90.352424621582
38,2073.55614642442,2500,2076.56360278482,95000,90.352424621582
39,2100.1651956185,2500,2078.99934452445,97500,90.352424621582
40,2068.58281732014,2500,2078.35201659763,100000,90.352424621582
41,2054.9630841128,2500,2077.2474663983,102500,90.352424621582
42,2069.63137958457,2500,2076.30040464668,105000,90.352424621582
43,2081.02607784332,2500,2074.54782825298,107500,90.352424621582
44,2065.65250709414,2500,2078.16846474393,110000,90.352424621582
45,2043.15529453145,2500,2073.15155514204,112500,90.352424621582
46,252.217002244297,500,1890.95037786583,113000,90.352424621582
47,284.848960203886,500,1709.37984649775,113500,90.352424621582
48,261.828449084931,500,1528.2070767638,114000,90.352424621582
49,264.097218340933,500,1344.60027903605,114500,90.352424621582
50,296.737030457487,500,1167.41570034978,115000,89.6613311767578
51,264.698407614539,500,988.389232699955,115500,89.6613311767578
52,291.808604485673,500,810.606955190066,116000,89.6613311767578
53,295.19399994907,500,632.023747400641,116500,89.6613311767578
54,279.796269964294,500,453.438123687656,117000,89.6613311767578
55,191.750963330215,435,268.297690567533,117435,89.6613311767578
56,217.068337507286,500,264.782824093831,117935,89.6613311767578
57,256.757151639728,500,261.973643237416,118435,89.6613311767578
58,143.050107245077,203,250.09580905343,118638,89.6613311767578
59,225.252499302549,480,246.211337149592,119118,89.6613311767578
60,287.108492310422,500,245.248483334885,119618,89.6613311767578
61,248.014261228506,500,243.580068696282,120118,89.6613311767578
62,352.609657412817,587,249.660173988996,120705,89.6613311767578
63,228.111787009849,490,242.951952695074,121195,89.6613311767578
64,290.667686377686,500,244.039094336413,121695,89.6613311767578
65,264.211451985522,500,251.285143201944,122195,89.6613311767578
66,270.064728612528,500,256.584782312468,122695,89.6613311767578
67,164.418842922025,334,247.350951440698,123029,89.6613311767578
68,138.051228278513,295,246.851063544042,123324,89.6613311767578
69,166.603418492368,326,240.986155463024,123650,89.6613311767578
70,152.806020029149,308,227.555908234896,123958,89.6613311767578
71,216.55368229405,389,224.409850341451,124347,89.6613311767578
72,127.381248265438,280,201.887009426713,124627,89.6613311767578
73,115.729995471151,263,190.648830272843,124890,89.6613311767578
74,127.784201317541,288,174.360481766828,125178,89.6613311767578
75,220.660226195185,402,170.005359187795,125580,89.6613311767578
76,258.271530869859,431,168.826039413528,126011,89.6613311767578
77,160.248282274734,324,168.408983348799,126335,89.6613311767578
78,191.882752476023,269,173.79213576855,126604,89.6613311767578
79,149.024295635563,299,172.034223482869,126903,89.6613311767578
80,190.819840121368,367,175.835605492091,127270,89.6613311767578
81,133.324218169149,283,167.512659079601,127553,89.6613311767578
82,173.528438092077,352,172.127378062265,127905,87.9749374389648
83,188.638915459457,294,179.418270061096,128199,87.9749374389648
84,153.415635896059,309,181.981413518947,128508,87.9749374389648
85,118.659698875044,268,171.781360786933,128776,87.9749374389648
86,188.200708800184,355,164.774278579966,129131,87.9749374389648
87,201.269086310613,372,168.876358983554,129503,87.9749374389648
88,176.483617715066,335,167.336445507458,129838,87.9749374389648
89,129.906207094867,289,165.424636653388,130127,87.9749374389648
90,111.926421188634,257,157.535294760115,130384,87.9749374389648
91,142.30842107442,303,158.433715050642,130687,87.9749374389648
92,177.30952774342,333,158.811824015776,131020,87.9749374389648
93,265.512335328609,460,166.499166002692,131480,87.9749374389648
94,77.037770031464,214,158.861379416232,131694,87.7897567749023
95,63.7498219571167,196,153.37039172444,131890,87.7897567749023
96,89.9099459442915,240,143.54131543885,132130,87.7897567749023
97,93.9093488511711,253,132.805341692906,132383,87.7897567749023
98,86.0348487566529,243,123.760464797065,132626,87.7897567749023
99,88.7506283695734,235,119.644906924535,132861,87.7897567749023
100,79.8623607310546,227,116.438500878777,133088,87.7897567749023
