Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle\training_console.log
Episode:   1/2000 | Episode reward:  1993.66 | Episode steps: 2500 | Average reward:  1993.66 | Step Count: 2500 | Episode Q0:    28.33
Episode:   2/2000 | Episode reward:  1997.51 | Episode steps: 2500 | Average reward:  1995.58 | Step Count: 5000 | Episode Q0:    28.49
Episode:   3/2000 | Episode reward:  1998.40 | Episode steps: 2500 | Average reward:  1996.52 | Step Count: 7500 | Episode Q0:    28.49
Episode:   4/2000 | Episode reward:  1997.64 | Episode steps: 2500 | Average reward:  1996.80 | Step Count: 10000 | Episode Q0:    28.49
Episode:   5/2000 | Episode reward:  1996.30 | Episode steps: 2500 | Average reward:  1996.70 | Step Count: 12500 | Episode Q0:    28.49
Episode:   6/2000 | Episode reward:  1992.06 | Episode steps: 2500 | Average reward:  1995.93 | Step Count: 15000 | Episode Q0:    28.49
Episode:   7/2000 | Episode reward:  1995.54 | Episode steps: 2500 | Average reward:  1995.87 | Step Count: 17500 | Episode Q0:    28.49
Episode:   8/2000 | Episode reward:  2002.20 | Episode steps: 2500 | Average reward:  1996.66 | Step Count: 20000 | Episode Q0:    28.49
Episode:   9/2000 | Episode reward:  1998.25 | Episode steps: 2500 | Average reward:  1996.84 | Step Count: 22500 | Episode Q0:    28.49
Episode:  10/2000 | Episode reward:  2001.88 | Episode steps: 2500 | Average reward:  1997.34 | Step Count: 25000 | Episode Q0:    28.49
Episode:  11/2000 | Episode reward:  1997.95 | Episode steps: 2500 | Average reward:  1997.77 | Step Count: 27500 | Episode Q0:    28.49
Episode:  12/2000 | Episode reward:  1988.39 | Episode steps: 2500 | Average reward:  1996.86 | Step Count: 30000 | Episode Q0:    28.49
Episode:  13/2000 | Episode reward:  1993.84 | Episode steps: 2500 | Average reward:  1996.41 | Step Count: 32500 | Episode Q0:    28.49
Episode:  14/2000 | Episode reward:  1997.48 | Episode steps: 2500 | Average reward:  1996.39 | Step Count: 35000 | Episode Q0:    28.49
Episode:  15/2000 | Episode reward:  1999.03 | Episode steps: 2500 | Average reward:  1996.66 | Step Count: 37500 | Episode Q0:    28.49
Episode:  16/2000 | Episode reward:  1993.59 | Episode steps: 2500 | Average reward:  1996.82 | Step Count: 40000 | Episode Q0:    28.49
Episode:  17/2000 | Episode reward:  1990.72 | Episode steps: 2500 | Average reward:  1996.33 | Step Count: 42500 | Episode Q0:    28.49
Episode:  18/2000 | Episode reward:  1996.84 | Episode steps: 2500 | Average reward:  1995.80 | Step Count: 45000 | Episode Q0:    28.49
Episode:  19/2000 | Episode reward:  2000.01 | Episode steps: 2500 | Average reward:  1995.97 | Step Count: 47500 | Episode Q0:    28.49
Episode:  20/2000 | Episode reward:  2002.60 | Episode steps: 2500 | Average reward:  1996.05 | Step Count: 50000 | Episode Q0:    28.49
Episode:  21/2000 | Episode reward:  1996.37 | Episode steps: 2500 | Average reward:  1995.89 | Step Count: 52500 | Episode Q0:    28.49
Episode:  22/2000 | Episode reward:  1993.64 | Episode steps: 2500 | Average reward:  1996.41 | Step Count: 55000 | Episode Q0:    28.49
Episode:  23/2000 | Episode reward:  1998.71 | Episode steps: 2500 | Average reward:  1996.90 | Step Count: 57500 | Episode Q0:    67.39
Episode:  24/2000 | Episode reward:  1992.42 | Episode steps: 2500 | Average reward:  1996.39 | Step Count: 60000 | Episode Q0:    67.39
Episode:  25/2000 | Episode reward:  1997.59 | Episode steps: 2500 | Average reward:  1996.25 | Step Count: 62500 | Episode Q0:    67.39
Episode:  26/2000 | Episode reward:  1996.78 | Episode steps: 2500 | Average reward:  1996.57 | Step Count: 65000 | Episode Q0:    67.39
Episode:  27/2000 | Episode reward:  1993.81 | Episode steps: 2500 | Average reward:  1996.88 | Step Count: 67500 | Episode Q0:    67.39
Episode:  28/2000 | Episode reward:  1993.48 | Episode steps: 2500 | Average reward:  1996.54 | Step Count: 70000 | Episode Q0:    67.39
Episode:  29/2000 | Episode reward:  1998.09 | Episode steps: 2500 | Average reward:  1996.35 | Step Count: 72500 | Episode Q0:    67.39
Episode:  30/2000 | Episode reward:  1992.06 | Episode steps: 2500 | Average reward:  1995.29 | Step Count: 75000 | Episode Q0:    67.39
Episode:  31/2000 | Episode reward:  1996.45 | Episode steps: 2500 | Average reward:  1995.30 | Step Count: 77500 | Episode Q0:    67.39
Episode:  32/2000 | Episode reward:  1994.17 | Episode steps: 2500 | Average reward:  1995.35 | Step Count: 80000 | Episode Q0:    67.39
Episode:  33/2000 | Episode reward:  1995.58 | Episode steps: 2500 | Average reward:  1995.04 | Step Count: 82500 | Episode Q0:    67.39
Episode:  34/2000 | Episode reward:  1994.59 | Episode steps: 2500 | Average reward:  1995.26 | Step Count: 85000 | Episode Q0:    67.39
Episode:  35/2000 | Episode reward:  1999.77 | Episode steps: 2500 | Average reward:  1995.48 | Step Count: 87500 | Episode Q0:    67.39
Episode:  36/2000 | Episode reward:  1994.35 | Episode steps: 2500 | Average reward:  1995.23 | Step Count: 90000 | Episode Q0:    67.39
Episode:  37/2000 | Episode reward:  1991.60 | Episode steps: 2500 | Average reward:  1995.01 | Step Count: 92500 | Episode Q0:    67.39
Episode:  38/2000 | Episode reward:  1994.67 | Episode steps: 2500 | Average reward:  1995.13 | Step Count: 95000 | Episode Q0:    67.39
Episode:  39/2000 | Episode reward:  1994.81 | Episode steps: 2500 | Average reward:  1994.80 | Step Count: 97500 | Episode Q0:    67.39
Episode:  40/2000 | Episode reward:  1993.54 | Episode steps: 2500 | Average reward:  1994.95 | Step Count: 100000 | Episode Q0:    67.39
Episode:  41/2000 | Episode reward:  2002.22 | Episode steps: 2500 | Average reward:  1995.53 | Step Count: 102500 | Episode Q0:    67.39
Episode:  42/2000 | Episode reward:  2001.65 | Episode steps: 2500 | Average reward:  1996.28 | Step Count: 105000 | Episode Q0:    67.39
Episode:  43/2000 | Episode reward:  1994.38 | Episode steps: 2500 | Average reward:  1996.16 | Step Count: 107500 | Episode Q0:    67.39
Episode:  44/2000 | Episode reward:  1997.88 | Episode steps: 2500 | Average reward:  1996.49 | Step Count: 110000 | Episode Q0:    67.39
Episode:  45/2000 | Episode reward:  1954.70 | Episode steps: 2500 | Average reward:  1991.98 | Step Count: 112500 | Episode Q0:    67.39
Episode:  46/2000 | Episode reward:   -21.39 | Episode steps:   18 | Average reward:  1790.41 | Step Count: 112518 | Episode Q0:    67.39
Episode:  47/2000 | Episode reward:   -36.29 | Episode steps:   21 | Average reward:  1587.62 | Step Count: 112539 | Episode Q0:    67.39
Episode:  48/2000 | Episode reward:   -33.63 | Episode steps:   21 | Average reward:  1384.79 | Step Count: 112560 | Episode Q0:    67.39
Episode:  49/2000 | Episode reward:   -23.25 | Episode steps:   19 | Average reward:  1182.98 | Step Count: 112579 | Episode Q0:    67.39
Episode:  50/2000 | Episode reward:   -21.55 | Episode steps:   19 | Average reward:   981.47 | Step Count: 112598 | Episode Q0:    67.39
Episode:  51/2000 | Episode reward:   -33.05 | Episode steps:   22 | Average reward:   777.95 | Step Count: 112620 | Episode Q0:    67.39
Episode:  52/2000 | Episode reward:   -33.05 | Episode steps:   20 | Average reward:   574.48 | Step Count: 112640 | Episode Q0:    67.39
Episode:  53/2000 | Episode reward:   -22.57 | Episode steps:   19 | Average reward:   372.78 | Step Count: 112659 | Episode Q0:    67.39
Episode:  54/2000 | Episode reward:   -21.84 | Episode steps:   18 | Average reward:   170.81 | Step Count: 112677 | Episode Q0:    67.39
Episode:  55/2000 | Episode reward:   -22.34 | Episode steps:   19 | Average reward:   -26.90 | Step Count: 112696 | Episode Q0:    67.39
Episode:  56/2000 | Episode reward:   -38.65 | Episode steps:   22 | Average reward:   -28.62 | Step Count: 112718 | Episode Q0:    67.39
Episode:  57/2000 | Episode reward:   -35.31 | Episode steps:   22 | Average reward:   -28.52 | Step Count: 112740 | Episode Q0:    67.39
Episode:  58/2000 | Episode reward:   -22.02 | Episode steps:   18 | Average reward:   -27.36 | Step Count: 112758 | Episode Q0:    67.39
Episode:  59/2000 | Episode reward:   -34.72 | Episode steps:   21 | Average reward:   -28.51 | Step Count: 112779 | Episode Q0:    67.39
Episode:  60/2000 | Episode reward:   -24.32 | Episode steps:   21 | Average reward:   -28.79 | Step Count: 112800 | Episode Q0:    67.39
