Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,1993.66,2500,1993.66,2500,28.33
2,1997.51,2500,1995.58,5000,28.49
3,1998.4,2500,1996.52,7500,28.49
4,1997.64,2500,1996.8,10000,28.49
5,1996.3,2500,1996.7,12500,28.49
6,1992.06,2500,1995.93,15000,28.49
7,1995.54,2500,1995.87,17500,28.49
8,2002.2,2500,1996.66,20000,28.49
9,1998.25,2500,1996.84,22500,28.49
10,2001.88,2500,1997.34,25000,28.49
11,1997.95,2500,1997.77,27500,28.49
12,1988.39,2500,1996.86,30000,28.49
13,1993.84,2500,1996.41,32500,28.49
14,1997.48,2500,1996.39,35000,28.49
15,1999.03,2500,1996.66,37500,28.49
16,1993.59,2500,1996.82,40000,28.49
17,1990.72,2500,1996.33,42500,28.49
18,1996.84,2500,1995.8,45000,28.49
19,2000.01,2500,1995.97,47500,28.49
20,2002.6,2500,1996.05,50000,28.49
21,1996.37,2500,1995.89,52500,28.49
22,1993.64,2500,1996.41,55000,28.49
23,1998.71,2500,1996.9,57500,67.39
24,1992.42,2500,1996.39,60000,67.39
25,1997.59,2500,1996.25,62500,67.39
26,1996.78,2500,1996.57,65000,67.39
27,1993.81,2500,1996.88,67500,67.39
28,1993.48,2500,1996.54,70000,67.39
29,1998.09,2500,1996.35,72500,67.39
30,1992.06,2500,1995.29,75000,67.39
31,1996.45,2500,1995.3,77500,67.39
32,1994.17,2500,1995.35,80000,67.39
33,1995.58,2500,1995.04,82500,67.39
34,1994.59,2500,1995.26,85000,67.39
35,1999.77,2500,1995.48,87500,67.39
36,1994.35,2500,1995.23,90000,67.39
37,1991.6,2500,1995.01,92500,67.39
38,1994.67,2500,1995.13,95000,67.39
39,1994.81,2500,1994.8,97500,67.39
40,1993.54,2500,1994.95,100000,67.39
41,2002.22,2500,1995.53,102500,67.39
42,2001.65,2500,1996.28,105000,67.39
43,1994.38,2500,1996.16,107500,67.39
44,1997.88,2500,1996.49,110000,67.39
45,1954.7,2500,1991.98,112500,67.39
46,-21.39,18,1790.41,112518,67.39
47,-36.29,21,1587.62,112539,67.39
48,-33.63,21,1384.79,112560,67.39
49,-23.25,19,1182.98,112579,67.39
50,-21.55,19,981.47,112598,67.39
51,-33.05,22,777.95,112620,67.39
52,-33.05,20,574.48,112640,67.39
53,-22.57,19,372.78,112659,67.39
54,-21.84,18,170.81,112677,67.39
55,-22.34,19,-26.9,112696,67.39
56,-38.65,22,-28.62,112718,67.39
57,-35.31,22,-28.52,112740,67.39
58,-22.02,18,-27.36,112758,67.39
59,-34.72,21,-28.51,112779,67.39
60,-24.32,21,-28.79,112800,67.39
61,-31.46,23,-28.63,112823,67.39
62,-37.72,22,-29.1,112845,67.39
63,-27.99,19,-29.64,112864,89.54
64,-22.27,20,-29.68,112884,89.54
65,-31.76,22,-30.62,112906,89.54
66,-20.3,18,-28.79,112924,89.54
67,158.8,320,-9.38,113244,89.54
68,142.3,309,7.06,113553,89.54
69,169.68,264,27.5,113817,89.54
70,146.8,310,44.61,114127,89.54
71,242.32,446,71.99,114573,89.54
72,198.49,394,95.61,114967,89.54
73,161.45,355,114.55,115322,89.54
74,196.62,380,136.44,115702,89.54
75,216.92,418,161.31,116120,89.54
76,227.33,408,186.07,116528,89.54
77,246.09,431,194.8,116959,89.54
78,142.23,304,194.79,117263,89.54
79,145.62,323,192.39,117586,89.54
80,286.6,492,206.37,118078,89.54
81,159.42,322,198.08,118400,89.54
82,289.69,484,207.2,118884,89.54
83,284.8,479,219.53,119363,89.54
84,133.35,291,213.21,119654,89.54
85,262.79,493,217.79,120147,89.54
86,155.54,339,210.61,120486,89.54
87,289.92,500,215,120986,89.54
88,296.19,492,230.39,121478,89.54
89,303.78,500,246.21,121978,89.54
90,218.58,423,239.41,122401,89.54
91,177.22,367,241.19,122768,89.38
92,295.67,502,241.78,123270,89.38
93,236.95,450,237,123720,89.38
94,162.89,327,239.95,124047,89.38
95,253.03,439,238.98,124486,89.38
96,208.77,396,244.3,124882,89.38
97,141.82,315,229.49,125197,89.38
98,171.84,364,217.05,125561,89.38
99,133.25,294,200,125855,89.38
100,183.71,377,196.52,126232,89.38
101,277.73,500,206.57,126732,89.38
102,176.97,363,194.7,127095,89.38
103,252.86,457,196.29,127552,89.38
104,284.38,500,208.44,128052,89.38
105,263.08,452,209.44,128504,89.38
106,232.04,432,211.77,128936,89.38
107,-96.25,39,187.96,128975,89.38
108,-76.76,38,163.1,129013,89.38
109,-82.07,37,141.57,129050,89.38
110,-99.6,39,113.24,129089,89.38
111,-86.84,36,76.78,129125,89.38
112,-94.83,39,49.6,129164,89.38
113,-92.82,39,15.03,129203,89.38
114,-81.43,37,-21.55,129240,89.38
115,-81.58,37,-56.01,129277,89.38
116,-84.91,39,-87.71,129316,89.38
117,-82.52,38,-86.33,129354,89.38
118,-78.88,37,-86.55,129391,89.38
119,-81.06,36,-86.45,129427,89.38
120,-90.37,38,-85.52,129465,89.38
121,-86.2,39,-85.46,129504,89.38
122,-84.99,40,-84.48,129544,89.38
123,-88.98,38,-84.09,129582,89.38
124,-81.99,37,-84.15,129619,89.38
125,-96.85,38,-85.67,129657,89.38
126,-90.98,36,-86.28,129693,89.38
127,-81.48,35,-86.18,129728,89.38
128,-74.63,38,-85.75,129766,89.38
129,-85.08,40,-86.15,129806,89.38
