Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-18.39,24,-18.39,24,-0.15
2,-42.94,53,-30.66,77,-0.15
3,-48.11,48,-36.48,125,-0.15
4,-15.94,30,-31.34,155,-0.15
5,-48.19,46,-34.71,201,-0.15
6,-40.92,55,-35.75,256,-0.15
7,-18.53,30,-33.29,286,-0.15
8,-43.05,50,-34.51,336,-0.15
9,-60.89,46,-37.44,382,-0.15
10,-50.17,47,-38.71,429,-0.15
11,-22.88,29,-39.16,458,-0.15
12,-5.34,28,-35.4,486,-0.15
13,-9.63,26,-31.55,512,-0.15
14,-50.18,45,-34.98,557,-0.15
15,-19.73,28,-32.13,585,-0.15
16,-9.18,23,-28.96,608,-0.15
17,-18.97,29,-29,637,-0.15
18,-15.8,26,-26.28,663,-0.15
19,-9.57,42,-21.15,705,-0.15
20,-21.07,30,-18.24,735,-0.15
21,-21.15,56,-18.06,791,-0.15
22,-9.71,24,-18.5,815,-0.15
23,-19.24,29,-19.46,844,-0.15
24,-18.96,23,-16.34,867,-0.15
25,3.25,47,-14.04,914,-0.15
26,-39.74,49,-17.1,963,-0.15
27,-8.08,47,-16.01,1010,-0.15
28,-32.75,47,-17.7,1057,-0.15
29,-36.82,53,-20.43,1110,-0.15
30,-3.42,35,-18.66,1145,-0.15
31,-13.22,27,-17.87,1172,-0.15
32,-41.82,48,-21.08,1220,-0.15
33,-22.26,27,-21.38,1247,-0.15
34,-12.65,37,-20.75,1284,-0.15
35,-70.09,40,-28.08,1324,-0.15
36,-67.06,41,-30.82,1365,-0.15
37,-16.68,26,-31.68,1391,-0.15
38,-19.15,25,-30.32,1416,-0.15
39,-63.98,47,-33.03,1463,-0.15
40,-8.01,29,-33.49,1492,-0.15
41,-45.29,59,-36.7,1551,-0.15
42,-45.94,58,-37.11,1609,-0.15
43,-25.45,25,-37.43,1634,-0.15
44,-49.81,53,-41.15,1687,-0.15
45,-12.31,22,-35.37,1709,-0.15
46,-4.97,27,-29.16,1736,-0.15
47,1.55,32,-27.34,1768,-0.15
48,-14.36,32,-26.86,1800,-0.15
49,-43.22,47,-24.78,1847,-0.15
50,-12.93,25,-25.27,1872,-0.15
51,-58.24,48,-26.57,1920,-0.15
52,-34.5,53,-25.42,1973,-0.15
53,-6.48,29,-23.53,2002,-0.15
54,-8.57,39,-19.4,2041,-0.15
55,-34.02,59,-21.57,2100,-0.15
56,-64.45,48,-27.52,2148,-0.15
57,-7.36,29,-28.41,2177,-0.15
58,-18.99,25,-28.88,2202,-0.15
59,-19.19,29,-26.47,2231,-0.15
60,-57.73,46,-30.95,2277,-0.15
61,5.14,42,-24.61,2319,-0.15
62,-2.94,36,-21.46,2355,-0.15
63,-33.4,55,-24.15,2410,-0.15
64,-14.81,28,-24.77,2438,-0.15
65,-58.52,48,-27.22,2486,-0.15
66,-20.89,31,-22.87,2517,-0.15
67,-55.52,55,-27.68,2572,-0.15
68,-48.94,52,-30.68,2624,-0.15
69,-10.2,34,-29.78,2658,-0.15
70,-49.59,62,-28.97,2720,-0.15
71,-59.1,44,-35.39,2764,-0.15
72,-63.59,39,-41.46,2803,-0.15
73,-50.04,56,-43.12,2859,-0.15
74,-39.32,46,-45.57,2905,-0.15
75,-18.43,68,-41.56,2973,-0.15
76,-26.96,58,-42.17,3031,-0.15
77,-48.08,47,-41.43,3078,-0.15
78,-52.4,51,-41.77,3129,-0.15
79,-9.05,30,-41.66,3159,-0.15
80,-23.01,24,-39,3183,-0.15
81,-22.47,25,-35.34,3208,-0.15
82,-29.12,65,-31.89,3273,-0.15
83,-9.6,27,-27.85,3300,-0.15
84,-17.62,28,-25.68,3328,-0.15
85,-69.01,44,-30.73,3372,-0.15
86,-59.2,52,-33.96,3424,-0.15
87,-42.84,54,-33.43,3478,-0.15
88,-12.61,34,-29.45,3512,-0.15
89,-10.75,38,-29.62,3550,-0.15
90,-19.58,29,-29.28,3579,-0.15
