CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,MaxAbsOmega1Error,MaxAbsOmega2Error,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,0.338,170,1.59674042864644,3.14159265358979,16.1021499095273,6.43205916120871,16.1021499095273,0.719803515399831,1.58686487392811,0.367196435928345,NaN,NaN,NaN,2.13418958494864,1.08464134230333,2.09726271133013,-1.08464134230333,3.14159265358979,2.17195588135961,0.564695909527251,6.28037691116333,5.91715976331361,0.0103769723488525,0.0233481877849182,0.000237077326373625,0.0249391007362131,0.484303318826742,0.107609758593974,0.318372066846076,0.00169452269428512,0.00381267606214152,0.0708052311084628,0.174974287650984,0.169801271094322,1.1492937207222,26.6272189349112,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:48
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,1,501,0.830913627672579,3.14159265358979,9.0927845552992,6.19877317922271,9.0927845552992,2.89613809551802,8.40455885942479,0.544122748970985,NaN,NaN,NaN,2.93868073083778,0.366092107744806,0.447961553280436,-0.366092107744806,3.14033172129794,2.89934815553369,2.81570826650386,6.28133726119995,1.5,0.0562063208592498,0.126464221933312,0.00124986923086125,0.131478683062328,2.72793631849765,0.597254141708145,0.597254141708145,0.0074587786788795,0.0167822520274789,0.0863642210575624,0.236894131012989,0.236330655621593,1.55226409435272,26,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,1,501,0.886430634184755,3.14159265358979,9.99504074038168,5.12020362586972,9.99504074038168,2.8275428490784,8.02381338571097,0.580169135823846,NaN,NaN,NaN,2.88981021330666,0.476370490998386,-0.645270355357195,-0.476370490998386,3.14015468756621,2.83306062804085,2.75789255883572,6.28174734115601,2,0.0720291079752642,0.162065492944345,0.00159202143327423,0.1674710251965,3.46200631711523,0.759124723096579,0.759124723096579,0.00929787635206825,0.0209202217921536,0.096425496379683,0.268346293061541,0.268345919406891,1.44113314151764,29,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,1,501,1.41013513983351,3.14159265358979,10.0676825519545,5.45774927706663,10.0676825519545,2.66420827873119,7.16201917507578,1.21751875317097,NaN,NaN,NaN,2.74890821372283,1.30696104912169,0.755258708703452,-1.30696104912169,3.14014718531772,2.67707044519752,2.55224223209987,6.2815146446228,2,0.0805021635677638,0.181129868027469,0.0017801559411492,0.187261637464742,3.83976225449376,0.845642530651719,0.845642530651719,0.010366116243337,0.0233237615475083,0.101814125951839,0.283486790879979,0.283362064787495,1.69869178533554,19,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
5,-0.785398163397448,-3.14159265358979,0,0,full_final,1,501,0.785398163397448,3.14159265358979,3.3784669169271,3.3784669169271,2.72559458123396,3.08218475161928,9.50092221120061,0.291372387461958,NaN,NaN,NaN,3.0957089332608,0.070701152013232,-0.332898403232234,-0.0225029376280014,3.14159009455844,3.08246826700035,3.08241215586202,6.2831768989563,1.5,0.00577489103436011,0.0129935048273103,0.000150771092551463,0.0158602069745129,0.369031611176594,0.0752244829488657,0.0752244829488657,0.00142087014919523,0.00319695783568928,0.0376944312756571,0.0760691865578143,0.0739047998442764,0.547332406044006,63.5,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
6,-0.785398163397448,-3.14159265358979,0,10,full_final,1,501,0.906623983951625,3.14159265358979,10.3043928393731,5.70854530733504,10.3043928393731,2.62435078660555,6.9714494530513,0.676578174591064,NaN,NaN,NaN,2.71562400728448,0.737547265105988,-0.738564835796196,-0.737547265105988,3.13991639613315,2.64141195103979,2.50660967475144,6.28083944320679,2,0.0422258231403136,0.0950081020657057,0.000905082301751909,0.0952091836162429,1.94288801339536,0.427729658829612,0.427729658829612,0.00575334356859281,0.0129450230293338,0.0758507980748575,0.206506869127337,0.206067429043162,1.49557489156723,29,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,1,501,0.908149364820299,3.14159265358979,10.0225243184605,5.586617181957,10.0225243184605,2.81392385979889,7.94736353159872,0.694536827564239,NaN,NaN,NaN,2.8769356701916,0.570038333357093,0.589355675341949,-0.570038333357093,3.14065727393096,2.81956861465093,2.73056565556104,6.28224992752075,2.5,0.0568106754770586,0.127824019823382,0.00125923172139486,0.132463560436014,2.73746230122124,0.600466530691648,0.600466530691648,0.00798610792751312,0.0179687428369045,0.0893650263107057,0.238161809961377,0.238088605032448,1.48381292819977,29,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
8,-0.785398163397448,-3.14159265358979,5,0,full_final,1,501,0.80682885932439,3.14159265358979,6.92343333979579,5.0528240973828,6.92343333979579,2.94750019113067,8.69958981822891,0.412425498990342,NaN,NaN,NaN,2.98427125805854,0.240403774932799,-0.444273352881144,-0.240403774932799,3.13971552054351,2.94973569249171,2.8924918423846,6.28231191635132,2,0.0445202230046279,0.100170501760413,0.000996585912807069,0.104834810025727,2.18302244387689,0.476243087115837,0.476243087115837,0.00689631688051613,0.0155167129811613,0.0830440658958611,0.210908273227761,0.210907934480763,1.27833795547485,35,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:49
9,-0.785398163397448,-3.14159265358979,5,10,full_final,1,501,1.19519815130693,3.14159265358979,15.8866305829447,6.68319322336407,15.8866305829447,2.32964186590402,5.6293290729596,0.728960765063763,NaN,NaN,NaN,2.44884521473353,0.892355979795,-0.22795651535796,-0.892355979795,3.13890454768344,2.37389500389434,2.28229301764444,6.26748752593994,1.5,0.030526239475157,0.0686840388191032,0.000677565774774412,0.0712758211465522,1.39779470489161,0.310956236683106,0.310956236683106,0.00540169730592168,0.0121538189383238,0.0734962400801679,0.174879658798693,0.173390044443135,1.34486794471741,26,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:42
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,0.392,197,1.5905076936832,3.14159265358979,17.6689429891612,6.23368316474875,17.6689429891612,0.859343142173193,1.9585662312385,0.409467937231064,NaN,NaN,NaN,2.19573446888783,1.04325759501627,1.39117648068313,-1.04325759501627,3.14159265358979,2.23911761691487,1.75450155371052,6.28113508224487,2.55102040816327,0.0191754554389217,0.0431447747375737,0.000432062291207436,0.0454503396404929,0.875140694476725,0.196866392361427,0.502210184595478,0.00226088114414661,0.00508698257432988,0.0759444134821615,0.220775324174606,0.217966576776508,1.52395844459534,30.6122448979592,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 15:29:48
