Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,19.82,94,19.82,94,-0.15
2,19.27,82,19.55,176,-0.15
3,29.79,58,22.96,234,-0.15
4,37.99,64,26.72,298,-0.15
5,24.65,58,26.31,356,-0.15
6,23.98,70,25.92,426,-0.15
7,48.36,101,29.12,527,-0.15
8,36.03,86,29.99,613,-0.15
9,16.93,101,28.54,714,-0.15
10,65.28,327,32.21,1041,-0.15
11,81.33,126,38.36,1167,-0.15
12,28.39,102,39.27,1269,-0.15
13,30.49,96,39.34,1365,-0.15
14,-7.5,85,34.79,1450,-0.15
15,19.51,100,34.28,1550,-0.15
16,23.09,72,34.19,1622,-0.15
17,27.76,63,32.13,1685,-0.15
18,45.15,113,33.05,1798,-0.15
19,81.12,299,39.46,2097,-0.15
20,33.75,87,36.31,2184,-0.15
21,-128.12,271,15.37,2455,-0.15
22,16.42,38,14.17,2493,-0.15
23,44.23,79,15.54,2572,-0.15
24,36.82,99,19.98,2671,-0.15
25,35.7,77,21.59,2748,-0.15
26,51.53,76,24.44,2824,-0.15
27,13.35,82,23,2906,0.09
28,39.66,101,22.45,3007,0.09
29,39.59,110,18.29,3117,0.09
30,-6.11,64,14.31,3181,0.09
31,31.69,101,30.29,3282,0.09
32,21.64,42,30.81,3324,0.09
33,35.24,94,29.91,3418,0.09
34,24.44,84,28.67,3502,0.09
35,11.17,122,26.22,3624,0.09
36,17.03,40,22.77,3664,0.09
37,102.87,298,31.72,3962,0.09
38,67.96,121,34.55,4083,0.09
39,36.23,90,34.22,4173,0.09
40,36.6,91,38.49,4264,0.09
41,-23,96,33.02,4360,0.09
42,30.44,89,33.9,4449,0.09
43,49.47,223,35.32,4672,0.09
44,43.55,111,37.23,4783,0.09
45,46.31,108,40.75,4891,0.09
46,13,84,40.34,4975,0.09
47,20.61,80,32.12,5055,0.09
48,-4.43,97,24.88,5152,0.09
49,16.32,65,22.89,5217,0.09
50,20.04,87,21.23,5304,0.09
51,33.47,88,26.88,5392,0.09
52,93.71,238,33.2,5630,0.09
53,2.82,74,28.54,5704,0.09
54,33.49,69,27.53,5773,0.09
55,38.08,94,26.71,5867,0.09
56,48.9,94,30.3,5961,0.09
57,32.39,73,31.48,6034,0.09
58,34.12,99,35.33,6133,0.09
59,39.23,85,37.62,6218,0.09
60,15.56,83,37.18,6301,0.6
