Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,59.48,88,59.48,88,0.02
2,39.55,77,49.51,165,0.02
3,82.09,223,60.37,388,0.02
4,40.75,99,55.46,487,0.02
5,86.71,218,61.71,705,0.02
6,115.5,181,70.68,886,0.02
7,131.43,317,79.36,1203,0.02
8,72.87,197,78.55,1400,0.02
9,70.18,236,77.62,1636,0.02
10,108.26,263,80.68,1899,0.02
11,63.28,185,81.06,2084,0.02
12,165.15,218,93.62,2302,0.02
13,73.36,196,92.75,2498,0.02
14,62.56,118,94.93,2616,0.02
15,126.25,183,98.88,2799,0.31
16,33.62,155,90.7,2954,0.31
17,67.87,189,84.34,3143,0.31
18,121.61,269,89.21,3412,0.31
19,142.57,301,96.45,3713,0.31
20,73.06,195,92.93,3908,0.31
21,119.09,260,98.51,4168,0.31
22,47.01,175,86.7,4343,0.31
23,80.11,218,87.38,4561,0.31
24,73.39,201,88.46,4762,0.31
25,122.04,276,88.04,5038,0.31
26,137.17,274,98.39,5312,0.31
27,47.95,103,96.4,5415,0.31
28,75.05,137,91.74,5552,0.31
29,48.42,189,82.33,5741,0.31
30,69.75,215,82,5956,0.08
31,100.79,154,80.17,6110,0.08
32,76.93,208,83.16,6318,0.08
33,84.31,221,83.58,6539,0.08
34,75.33,196,83.77,6735,0.08
35,61.91,189,77.76,6924,0.08
36,32.36,87,67.28,7011,0.08
37,57.11,84,68.2,7095,0.08
38,27.92,101,63.48,7196,0.08
39,76.38,110,66.28,7306,0.08
40,59.86,78,65.29,7384,0.08
41,26.85,129,57.9,7513,0.08
42,39.07,140,54.11,7653,0.08
43,6.37,81,46.32,7734,0.05
44,21.22,137,40.91,7871,0.05
45,98.17,137,44.53,8008,0.05
46,69.05,106,48.2,8114,0.05
47,53.86,101,47.88,8215,0.05
48,48.37,175,49.92,8390,0.05
49,34.61,139,45.74,8529,0.05
50,34.47,79,43.2,8608,0.05
51,43.3,142,44.85,8750,0.05
52,54.65,79,46.41,8829,0.05
53,46.21,92,50.39,8921,0.05
54,39.56,133,52.23,9054,0.05
55,37.99,92,46.21,9146,0.08
56,43.89,141,43.69,9287,0.08
57,40.95,123,42.4,9410,0.08
58,33.43,121,40.91,9531,0.08
59,26.28,118,40.07,9649,0.08
60,46.13,181,41.24,9830,0.08
