Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000\training_console.log
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 1 8 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 22 workers.
Episode:   1/2000 | Episode reward:   889.10 | Episode steps: 2500 | Average reward:   889.10 | Step Count: 2500 | Episode Q0:    49.10
Episode:   2/2000 | Episode reward:   911.87 | Episode steps: 2500 | Average reward:   900.49 | Step Count: 5000 | Episode Q0:    48.86
Episode:   3/2000 | Episode reward:   764.60 | Episode steps: 2500 | Average reward:   855.19 | Step Count: 7500 | Episode Q0:    48.86
Episode:   4/2000 | Episode reward:   844.76 | Episode steps: 2500 | Average reward:   852.58 | Step Count: 10000 | Episode Q0:    48.86
Episode:   5/2000 | Episode reward:   931.58 | Episode steps: 2500 | Average reward:   868.38 | Step Count: 12500 | Episode Q0:    48.86
Episode:   6/2000 | Episode reward:   962.85 | Episode steps: 2500 | Average reward:   884.13 | Step Count: 15000 | Episode Q0:    48.86
Episode:   7/2000 | Episode reward:   769.84 | Episode steps: 2500 | Average reward:   867.80 | Step Count: 17500 | Episode Q0:    48.86
Episode:   8/2000 | Episode reward:   887.12 | Episode steps: 2500 | Average reward:   870.22 | Step Count: 20000 | Episode Q0:    48.86
Episode:   9/2000 | Episode reward:   942.39 | Episode steps: 2500 | Average reward:   878.24 | Step Count: 22500 | Episode Q0:    48.86
Episode:  10/2000 | Episode reward:   957.94 | Episode steps: 2500 | Average reward:   886.21 | Step Count: 25000 | Episode Q0:    48.86
Episode:  11/2000 | Episode reward:   961.47 | Episode steps: 2500 | Average reward:   893.44 | Step Count: 27500 | Episode Q0:    48.86
Episode:  12/2000 | Episode reward:   964.25 | Episode steps: 2500 | Average reward:   898.68 | Step Count: 30000 | Episode Q0:    48.86
Episode:  13/2000 | Episode reward:   919.95 | Episode steps: 2500 | Average reward:   914.22 | Step Count: 32500 | Episode Q0:    48.86
Episode:  14/2000 | Episode reward:   837.29 | Episode steps: 2500 | Average reward:   913.47 | Step Count: 35000 | Episode Q0:    47.30
Episode:  15/2000 | Episode reward:   973.20 | Episode steps: 2500 | Average reward:   917.63 | Step Count: 37500 | Episode Q0:    47.30
Episode:  16/2000 | Episode reward:   955.83 | Episode steps: 2500 | Average reward:   916.93 | Step Count: 40000 | Episode Q0:    47.30
Episode:  17/2000 | Episode reward:   776.61 | Episode steps: 2500 | Average reward:   917.61 | Step Count: 42500 | Episode Q0:    47.30
Episode:  18/2000 | Episode reward:   912.89 | Episode steps: 2500 | Average reward:   920.18 | Step Count: 45000 | Episode Q0:    47.30
Episode:  19/2000 | Episode reward:   905.11 | Episode steps: 2500 | Average reward:   916.45 | Step Count: 47500 | Episode Q0:    47.30
Episode:  20/2000 | Episode reward:   935.29 | Episode steps: 2500 | Average reward:   914.19 | Step Count: 50000 | Episode Q0:    47.30
Episode:  21/2000 | Episode reward:   967.82 | Episode steps: 2500 | Average reward:   914.82 | Step Count: 52500 | Episode Q0:    47.30
Episode:  22/2000 | Episode reward:   758.63 | Episode steps: 2500 | Average reward:   894.26 | Step Count: 55000 | Episode Q0:    47.30
Episode:  23/2000 | Episode reward:   923.41 | Episode steps: 2500 | Average reward:   894.61 | Step Count: 57500 | Episode Q0:    47.30
Episode:  24/2000 | Episode reward:   806.35 | Episode steps: 2500 | Average reward:   891.52 | Step Count: 60000 | Episode Q0:    47.30
Episode:  25/2000 | Episode reward:   945.81 | Episode steps: 2500 | Average reward:   888.78 | Step Count: 62500 | Episode Q0:    47.30
Episode:  26/2000 | Episode reward:   761.25 | Episode steps: 2500 | Average reward:   869.32 | Step Count: 65000 | Episode Q0:    47.30
Episode:  27/2000 | Episode reward:   761.23 | Episode steps: 2500 | Average reward:   867.78 | Step Count: 67500 | Episode Q0:    47.30
Episode:  28/2000 | Episode reward:   961.92 | Episode steps: 2500 | Average reward:   872.68 | Step Count: 70000 | Episode Q0:    47.30
Episode:  29/2000 | Episode reward:   921.46 | Episode steps: 2500 | Average reward:   874.32 | Step Count: 72500 | Episode Q0:    47.30
Episode:  30/2000 | Episode reward:   850.14 | Episode steps: 2500 | Average reward:   865.80 | Step Count: 75000 | Episode Q0:    47.30
Episode:  31/2000 | Episode reward:   774.72 | Episode steps: 2500 | Average reward:   846.49 | Step Count: 77500 | Episode Q0:    47.30
Episode:  32/2000 | Episode reward:   959.51 | Episode steps: 2500 | Average reward:   866.58 | Step Count: 80000 | Episode Q0:    47.30
Episode:  33/2000 | Episode reward:   912.84 | Episode steps: 2500 | Average reward:   865.52 | Step Count: 82500 | Episode Q0:    47.30
Episode:  34/2000 | Episode reward:   958.18 | Episode steps: 2500 | Average reward:   880.71 | Step Count: 85000 | Episode Q0:    47.30
Episode:  35/2000 | Episode reward:   947.13 | Episode steps: 2500 | Average reward:   880.84 | Step Count: 87500 | Episode Q0:    47.30
Episode:  36/2000 | Episode reward:   925.65 | Episode steps: 2500 | Average reward:   897.28 | Step Count: 90000 | Episode Q0:    47.30
Episode:  37/2000 | Episode reward:   812.59 | Episode steps: 2500 | Average reward:   902.41 | Step Count: 92500 | Episode Q0:    47.30
Episode:  38/2000 | Episode reward:   735.76 | Episode steps: 2500 | Average reward:   879.80 | Step Count: 95000 | Episode Q0:    47.30
Episode:  39/2000 | Episode reward:   930.86 | Episode steps: 2500 | Average reward:   880.74 | Step Count: 97500 | Episode Q0:    47.30
Episode:  40/2000 | Episode reward:   936.79 | Episode steps: 2500 | Average reward:   889.40 | Step Count: 100000 | Episode Q0:    47.30
Episode:  41/2000 | Episode reward:   907.84 | Episode steps: 2500 | Average reward:   902.72 | Step Count: 102500 | Episode Q0:    47.30
Episode:  42/2000 | Episode reward:   832.53 | Episode steps: 2500 | Average reward:   890.02 | Step Count: 105000 | Episode Q0:    47.30
Episode:  43/2000 | Episode reward:   923.82 | Episode steps: 2500 | Average reward:   891.11 | Step Count: 107500 | Episode Q0:    47.30
Episode:  44/2000 | Episode reward:   951.55 | Episode steps: 2500 | Average reward:   890.45 | Step Count: 110000 | Episode Q0:    47.30
Episode:  45/2000 | Episode reward:   955.48 | Episode steps: 2500 | Average reward:   891.29 | Step Count: 112500 | Episode Q0:    47.30
Episode:  46/2000 | Episode reward:   944.44 | Episode steps: 2500 | Average reward:   893.16 | Step Count: 115000 | Episode Q0:    47.78
Episode:  47/2000 | Episode reward:  1022.16 | Episode steps: 2500 | Average reward:   914.12 | Step Count: 117500 | Episode Q0:    47.78
Episode:  48/2000 | Episode reward:   993.26 | Episode steps: 2500 | Average reward:   939.87 | Step Count: 120000 | Episode Q0:    47.78
Episode:  49/2000 | Episode reward:  1026.27 | Episode steps: 2500 | Average reward:   949.41 | Step Count: 122500 | Episode Q0:    47.78
Episode:  50/2000 | Episode reward:   990.73 | Episode steps: 2500 | Average reward:   954.81 | Step Count: 125000 | Episode Q0:    47.78
Episode:  51/2000 | Episode reward:  1021.70 | Episode steps: 2500 | Average reward:   966.19 | Step Count: 127500 | Episode Q0:    47.78
Episode:  52/2000 | Episode reward:  1006.41 | Episode steps: 2500 | Average reward:   983.58 | Step Count: 130000 | Episode Q0:    47.78
Episode:  53/2000 | Episode reward:  1013.94 | Episode steps: 2500 | Average reward:   992.59 | Step Count: 132500 | Episode Q0:    47.78
Episode:  54/2000 | Episode reward:  1013.82 | Episode steps: 2500 | Average reward:   998.82 | Step Count: 135000 | Episode Q0:    47.78
Episode:  55/2000 | Episode reward:  1010.18 | Episode steps: 2500 | Average reward:  1004.29 | Step Count: 137500 | Episode Q0:    47.78
Episode:  56/2000 | Episode reward:   976.12 | Episode steps: 2500 | Average reward:  1007.46 | Step Count: 140000 | Episode Q0:    47.78
Episode:  57/2000 | Episode reward:  1026.51 | Episode steps: 2500 | Average reward:  1007.89 | Step Count: 142500 | Episode Q0:    47.78
Episode:  58/2000 | Episode reward:  1106.00 | Episode steps: 2500 | Average reward:  1019.17 | Step Count: 145000 | Episode Q0:    46.58
Episode:  59/2000 | Episode reward:  1207.62 | Episode steps: 2500 | Average reward:  1037.30 | Step Count: 147500 | Episode Q0:    46.58
Episode:  60/2000 | Episode reward:  1046.80 | Episode steps: 2500 | Average reward:  1042.91 | Step Count: 150000 | Episode Q0:    46.58
Episode:  61/2000 | Episode reward:  1191.83 | Episode steps: 2500 | Average reward:  1059.92 | Step Count: 152500 | Episode Q0:    46.58
Episode:  62/2000 | Episode reward:  1036.28 | Episode steps: 2500 | Average reward:  1062.91 | Step Count: 155000 | Episode Q0:    46.58
Episode:  63/2000 | Episode reward:  1045.40 | Episode steps: 2500 | Average reward:  1066.06 | Step Count: 157500 | Episode Q0:    46.58
Episode:  64/2000 | Episode reward:  1041.00 | Episode steps: 2500 | Average reward:  1068.78 | Step Count: 160000 | Episode Q0:    46.58
Episode:  65/2000 | Episode reward:   971.54 | Episode steps: 2500 | Average reward:  1064.91 | Step Count: 162500 | Episode Q0:    46.58
Episode:  66/2000 | Episode reward:   982.64 | Episode steps: 2500 | Average reward:  1065.56 | Step Count: 165000 | Episode Q0:    46.58
Episode:  67/2000 | Episode reward:  1090.70 | Episode steps: 2500 | Average reward:  1071.98 | Step Count: 167500 | Episode Q0:    46.58
Episode:  68/2000 | Episode reward:  1030.78 | Episode steps: 2500 | Average reward:  1064.46 | Step Count: 170000 | Episode Q0:    46.58
Episode:  69/2000 | Episode reward:  1219.11 | Episode steps: 2500 | Average reward:  1065.61 | Step Count: 172500 | Episode Q0:    46.58
Episode:  70/2000 | Episode reward:  1200.78 | Episode steps: 2500 | Average reward:  1081.01 | Step Count: 175000 | Episode Q0:    46.58
Episode:  71/2000 | Episode reward:  1210.03 | Episode steps: 2500 | Average reward:  1082.83 | Step Count: 177500 | Episode Q0:    46.58
Episode:  72/2000 | Episode reward:  1200.58 | Episode steps: 2500 | Average reward:  1099.26 | Step Count: 180000 | Episode Q0:    46.58
Episode:  73/2000 | Episode reward:  1101.84 | Episode steps: 2500 | Average reward:  1104.90 | Step Count: 182500 | Episode Q0:    46.58
Episode:  74/2000 | Episode reward:  1185.23 | Episode steps: 2500 | Average reward:  1119.32 | Step Count: 185000 | Episode Q0:    46.58
Episode:  75/2000 | Episode reward:  1145.98 | Episode steps: 2500 | Average reward:  1136.77 | Step Count: 187500 | Episode Q0:    46.58
Episode:  76/2000 | Episode reward:  1166.11 | Episode steps: 2500 | Average reward:  1155.11 | Step Count: 190000 | Episode Q0:    46.58
Episode:  77/2000 | Episode reward:  1217.54 | Episode steps: 2500 | Average reward:  1167.80 | Step Count: 192500 | Episode Q0:    46.58
Episode:  78/2000 | Episode reward:  1125.53 | Episode steps: 2500 | Average reward:  1177.27 | Step Count: 195000 | Episode Q0:    46.58
Episode:  79/2000 | Episode reward:  1166.02 | Episode steps: 2500 | Average reward:  1171.96 | Step Count: 197500 | Episode Q0:    46.58
Episode:  80/2000 | Episode reward:   797.33 | Episode steps: 2500 | Average reward:  1131.62 | Step Count: 200000 | Episode Q0:    46.58
Episode:  81/2000 | Episode reward:  1134.54 | Episode steps: 2500 | Average reward:  1124.07 | Step Count: 202500 | Episode Q0:    46.58
Episode:  82/2000 | Episode reward:  1214.00 | Episode steps: 2500 | Average reward:  1125.41 | Step Count: 205000 | Episode Q0:    46.58
Episode:  83/2000 | Episode reward:  1207.26 | Episode steps: 2500 | Average reward:  1135.95 | Step Count: 207500 | Episode Q0:    46.58
Episode:  84/2000 | Episode reward:  1175.96 | Episode steps: 2500 | Average reward:  1135.03 | Step Count: 210000 | Episode Q0:    46.58
Episode:  85/2000 | Episode reward:  1191.01 | Episode steps: 2500 | Average reward:  1139.53 | Step Count: 212500 | Episode Q0:    46.58
Episode:  86/2000 | Episode reward:  1086.95 | Episode steps: 2500 | Average reward:  1131.61 | Step Count: 215000 | Episode Q0:    46.58
Episode:  87/2000 | Episode reward:  1203.62 | Episode steps: 2500 | Average reward:  1130.22 | Step Count: 217500 | Episode Q0:    46.58
Episode:  88/2000 | Episode reward:  1203.16 | Episode steps: 2500 | Average reward:  1137.99 | Step Count: 220000 | Episode Q0:    46.58
Episode:  89/2000 | Episode reward:  1090.54 | Episode steps: 2500 | Average reward:  1130.44 | Step Count: 222500 | Episode Q0:    46.58
Episode:  90/2000 | Episode reward:    -4.95 | Episode steps:  307 | Average reward:  1050.21 | Step Count: 222807 | Episode Q0:    43.62
Episode:  91/2000 | Episode reward:    99.91 | Episode steps:  546 | Average reward:   946.75 | Step Count: 223353 | Episode Q0:    43.62
Episode:  92/2000 | Episode reward:   161.02 | Episode steps:  995 | Average reward:   841.45 | Step Count: 224348 | Episode Q0:    43.62
Episode:  93/2000 | Episode reward:    95.92 | Episode steps:  723 | Average reward:   730.31 | Step Count: 225071 | Episode Q0:    43.62
Episode:  94/2000 | Episode reward:   220.53 | Episode steps:  837 | Average reward:   634.77 | Step Count: 225908 | Episode Q0:    43.62
Episode:  95/2000 | Episode reward:    93.58 | Episode steps:  536 | Average reward:   525.03 | Step Count: 226444 | Episode Q0:    43.62
Episode:  96/2000 | Episode reward:   -67.95 | Episode steps:  276 | Average reward:   409.54 | Step Count: 226720 | Episode Q0:    43.62
Episode:  97/2000 | Episode reward:   122.74 | Episode steps:  572 | Average reward:   301.45 | Step Count: 227292 | Episode Q0:    43.62
Episode:  98/2000 | Episode reward:    15.99 | Episode steps:  335 | Average reward:   182.73 | Step Count: 227627 | Episode Q0:    43.62
Episode:  99/2000 | Episode reward:   -31.34 | Episode steps:  288 | Average reward:    70.54 | Step Count: 227915 | Episode Q0:    43.62
Episode: 100/2000 | Episode reward:   119.32 | Episode steps:  531 | Average reward:    82.97 | Step Count: 228446 | Episode Q0:    43.62
Episode: 101/2000 | Episode reward:   -61.42 | Episode steps:  274 | Average reward:    66.84 | Step Count: 228720 | Episode Q0:    43.62
Episode: 102/2000 | Episode reward:   114.63 | Episode steps:  252 | Average reward:    62.20 | Step Count: 228972 | Episode Q0:    43.62
Episode: 103/2000 | Episode reward:   250.06 | Episode steps:  357 | Average reward:    77.61 | Step Count: 229329 | Episode Q0:    43.62
Episode: 104/2000 | Episode reward:    15.27 | Episode steps:  121 | Average reward:    57.09 | Step Count: 229450 | Episode Q0:    43.62
Episode: 105/2000 | Episode reward:   -19.44 | Episode steps:  159 | Average reward:    45.79 | Step Count: 229609 | Episode Q0:    43.62
Episode: 106/2000 | Episode reward:   117.49 | Episode steps:  337 | Average reward:    64.33 | Step Count: 229946 | Episode Q0:    43.62
Episode: 107/2000 | Episode reward:   116.61 | Episode steps:  377 | Average reward:    63.72 | Step Count: 230323 | Episode Q0:    43.62
Episode: 108/2000 | Episode reward:    31.56 | Episode steps:  123 | Average reward:    65.27 | Step Count: 230446 | Episode Q0:    43.62
Episode: 109/2000 | Episode reward:    20.58 | Episode steps:  105 | Average reward:    70.46 | Step Count: 230551 | Episode Q0:    43.62
Episode: 110/2000 | Episode reward:    23.29 | Episode steps:  122 | Average reward:    60.86 | Step Count: 230673 | Episode Q0:    43.62
Episode: 111/2000 | Episode reward:    29.06 | Episode steps:  123 | Average reward:    69.91 | Step Count: 230796 | Episode Q0:    43.62
Episode: 112/2000 | Episode reward:    95.44 | Episode steps:  332 | Average reward:    67.99 | Step Count: 231128 | Episode Q0:    43.62
Episode: 113/2000 | Episode reward:    13.46 | Episode steps:  112 | Average reward:    44.33 | Step Count: 231240 | Episode Q0:    43.62
Episode: 114/2000 | Episode reward:   -11.58 | Episode steps:  149 | Average reward:    41.65 | Step Count: 231389 | Episode Q0:    43.62
Episode: 115/2000 | Episode reward:    28.08 | Episode steps:  131 | Average reward:    46.40 | Step Count: 231520 | Episode Q0:    43.62
Episode: 116/2000 | Episode reward:    31.15 | Episode steps:  167 | Average reward:    37.77 | Step Count: 231687 | Episode Q0:    43.62
Episode: 117/2000 | Episode reward:    26.35 | Episode steps:  116 | Average reward:    28.74 | Step Count: 231803 | Episode Q0:    43.62
Episode: 118/2000 | Episode reward:    61.31 | Episode steps:  204 | Average reward:    31.71 | Step Count: 232007 | Episode Q0:    43.62
Episode: 119/2000 | Episode reward:   110.03 | Episode steps:  366 | Average reward:    40.66 | Step Count: 232373 | Episode Q0:    43.62
Episode: 120/2000 | Episode reward:   115.44 | Episode steps:  316 | Average reward:    49.87 | Step Count: 232689 | Episode Q0:    43.62
Episode: 121/2000 | Episode reward:   177.37 | Episode steps:  436 | Average reward:    64.71 | Step Count: 233125 | Episode Q0:    43.62
Episode: 122/2000 | Episode reward:    31.82 | Episode steps:  122 | Average reward:    58.34 | Step Count: 233247 | Episode Q0:    43.62
Episode: 123/2000 | Episode reward:     8.01 | Episode steps:  153 | Average reward:    57.80 | Step Count: 233400 | Episode Q0:    43.62
Episode: 124/2000 | Episode reward:    29.33 | Episode steps:  133 | Average reward:    61.89 | Step Count: 233533 | Episode Q0:    43.62
Episode: 125/2000 | Episode reward:    23.01 | Episode steps:  105 | Average reward:    61.38 | Step Count: 233638 | Episode Q0:    43.62
Episode: 126/2000 | Episode reward:    24.56 | Episode steps:  135 | Average reward:    60.72 | Step Count: 233773 | Episode Q0:    43.62
Episode: 127/2000 | Episode reward:    88.52 | Episode steps:  338 | Average reward:    66.94 | Step Count: 234111 | Episode Q0:    42.06
Episode: 128/2000 | Episode reward:    22.14 | Episode steps:  121 | Average reward:    63.02 | Step Count: 234232 | Episode Q0:    42.06
Episode: 129/2000 | Episode reward:   110.53 | Episode steps:  309 | Average reward:    63.07 | Step Count: 234541 | Episode Q0:    42.06
Episode: 130/2000 | Episode reward:    82.52 | Episode steps:  328 | Average reward:    59.78 | Step Count: 234869 | Episode Q0:    42.06
Episode: 131/2000 | Episode reward:    -5.85 | Episode steps:  170 | Average reward:    41.46 | Step Count: 235039 | Episode Q0:    42.06
Episode: 132/2000 | Episode reward:    30.60 | Episode steps:  173 | Average reward:    41.34 | Step Count: 235212 | Episode Q0:    42.06
Episode: 133/2000 | Episode reward:    13.32 | Episode steps:  135 | Average reward:    41.87 | Step Count: 235347 | Episode Q0:    42.06
Episode: 134/2000 | Episode reward:    12.74 | Episode steps:  120 | Average reward:    40.21 | Step Count: 235467 | Episode Q0:    42.06
Episode: 135/2000 | Episode reward:   112.85 | Episode steps:  297 | Average reward:    49.19 | Step Count: 235764 | Episode Q0:    42.06
Episode: 136/2000 | Episode reward:   -26.09 | Episode steps:  184 | Average reward:    44.13 | Step Count: 235948 | Episode Q0:    42.06
Episode: 137/2000 | Episode reward:   106.70 | Episode steps:  300 | Average reward:    45.94 | Step Count: 236248 | Episode Q0:    42.06
Episode: 138/2000 | Episode reward:   100.16 | Episode steps:  269 | Average reward:    53.75 | Step Count: 236517 | Episode Q0:    42.06
Episode: 139/2000 | Episode reward:   118.48 | Episode steps:  304 | Average reward:    54.54 | Step Count: 236821 | Episode Q0:    42.06
Episode: 140/2000 | Episode reward:   127.51 | Episode steps:  266 | Average reward:    59.04 | Step Count: 237087 | Episode Q0:    42.06
Episode: 141/2000 | Episode reward:    13.28 | Episode steps:  201 | Average reward:    60.95 | Step Count: 237288 | Episode Q0:    42.06
Episode: 142/2000 | Episode reward:    79.61 | Episode steps:  209 | Average reward:    65.86 | Step Count: 237497 | Episode Q0:    42.06
Episode: 143/2000 | Episode reward:    31.38 | Episode steps:  144 | Average reward:    67.66 | Step Count: 237641 | Episode Q0:    42.06
Episode: 144/2000 | Episode reward:    50.77 | Episode steps:  187 | Average reward:    71.46 | Step Count: 237828 | Episode Q0:    42.06
Episode: 145/2000 | Episode reward:   100.55 | Episode steps:  295 | Average reward:    70.23 | Step Count: 238123 | Episode Q0:    42.06
Episode: 146/2000 | Episode reward:    52.75 | Episode steps:  188 | Average reward:    78.12 | Step Count: 238311 | Episode Q0:    42.06
Episode: 147/2000 | Episode reward:    24.06 | Episode steps:  124 | Average reward:    69.85 | Step Count: 238435 | Episode Q0:    42.06
Episode: 148/2000 | Episode reward:    72.33 | Episode steps:  228 | Average reward:    67.07 | Step Count: 238663 | Episode Q0:    42.06
Episode: 149/2000 | Episode reward:     8.68 | Episode steps:  121 | Average reward:    56.09 | Step Count: 238784 | Episode Q0:    42.06
Episode: 150/2000 | Episode reward:   116.78 | Episode steps:  314 | Average reward:    55.02 | Step Count: 239098 | Episode Q0:    42.06
Episode: 151/2000 | Episode reward:   122.74 | Episode steps:  308 | Average reward:    65.96 | Step Count: 239406 | Episode Q0:    42.06
Episode: 152/2000 | Episode reward:    14.02 | Episode steps:  219 | Average reward:    59.40 | Step Count: 239625 | Episode Q0:    42.06
Episode: 153/2000 | Episode reward:    34.08 | Episode steps:  161 | Average reward:    59.68 | Step Count: 239786 | Episode Q0:    42.06
Episode: 154/2000 | Episode reward:    41.29 | Episode steps:  195 | Average reward:    58.73 | Step Count: 239981 | Episode Q0:    42.06
Episode: 155/2000 | Episode reward:    35.01 | Episode steps:  184 | Average reward:    52.17 | Step Count: 240165 | Episode Q0:    42.06
Episode: 156/2000 | Episode reward:    25.13 | Episode steps:  178 | Average reward:    49.41 | Step Count: 240343 | Episode Q0:    42.06
Episode: 157/2000 | Episode reward:    22.97 | Episode steps:  133 | Average reward:    49.30 | Step Count: 240476 | Episode Q0:    42.06
Episode: 158/2000 | Episode reward:    32.40 | Episode steps:  123 | Average reward:    45.31 | Step Count: 240599 | Episode Q0:    42.06
