Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,889.1,2500,889.1,2500,49.1
2,911.87,2500,900.49,5000,48.86
3,764.6,2500,855.19,7500,48.86
4,844.76,2500,852.58,10000,48.86
5,931.58,2500,868.38,12500,48.86
6,962.85,2500,884.13,15000,48.86
7,769.84,2500,867.8,17500,48.86
8,887.12,2500,870.22,20000,48.86
9,942.39,2500,878.24,22500,48.86
10,957.94,2500,886.21,25000,48.86
11,961.47,2500,893.44,27500,48.86
12,964.25,2500,898.68,30000,48.86
13,919.95,2500,914.22,32500,48.86
14,837.29,2500,913.47,35000,47.3
15,973.2,2500,917.63,37500,47.3
16,955.83,2500,916.93,40000,47.3
17,776.61,2500,917.61,42500,47.3
18,912.89,2500,920.18,45000,47.3
19,905.11,2500,916.45,47500,47.3
20,935.29,2500,914.19,50000,47.3
21,967.82,2500,914.82,52500,47.3
22,758.63,2500,894.26,55000,47.3
23,923.41,2500,894.61,57500,47.3
24,806.35,2500,891.52,60000,47.3
25,945.81,2500,888.78,62500,47.3
26,761.25,2500,869.32,65000,47.3
27,761.23,2500,867.78,67500,47.3
28,961.92,2500,872.68,70000,47.3
29,921.46,2500,874.32,72500,47.3
30,850.14,2500,865.8,75000,47.3
31,774.72,2500,846.49,77500,47.3
32,959.51,2500,866.58,80000,47.3
33,912.84,2500,865.52,82500,47.3
34,958.18,2500,880.71,85000,47.3
35,947.13,2500,880.84,87500,47.3
36,925.65,2500,897.28,90000,47.3
37,812.59,2500,902.41,92500,47.3
38,735.76,2500,879.8,95000,47.3
39,930.86,2500,880.74,97500,47.3
40,936.79,2500,889.4,100000,47.3
41,907.84,2500,902.72,102500,47.3
42,832.53,2500,890.02,105000,47.3
43,923.82,2500,891.11,107500,47.3
44,951.55,2500,890.45,110000,47.3
45,955.48,2500,891.29,112500,47.3
46,944.44,2500,893.16,115000,47.78
47,1022.16,2500,914.12,117500,47.78
48,993.26,2500,939.87,120000,47.78
49,1026.27,2500,949.41,122500,47.78
50,990.73,2500,954.81,125000,47.78
51,1021.7,2500,966.19,127500,47.78
52,1006.41,2500,983.58,130000,47.78
53,1013.94,2500,992.59,132500,47.78
54,1013.82,2500,998.82,135000,47.78
55,1010.18,2500,1004.29,137500,47.78
56,976.12,2500,1007.46,140000,47.78
57,1026.51,2500,1007.89,142500,47.78
58,1106,2500,1019.17,145000,46.58
59,1207.62,2500,1037.3,147500,46.58
60,1046.8,2500,1042.91,150000,46.58
61,1191.83,2500,1059.92,152500,46.58
62,1036.28,2500,1062.91,155000,46.58
63,1045.4,2500,1066.06,157500,46.58
64,1041,2500,1068.78,160000,46.58
65,971.54,2500,1064.91,162500,46.58
66,982.64,2500,1065.56,165000,46.58
67,1090.7,2500,1071.98,167500,46.58
68,1030.78,2500,1064.46,170000,46.58
69,1219.11,2500,1065.61,172500,46.58
70,1200.78,2500,1081.01,175000,46.58
71,1210.03,2500,1082.83,177500,46.58
72,1200.58,2500,1099.26,180000,46.58
73,1101.84,2500,1104.9,182500,46.58
74,1185.23,2500,1119.32,185000,46.58
75,1145.98,2500,1136.77,187500,46.58
76,1166.11,2500,1155.11,190000,46.58
77,1217.54,2500,1167.8,192500,46.58
78,1125.53,2500,1177.27,195000,46.58
79,1166.02,2500,1171.96,197500,46.58
80,797.33,2500,1131.62,200000,46.58
81,1134.54,2500,1124.07,202500,46.58
82,1214,2500,1125.41,205000,46.58
83,1207.26,2500,1135.95,207500,46.58
84,1175.96,2500,1135.03,210000,46.58
85,1191.01,2500,1139.53,212500,46.58
86,1086.95,2500,1131.61,215000,46.58
87,1203.62,2500,1130.22,217500,46.58
88,1203.16,2500,1137.99,220000,46.58
89,1090.54,2500,1130.44,222500,46.58
90,-4.95,307,1050.21,222807,43.62
91,99.91,546,946.75,223353,43.62
92,161.02,995,841.45,224348,43.62
93,95.92,723,730.31,225071,43.62
94,220.53,837,634.77,225908,43.62
95,93.58,536,525.03,226444,43.62
96,-67.95,276,409.54,226720,43.62
97,122.74,572,301.45,227292,43.62
98,15.99,335,182.73,227627,43.62
99,-31.34,288,70.54,227915,43.62
100,119.32,531,82.97,228446,43.62
101,-61.42,274,66.84,228720,43.62
102,114.63,252,62.2,228972,43.62
103,250.06,357,77.61,229329,43.62
104,15.27,121,57.09,229450,43.62
105,-19.44,159,45.79,229609,43.62
106,117.49,337,64.33,229946,43.62
107,116.61,377,63.72,230323,43.62
108,31.56,123,65.27,230446,43.62
109,20.58,105,70.46,230551,43.62
110,23.29,122,60.86,230673,43.62
111,29.06,123,69.91,230796,43.62
112,95.44,332,67.99,231128,43.62
113,13.46,112,44.33,231240,43.62
114,-11.58,149,41.65,231389,43.62
115,28.08,131,46.4,231520,43.62
116,31.15,167,37.77,231687,43.62
117,26.35,116,28.74,231803,43.62
118,61.31,204,31.71,232007,43.62
119,110.03,366,40.66,232373,43.62
120,115.44,316,49.87,232689,43.62
121,177.37,436,64.71,233125,43.62
122,31.82,122,58.34,233247,43.62
123,8.01,153,57.8,233400,43.62
124,29.33,133,61.89,233533,43.62
125,23.01,105,61.38,233638,43.62
126,24.56,135,60.72,233773,43.62
127,88.52,338,66.94,234111,42.06
128,22.14,121,63.02,234232,42.06
129,110.53,309,63.07,234541,42.06
130,82.52,328,59.78,234869,42.06
131,-5.85,170,41.46,235039,42.06
132,30.6,173,41.34,235212,42.06
133,13.32,135,41.87,235347,42.06
134,12.74,120,40.21,235467,42.06
135,112.85,297,49.19,235764,42.06
136,-26.09,184,44.13,235948,42.06
137,106.7,300,45.94,236248,42.06
138,100.16,269,53.75,236517,42.06
139,118.48,304,54.54,236821,42.06
140,127.51,266,59.04,237087,42.06
141,13.28,201,60.95,237288,42.06
142,79.61,209,65.86,237497,42.06
143,31.38,144,67.66,237641,42.06
144,50.77,187,71.46,237828,42.06
145,100.55,295,70.23,238123,42.06
146,52.75,188,78.12,238311,42.06
