Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-44.1696329906672,19,-44.1696329906672,19,-0.0535470582544804
2,-46.4023202818866,25,-45.2859766362769,44,-0.0517202913761139
3,-42.9118676361897,19,-44.4946069695811,63,-0.0496930181980133
4,-34.7718691871892,11,-42.0639225239831,74,-0.0507081523537636
5,-47.3347251496389,25,-43.1180830491143,99,-0.0407482832670212
6,-39.665673462938,16,-42.5426814514183,115,-0.0438439957797527
7,-40.5316510569087,16,-42.2553913950597,131,-0.0507690384984016
8,-53.2460748531264,28,-43.6292268273181,159,-0.0526396594941616
9,-51.8026302375626,27,-44.5373827617897,186,-0.0551271140575409
10,-38.5778070124252,15,-43.9414251868532,201,-0.0472435094416142
11,-77.1287800886102,60,-46.9584574506493,261,-0.0546615719795227
12,-39.7048273747521,16,-46.3539882776579,277,-0.0533373020589352
13,-44.0679128233845,19,-46.1781363196369,296,-0.0496241599321365
14,-51.5472815313911,27,-46.561646691905,323,-0.0503770932555199
15,-43.0365676342616,19,-46.3266414213955,342,-0.0517327822744846
16,-41.9456420038085,18,-46.0528289577963,360,-0.0542741492390633
17,-45.4356992093301,23,-46.0165272078865,383,-0.0452477484941483
18,-59.7867518544896,34,-46.7815396882533,417,-0.0475845187902451
19,-44.0457111135748,19,-46.6375487106387,436,-0.0486970879137516
20,-37.9520689845032,14,-46.2032747243319,450,-0.04596908390522
21,-43.5954504538339,19,-46.1745655974902,469,-0.0461511239409447
22,-49.604620692769,26,-46.3346806180344,495,-0.0397670269012451
23,-46.595445428524,22,-46.5188595076511,517,-0.0493721514940262
24,-36.2933165290954,13,-46.5949318747464,530,-0.0419422164559364
25,-76.6329844047179,93,-48.0598448375003,623,-0.0519983544945717
26,-36.0835041578136,14,-47.8807363722441,637,-0.041505254805088
27,-36.5722011039778,13,-47.6827638745976,650,-0.0501164644956589
28,-37.2374812935263,13,-46.8823341966176,663,-0.0480281636118889
29,-46.49455557572,23,-46.6169304635254,686,-0.0463538430631161
30,-56.7841247919037,36,-47.5272463524994,722,-0.0459986701607704
31,-39.9273050741837,16,-45.667172601778,738,-0.0499069094657898
32,-56.9817667003664,33,-46.5310195680587,771,-0.0409959778189659
33,-70.6064401571698,44,-47.857945934748,815,-0.0490338020026684
34,-41.3206060282897,17,-47.3466121595929,832,-0.0517321974039078
35,-39.4636834607118,18,-47.1679679509155,850,-0.0426890775561333
36,-36.3264510915544,14,-46.8870084053028,864,-0.0429831594228745
37,-37.7597997259749,13,-46.503213431135,877,-0.0553481951355934
38,-38.3831158527662,15,-45.4330316310488,892,-0.0456660278141499
39,-43.6048085131168,19,-45.4109865010259,911,-0.0512449070811272
40,-66.073927236529,38,-46.8170794136272,949,-0.0529629029333591
41,-52.9318153247076,27,-47.2838976571709,976,-0.0446055009961128
42,-42.5332092353017,18,-46.9303270842975,994,-0.0504037737846375
43,-37.4020306747835,13,-46.4706563466105,1007,-0.0509184561669827
44,-39.5104296447379,16,-46.6315120023926,1023,-0.175634279847145
45,-45.5537939421402,22,-45.0775524792638,1045,-0.474141061306
46,-49.727616376234,28,-45.7597580901848,1073,-1.06360387802124
47,-43.0749142852904,19,-46.0848937492504,1092,-1.76241374015808
48,-46.5075260067214,22,-46.5483959849102,1114,-2.23396444320679
49,-40.3794255960275,16,-46.2426394859255,1130,-2.14690446853638
50,-42.5167545750959,17,-45.5292709750851,1147,-1.77914535999298
51,-38.8188406927565,68,-45.4738477560138,1215,-1.21459627151489
52,-110.694807379624,91,-48.1594997899767,1306,-0.832680583000183
53,-48.6405448727077,25,-47.0612050257536,1331,-0.652723431587219
54,-133.331450694521,109,-51.6617472590651,1440,-0.653948128223419
55,-84.759964166473,56,-53.9265612943532,1496,-0.631800532341003
56,-84.3435782170207,69,-56.3274176506265,1565,-0.704730153083801
57,-106.403423265553,102,-59.7595988276054,1667,-0.764030814170837
58,-56.18096283099,45,-60.6494911765166,1712,-0.86437726020813
59,-53.6498360787593,27,-61.1517425547987,1739,-1.02369976043701
60,-45.3818255799163,20,-60.1171374719681,1759,-0.999415397644043
61,-39.8772812435328,17,-59.4644107679093,1776,-0.934059619903564
62,-43.6746447413769,19,-59.5214825432131,1795,-1.06312835216522
63,-81.7018327265463,54,-61.7364726458012,1849,-1.17207026481628
64,-40.6410226412109,16,-61.7930022956249,1865,-1.25068640708923
65,-38.7977383682229,16,-61.455199516929,1881,-1.36575651168823
