Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-114.91280003036,15,-114.91280003036,15,-0.0435718819499016
2,-119.224017534177,19,-117.068408782269,34,-0.0477113910019398
3,-113.393298075518,15,-115.843371880019,49,-0.048772294074297
4,-110.288680737756,12,-114.454699094453,61,-0.0482451245188713
5,-110.467407529373,11,-113.657240781437,72,-0.0428354740142822
6,-112.726621564021,14,-113.502137578534,86,-0.0529806911945343
7,-117.520591533857,19,-114.076202429295,105,-0.0545610003173351
8,-110.564915359829,11,-113.637291545611,116,-0.0480471141636372
9,-109.522251957485,12,-113.180064924709,128,-0.0518009550869465
10,-119.195065574328,20,-113.781564989671,148,-0.0523210354149342
11,-118.124816937352,18,-114.176406075823,166,-0.0472491830587387
12,-110.215174398853,11,-113.846303436076,177,-0.049484770745039
13,-110.774683103676,12,-113.610024948968,189,-0.050194788724184
14,-120.831518181407,23,-114.125845894142,212,-0.0420575961470604
15,-133.233054951973,33,-115.399659831331,245,-0.0512930043041706
16,-110.493448015314,11,-115.09302159283,256,-0.0429646633565426
17,-109.84050340121,11,-114.7840499345,267,-0.0525947846472263
18,-117.65956301407,18,-114.943800661142,285,-0.0445010662078857
19,-113.48329821385,14,-114.866932111285,299,-0.0501607023179531
20,-118.432651890517,18,-115.045218100246,317,-0.0436889976263046
21,-109.953589173883,11,-114.797257557423,328,-0.0460015349090099
22,-113.251353993515,15,-114.498624380389,343,-0.0490512773394585
23,-112.465688889265,14,-114.452243921077,357,-0.0504157952964306
24,-120.292614405937,20,-114.952440604486,377,-0.0454257130622864
25,-110.541461490398,13,-114.956143302537,390,-0.0578092895448208
26,-115.359439277054,16,-115.087784188189,406,-0.0526109673082829
27,-111.291958367414,12,-114.776352529867,418,-0.0441398769617081
28,-119.312861990101,19,-115.21374986138,437,-0.0474199131131172
29,-124.917608084262,28,-115.983517667719,465,-0.0402831099927425
30,-121.065272330053,22,-116.077028005505,487,-0.0423155874013901
31,-111.841217422559,12,-115.762848029766,499,-0.0439766049385071
32,-113.729125204909,15,-115.938545570068,514,-0.0476911775767803
33,-122.012537970077,22,-116.500438313388,536,-0.0551386401057243
34,-114.496925820259,16,-116.183708695331,552,-0.0544353276491165
35,-115.091709061275,15,-115.276641400796,567,-0.0427257344126701
36,-114.661940521964,15,-115.485066026129,582,-0.0476604662835598
37,-113.540883445575,14,-115.670085028347,596,-0.047936525195837
38,-112.526543608702,13,-115.413434058078,609,-0.0490827485918999
39,-110.471242260588,11,-115.262831260415,620,-0.046408724039793
40,-119.055630013498,20,-115.293980166564,640,-0.0524148792028427
41,-129.018943247316,31,-116.247247870236,671,-0.0458647646009922
42,-112.326239622437,14,-116.200992151682,685,-0.0564087778329849
43,-114.262494646549,15,-116.290832439546,700,-0.0467013455927372
44,-123.407534918932,39,-116.446578465196,739,-0.0518582165241241
45,-123.240448151729,25,-117.081527798263,764,-0.0473090521991253
46,-109.145792556983,11,-116.770845462259,775,-0.0490220040082932
47,-112.235536987161,13,-116.818024393246,788,-0.0418228805065155
48,-109.325734640751,12,-116.318668025779,800,-0.0537670664489269
49,-112.427336715291,14,-115.69415445733,814,-0.0472411029040813
50,-111.040600969303,11,-115.192920889293,825,-0.0450559929013252
51,-113.269159055193,14,-115.264317970925,839,-0.0508772246539593
52,-111.079770088219,12,-115.13185021509,851,-0.053563266992569
53,-109.038880906885,10,-114.48316736193,861,-0.049680408090353
54,-112.55994224614,14,-114.386318183225,875,-0.0488908179104328
55,-123.048185693667,25,-114.784142014844,900,-0.0489139296114445
56,-120.890012794986,23,-115.095545628495,923,-0.0544230677187443
57,-111.57648293452,13,-114.997325602942,936,-0.0540006868541241
58,-111.355977016158,12,-114.938797273315,948,-0.0459593310952187
59,-119.37968809376,21,-115.384219564974,969,-0.0475403442978859
60,-117.603658497356,19,-115.311620989167,988,-0.0559389553964138
61,-113.976926779014,15,-114.559520165752,1003,-0.0475554242730141
62,-110.885906410941,12,-114.487503505177,1015,-0.544617056846619
63,-109.625430547947,10,-114.255650300247,1025,-1.72938466072083
64,-118.913223441215,20,-114.030934726361,1045,-3.94154691696167
65,-121.300800396106,25,-113.93395233858,1070,-5.50324010848999
66,-125.881918606022,29,-114.770758641032,1099,-4.09908533096313
67,-112.918921376127,14,-114.80492786048,1113,-2.58636212348938
68,-103.24395814797,3,-114.500839035841,1116,-1.53157925605774
69,-108.999395145961,10,-114.329441957375,1126,-1.07694029808044
70,-111.781818105362,13,-114.366502814177,1139,-0.756425976753235
71,-111.064006593716,12,-114.256245191104,1151,-1.00715446472168
72,-109.805220660336,10,-114.19251771971,1161,-1.17428600788116
73,-105.354052658822,5,-114.008276307306,1166,-1.22481346130371
74,-104.276740854871,4,-113.594116237743,1170,-1.56987142562866
