Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,-109.272896189352,9,-109.272896189352,9,0.0871306955814362
2,-111.082914067436,12,-110.177905128394,21,0.085229367017746
3,-117.232142066124,17,-112.529317440971,38,0.105745255947113
4,-114.020031004256,15,-112.901995831792,53,0.101786464452744
5,-109.12567078187,10,-112.146730821808,63,0.0815990194678307
6,-111.728689624665,12,-112.077057288951,75,0.0859219208359718
7,-108.484618563907,9,-111.563851756802,84,0.0835830271244049
8,-109.939624948544,11,-111.360823405769,95,0.0900850594043732
9,-116.809704949475,18,-111.966254688403,113,0.106578826904297
10,-112.267173904647,13,-111.996346610028,126,0.101194337010384
11,-113.132104367317,14,-112.099597315236,140,0.0962943807244301
12,-111.545077311046,12,-112.053387314887,152,0.0968270599842072
13,-113.891266778539,15,-112.194762658245,167,0.0897275283932686
14,-114.737272457762,16,-112.376370501067,183,0.094135157763958
15,-116.607283121299,17,-112.658431342416,200,0.0995431691408157
16,-110.42171945738,11,-112.518636849601,211,0.0819137543439865
17,-116.562294139166,17,-112.756499043105,228,0.0978670120239258
18,-113.655497138515,15,-112.806443381739,243,0.0961144268512726
19,-113.041253822834,13,-112.818801826007,256,0.102312445640564
20,-108.83266308721,9,-112.619494889067,265,0.104511201381683
21,-112.594965934199,14,-112.78559837631,279,0.0834873393177986
22,-111.083488797211,11,-112.785627112798,290,0.101059958338737
23,-109.162224326527,9,-112.382131225818,299,0.0978079363703728
24,-110.16032924637,11,-112.189146137924,310,0.101350516080856
25,-111.174819250536,12,-112.291603561357,322,0.107573002576828
26,-110.435145377219,11,-112.226926348985,333,0.0781127363443375
27,-111.367435599854,12,-112.371067200782,345,0.105215787887573
28,-115.196764080741,16,-112.633924157392,361,0.0888018012046814
29,-110.260237391478,11,-112.306450779492,372,0.0884560346603394
30,-111.06645982437,12,-112.246415075479,384,0.0901671871542931
31,-113.070003122704,13,-112.243310013248,397,0.0968990325927734
32,-113.859652527673,14,-112.359038774079,411,0.101462244987488
33,-110.771785656326,11,-112.203064717969,422,0.0849202498793602
34,-108.483833915375,9,-111.890392790849,431,0.0881465375423431
35,-111.313552239908,12,-111.62570624678,443,0.0912794321775436
36,-109.269511359512,10,-111.568095841886,453,0.0921455323696136
37,-109.050004966429,10,-111.192481383249,463,0.0835081115365028
38,-124.015098031813,26,-111.710461427914,489,0.0965755060315132
39,-109.510122315447,10,-111.533904852545,499,0.0815621763467789
40,-110.837502210663,11,-111.634146808718,510,0.105046287178993
41,-114.847577896932,15,-111.746777406854,525,0.111052110791206
42,-112.585910342133,13,-111.8218984841,538,0.103106588125229
43,-109.831935853376,10,-111.855384060443,548,0.102509081363678
44,-111.397624244117,12,-111.91724881033,560,0.0925735980272293
45,-115.934345839505,17,-112.155225139779,577,0.0901899188756943
46,-113.884136498158,14,-112.327674695826,591,0.111241370439529
47,-119.113960329502,19,-112.715000932308,610,0.0755437389016151
48,-111.585623426211,12,-112.534443899582,622,0.10097374022007
49,-111.596223816229,12,-112.601243220819,634,0.0888792052865028
50,-110.935302237038,11,-112.594685341453,645,0.108234487473965
51,-111.40397418456,12,-112.511383894545,657,0.0910576805472374
52,-110.308537653184,11,-112.333828150821,668,0.0886770859360695
53,-114.154020140804,15,-112.502939875045,683,0.107044085860252
54,-111.665559862587,12,-112.662026172405,695,0.0981575846672058
55,-111.26036363142,12,-112.659366741981,707,0.0868314653635025
56,-105.30013690555,5,-112.460898019283,712,0.0952885299921036
57,-108.028122974029,8,-112.409803919663,720,0.0894290506839752
58,-109.382478360724,10,-111.678172936108,730,0.0782650783658028
59,-112.721559945399,13,-111.838744817606,743,0.104007832705975
60,-106.273360984768,6,-111.610537756311,749,0.083410918712616
61,-108.990594129317,10,-111.31768856793,759,0.0943572223186493
62,-111.244969501423,12,-111.250641525895,771,0.0982386618852615
63,-111.036649595234,12,-111.310877212988,783,0.101682022213936
64,-108.216269242916,9,-111.151809462928,792,0.0880793929100037
65,-113.376565748796,14,-111.023920458392,806,0.101863600313663
66,-109.374492178433,10,-110.798438242406,816,0.111871004104614
67,-105.298227930904,5,-110.107651622476,821,0.0871950089931488
68,-111.094616740528,12,-110.083101288192,833,0.0925091207027435
69,-109.475566713663,10,-109.977068433064,843,0.0924172475934029
70,-112.708499584698,14,-110.065728300447,857,0.0997646600008011
71,-111.805458941395,12,-110.085802538289,869,0.0923488289117813
72,-112.587745300572,13,-110.199762920658,882,0.0791533291339874
73,-109.0038461397,10,-109.942254220603,892,0.0911284387111664
74,-110.690469256996,11,-109.893499690323,903,0.0941989868879318
75,-110.469418197254,11,-109.853952418615,914,0.0794702023267746
76,-109.760595329574,11,-110.076975339816,925,0.0874612778425217
77,-112.814172260747,13,-110.316277804152,938,0.0779596120119095
78,-113.618795843084,15,-110.52809367827,953,0.0888436734676361
79,-111.959996209493,13,-110.490015491475,966,0.0848071128129959
80,-110.681771579924,12,-110.710436021232,978,0.0842775776982307
81,-114.286259084108,14,-110.975219268972,992,0.0894983783364296
82,-111.387783132544,12,-110.982359950528,1004,0.0820907205343246
83,-109.723621914015,11,-110.916708566467,1015,0.0409088432788849
84,-114.973328647206,16,-111.254561536682,1031,-0.0676531866192818
85,-111.469804537417,12,-111.159223476113,1043,-0.387162685394287
86,-113.752819467824,14,-111.378139840582,1057,-0.901909470558167
87,-115.139903398478,16,-111.870223613961,1073,-1.57571029663086
88,-114.312620311419,15,-112.031123792505,1088,-2.56506633758545
89,-113.777847068315,14,-112.246237810238,1102,-3.78143715858459
90,-114.1672068037,15,-112.319173171188,1117,-5.32285928726196
91,-111.649785040909,13,-112.311389476164,1130,-6.44985294342041
92,-142.883617508138,40,-113.826183086542,1170,-6.5249547958374
93,-121.789957606877,22,-114.465488659901,1192,-5.35954284667969
94,-116.711944620833,17,-114.766562428093,1209,-3.94652318954468
95,-115.47849053047,15,-115.017016044754,1224,-2.25531196594238
96,-117.510389039642,18,-115.404505730257,1242,-1.18553018569946
97,-110.756859115204,11,-115.30164007298,1253,-0.835773110389709
98,-115.262987250963,15,-115.383849643374,1268,-0.638805687427521
99,-108.991192799407,10,-115.23540947287,1278,-0.598397612571716
100,-110.75314230074,11,-115.23897800891,1289,-0.65604829788208
101,-109.329428854269,10,-114.991136497418,1299,-0.560560822486877
102,-109.41221790602,10,-114.892358236092,1309,-0.404595017433167
