RunDir,RunName,Plotted,Source,NumEpisodes,PlotPath,RewardPlotPath,CsvPath,Message
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000,run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000,1,trainingStats,560,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065927_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000,run_20260709_065927_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000,0,,NaN,,,,"No non-empty trainingStats in , no stage trainingStats, and no savedAgentResult checkpoint in C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065927_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000\saved_agents. | No episode rows found in training_console.log."
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_222715_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000,run_20260708_222715_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000,1,trainingStats,7000,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_222715_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_222715_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_222715_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_212509_td3_mathworks_style_pi_current_1d_500hz_long_imeas_scratch7000,run_20260708_212509_td3_mathworks_style_pi_current_1d_500hz_long_imeas_scratch7000,1,training_console.log,569,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_212509_td3_mathworks_style_pi_current_1d_500hz_long_imeas_scratch7000\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_212509_td3_mathworks_style_pi_current_1d_500hz_long_imeas_scratch7000\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_212509_td3_mathworks_style_pi_current_1d_500hz_long_imeas_scratch7000\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_204037_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000,run_20260708_204037_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000,1,training_console.log,2753,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_204037_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_204037_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_204037_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_151229_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5,run_20260708_151229_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5,1,trainingStats,2000,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_151229_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_151229_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_151229_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_150833_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5,run_20260708_150833_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5,0,,NaN,,,,"No non-empty trainingStats in , no stage trainingStats, and no savedAgentResult checkpoint in C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_150833_td3_mathworks_style_pi_current_1b_500hz_theta1_offset_scratch_current_1p5\saved_agents. | No training_console.log found."
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143303_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch,run_20260708_143303_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch,1,trainingStats,2000,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143303_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143303_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143303_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143037_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch,run_20260708_143037_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch,1,training_console.log,90,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143037_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143037_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_143037_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_scratch\training_progress.csv,"ok"
C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle,run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle,1,training_console.log,129,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle\training_progress.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle\training_reward.png,C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle\training_progress.csv,"ok"
